"B.CHACHA";"B.CHASKE";"B.SKECHA";"B.SKESKE";"B.PLEPLE";"B.PLEPSE";"B.PSEPLE";"B.PSEPSE";"B.PROPRO";"B.PROPRP";"B.PROSCR";"B.PRPPRO";"B.PRPPRP";"B.PRPSCR";"B.SCRPRO";"B.SCRPRP";"B.SCRSCR"
"B.CHACHA";1;-1.76187034603628e-17;-0.222641336166475;5.78220819282901e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";-1.76187034603628e-17;1;3.17508239947092e-18;-0.222641336166475;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKECHA";-0.222641336166475;3.17508239947092e-18;1;-1.87518447618963e-17;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKESKE";5.78220819282901e-18;-0.222641336166475;-1.87518447618963e-17;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.PLEPLE";0;0;0;0;1;-2.53097242750831e-18;0.0216999013823961;-4.92839239148395e-21;0;0;0;0;0;0;0;0;0
"B.PLEPSE";0;0;0;0;-2.53097242750831e-18;1;-6.50406693323547e-20;0.0216999013823962;0;0;0;0;0;0;0;0;0
"B.PSEPLE";0;0;0;0;0.0216999013823961;-6.50406693323547e-20;1;-3.23838555174095e-18;0;0;0;0;0;0;0;0;0
"B.PSEPSE";0;0;0;0;-4.92839239148397e-21;0.0216999013823962;-3.23838555174095e-18;1;0;0;0;0;0;0;0;0;0
"B.PROPRO";0;0;0;0;0;0;0;0;1;-1.87332027196541e-17;1.55698974205673e-17;-0.439408580541252;4.57960411532895e-18;-4.15496194881543e-18;-0.0581024439022694;2.34645675982437e-18;-2.72513855652827e-18
"B.PROPRP";0;0;0;0;0;0;0;0;-1.87332027196541e-17;1;-2.07288963047154e-18;4.85725715481453e-18;-0.43940858054125;5.2836330725761e-19;3.5097534466508e-18;-0.0581024439022702;2.94800011698315e-19
"B.PROSCR";0;0;0;0;0;0;0;0;1.55698974205673e-17;-2.07288963047154e-18;1;-3.88693041479889e-18;4.95872704962742e-19;-0.439408580541252;-1.93612873606782e-18;3.00443120136977e-19;-0.0581024439022697
"B.PRPPRO";0;0;0;0;0;0;0;0;-0.439408580541252;4.85725715481453e-18;-3.88693041479889e-18;1;-1.5315753050595e-17;1.2878173679122e-17;-0.398198919854766;3.48196287007519e-18;-3.2889829512681e-18
"B.PRPPRP";0;0;0;0;0;0;0;0;4.57960411532896e-18;-0.43940858054125;4.95872704962742e-19;-1.5315753050595e-17;1;-1.70374410368214e-18;4.33502042419472e-18;-0.398198919854766;4.06182749312141e-19
"B.PRPSCR";0;0;0;0;0;0;0;0;-4.15496194881543e-18;5.2836330725761e-19;-0.439408580541252;1.2878173679122e-17;-1.70374410368214e-18;1;-3.3792187493825e-18;4.78277948175661e-19;-0.398198919854766
"B.SCRPRO";0;0;0;0;0;0;0;0;-0.0581024439022693;3.5097534466508e-18;-1.93612873606782e-18;-0.398198919854766;4.33502042419472e-18;-3.3792187493825e-18;1;-1.67153718952662e-17;1.37415971986629e-17
"B.SCRPRP";0;0;0;0;0;0;0;0;2.34645675982437e-18;-0.0581024439022701;3.00443120136977e-19;3.48196287007519e-18;-0.398198919854766;4.78277948175661e-19;-1.67153718952662e-17;1;-1.92344456153577e-18
"B.SCRSCR";0;0;0;0;0;0;0;0;-2.72513855652827e-18;2.94800011698315e-19;-0.0581024439022696;-3.2889829512681e-18;4.06182749312142e-19;-0.398198919854766;1.37415971986629e-17;-1.92344456153577e-18;1
