"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPSKE";"B.LEPTHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PROPRO";"B.PROPRP";"B.PRPPRO";"B.PRPPRP"
"B.CHACHA";1;-1.41163939989957e-18;6.44995698151012e-36;1.08632165678436e-18;5.38149477062295e-36;2.54791132286225e-36;0.04371275432196;-1.69170641909661e-21;-3.67011977619397e-37;1.30184615144382e-21;-3.06214916467916e-37;-1.44979877553168e-37;-0.338465523128049;3.53475712351788e-19;-1.86157300989299e-36;-2.72015871406207e-19;-1.55319569519462e-36;-7.35372803855625e-37;-0.44758451477481;6.49842107247652e-19;-1.80125661477507e-36;-5.00083487782883e-19;-1.50287096189166e-36;-7.11546160280165e-37;-0.0197890799401131;5.94714415529005e-20;-3.18554878493161e-37;-4.57660185198129e-20;-2.65784937431627e-37;-1.25837983755932e-37;-0.120018515686229;1.351378520568e-19;-7.03845500474909e-37;-1.03994812946612e-19;-5.87250564769723e-37;-2.78038431162646e-37;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHADIT";-1.41163939989957e-18;1;-3.7991388809041e-18;2.14949294122745e-18;-2.00369792891143e-18;-3.04274662010988e-18;3.47390996009655e-20;0.0437127543219598;9.34931852929427e-20;1.1649629877621e-19;4.93090954585544e-20;7.4879092992176e-20;5.29285397310386e-19;-0.338465523128049;1.42446345161497e-18;1.1527899806967e-20;7.51274053748663e-19;1.14085888638009e-18;4.12849645742447e-19;-0.447584514774811;1.11110042778577e-18;-1.73059316131892e-18;5.86003748680309e-19;8.89885096920487e-19;-4.76362586971571e-21;-0.0197890799401138;-1.28203252594114e-20;-2.914219329625e-19;-6.76154780742084e-21;-1.02678534727588e-20;1.770815012914e-19;-0.120018515686228;4.76578662151884e-19;-7.46142192062752e-20;2.51351611049783e-19;3.81693894047391e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";6.44995698151013e-36;-3.7991388809041e-18;1;9.16080692903951e-19;9.84069096395149e-36;1.02008859209711e-35;-3.67011977619393e-37;-4.55288201245066e-21;0.0437127543219602;1.09782965019645e-21;-5.59949696125811e-37;-5.80445315535871e-37;-1.86157300989302e-36;9.51307623141217e-19;-0.338465523128049;-2.293873885349e-19;-2.84019951601306e-36;-2.94415822646797e-36;-1.80125661477502e-36;1.74891719249891e-18;-0.447584514774812;-4.21713794562518e-19;-2.7481748705593e-36;-2.84876523896017e-36;-3.18554878493158e-37;1.60055227930812e-19;-0.0197890799401138;-3.85938784293327e-20;-4.86018763116822e-37;-5.03808317542719e-37;-7.03845500474914e-37;3.63695904256699e-19;-0.120018515686229;-8.7697451033565e-20;-1.07385616313362e-36;-1.11316209967223e-36;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";1.08632165678436e-18;2.14949294122745e-18;9.16080692903951e-19;1;2.27963398432366e-18;-1.64187753759613e-18;-2.67333401408337e-20;-1.66817321535596e-19;-2.25438723484027e-20;0.04371275432196;-5.60996186708866e-20;4.040504063233e-20;-4.07309536528156e-19;-1.35570175479e-18;-3.43478747863321e-19;-0.338465523128049;-8.54734558415442e-19;6.15611752465523e-19;-3.17706852895778e-19;1.12440237905638e-19;-2.67917989228558e-19;-0.447584514774813;-6.6670431763058e-19;4.80185350307793e-19;3.66582991906934e-21;2.08118744025338e-19;3.09134591154983e-21;-0.0197890799401141;7.69270354878002e-21;-5.54057241073975e-21;-1.36272386476617e-19;-4.00799895888775e-19;-1.14916702108936e-19;-0.120018515686228;-2.85966096134501e-19;2.05963462988378e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";5.38149477062296e-36;-2.00369792891143e-18;9.84069096395149e-36;2.27963398432366e-18;1;2.38784491868059e-36;-3.06214916467912e-37;-2.40122842172687e-21;-5.59949696125807e-37;2.73190975311699e-21;0.04371275432196;-1.35871865248969e-37;-1.55319569519461e-36;5.0172767408599e-19;-2.84019951601299e-36;-5.708222982211e-19;-0.338465523128049;-6.89174775144819e-37;-1.50287096189168e-36;9.22393696651012e-19;-2.74817487055938e-36;-1.04941966923824e-18;-0.447584514774812;-6.66844983177449e-37;-2.65784937431635e-37;8.44144788516143e-20;-4.86018763116842e-37;-9.6039483787687e-20;-0.0197890799401135;-1.17932514916207e-37;-5.8725056476972e-37;1.91816291258951e-19;-1.07385616313361e-36;-2.18231965004022e-19;-0.120018515686229;-2.60571335074499e-37;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHATHP";2.54791132286225e-36;-3.04274662010988e-18;1.02008859209711e-35;-1.64187753759613e-18;2.38784491868059e-36;1;-1.44979877553165e-37;-3.64642272615051e-21;-5.8044531553587e-37;-1.96762343833683e-21;-1.3587186524897e-37;0.0437127543219603;-7.35372803855612e-37;7.61906354502316e-19;-2.94415822646788e-36;4.1112753883001e-19;-6.8917477514481e-37;-0.338465523128049;-7.11546160280171e-37;1.40071527868489e-18;-2.84876523896028e-36;7.55831240577424e-19;-6.66844983177451e-37;-0.447584514774811;-1.25837983755932e-37;1.2818891835339e-19;-5.0380831754273e-37;6.91712232041111e-20;-1.17932514916198e-37;-0.0197890799401135;-2.78038431162654e-37;2.9128560921719e-19;-1.11316209967223e-36;1.57178811945058e-19;-2.60571335074504e-37;-0.120018515686229;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITCHA";0.04371275432196;3.47390996009655e-20;-3.67011977619393e-37;-2.67333401408338e-20;-3.06214916467912e-37;-1.44979877553164e-37;1;-1.39818382804995e-18;6.51600208221757e-36;1.07596697335337e-18;5.4365992255986e-36;2.57400096352103e-36;-0.154651637289525;1.85425923769679e-20;7.75716247290062e-39;-1.4269380461793e-20;6.47215623336293e-39;3.06429363089247e-39;0.0360176209156881;1.1306528281649e-19;-6.09727997202849e-37;-8.70089524015402e-20;-5.08724017517606e-37;-2.4085941540273e-37;-0.147310545498018;2.9983527567984e-19;-1.31557520847786e-36;-2.30737080207657e-19;-1.09764470136469e-36;-5.19688577670614e-37;-0.220593666354622;1.33035884756205e-19;-3.50178593552357e-37;-1.02377252115814e-19;-2.92170052511718e-37;-1.38330225471845e-37;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITDIT";-1.69170641909668e-21;0.0437127543219598;-4.55288201245082e-21;-1.66817321535596e-19;-2.4012284217268e-21;-3.64642272615079e-21;-1.39818382804995e-18;1;-3.76292595982642e-18;2.12900424084618e-18;-1.98459892852272e-18;-3.01374353634077e-18;1.72701424395025e-19;-0.154651637289525;4.64790580550061e-19;4.53825158593122e-19;2.45134477264508e-19;3.7225276894617e-19;-3.61222032224037e-20;0.0360176209156877;-9.72155259593309e-20;-6.38677937791473e-19;-5.12722893605811e-20;-7.78603315929756e-20;1.92427647456362e-19;-0.147310545498019;5.17879677532648e-19;-7.92424219651157e-19;2.73134115342092e-19;4.14772054361192e-19;2.46948810470672e-19;-0.220593666354622;6.64612242700859e-19;1.53636767477025e-19;3.50522109344945e-19;5.32290794981532e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITGUI";-3.67011977619396e-37;9.34931852929427e-20;0.0437127543219602;-2.25438723484027e-20;-5.59949696125807e-37;-5.80445315535869e-37;6.51600208221757e-36;-3.76292595982642e-18;1;9.07348725246844e-19;9.94145588806e-36;1.03053391041298e-35;7.7571624729016e-39;4.99035969505435e-20;-0.154651637289525;-1.20331799141732e-20;1.18350926791959e-38;1.22682879410359e-38;-6.09727997202847e-37;3.04292096167832e-19;0.0360176209156877;-7.33734993747557e-20;-9.30261211003847e-37;-9.64311197751929e-37;-1.31557520847786e-36;8.06945352887515e-19;-0.147310545498019;-1.94577529588205e-19;-2.00717138169743e-36;-2.08063908962668e-36;-3.50178593552359e-37;3.5803888894624e-19;-0.220593666354623;-8.63333833677538e-20;-5.34267023984581e-37;-5.53822590605461e-37;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITLEP";1.30184615144383e-21;1.1649629877621e-19;1.09782965019647e-21;0.04371275432196;2.73190975311691e-21;-1.9676234383369e-21;1.07596697335337e-18;2.12900424084618e-18;9.07348725246844e-19;1;2.25790479564482e-18;-1.62622736434582e-18;-1.32901715190982e-19;-7.4503101763377e-19;-1.12074259571211e-19;-0.154651637289525;-2.78892779714149e-19;2.0086899632103e-19;2.77977021993399e-20;5.21517275886202e-19;2.34414348023661e-20;0.0360176209156879;5.83331706810517e-20;-4.20137282110192e-20;-1.48081954081744e-19;4.2859083834932e-20;-1.2487555435775e-19;-0.147310545498019;-3.10748343164821e-19;2.23812562892157e-19;-1.90038504840905e-19;-7.32236670697881e-19;-1.60256958982496e-19;-0.220593666354622;-3.98793700981498e-19;2.87226117999207e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
