"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.SKESKE";1;-3.91477012061381e-18;6.70062205788705e-18;1.5865618672775e-17;7.68955687571691e-19;-0.0915954138391293;-3.4927348857279e-20;-4.0941289007558e-20;-3.5203440082955e-19;-1.47222093009788e-19;0.0833337585617534;4.94222785298296e-19;9.13786224631315e-20;2.59018900277787e-18;1.33676560734203e-18;0.277849888734538;-1.0730998235765e-18;1.05452943641251e-18;5.15847874829876e-19;-9.85815062117087e-19;-0.123751736122353;-5.57754540672661e-19;-2.17893460717963e-19;-3.48556424832307e-18;-1.68417235834155e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKECHA";-3.91477012061381e-18;1;1.02791086787435e-17;-2.01229411300819e-18;-7.61456487270957e-18;1.38602080649236e-19;-0.0915954138391293;-2.59511758478872e-19;4.46498032617692e-20;2.05113442938523e-20;-1.12058532902167e-18;0.0833337585617533;1.9706581333847e-18;-3.28523090676098e-19;1.38237288326635e-19;2.74520541491592e-19;0.277849888734538;9.00982274841273e-20;-6.54268618915672e-20;-1.40038869902911e-18;1.46236066878088e-18;-0.123751736122353;-2.62417764659729e-18;4.42086789180691e-19;-5.52267750336053e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKEGUI";6.70062205788705e-18;1.02791086787435e-17;1;-3.84329937174547e-18;-4.72457606338064e-18;-1.36511070463759e-19;-1.27095476248049e-20;-0.0915954138391293;8.52770773989831e-20;1.08771066475836e-19;9.8071975046739e-19;-3.26002518659286e-19;0.0833337585617535;-6.27449327529879e-19;-8.07987040980747e-19;3.12339571893597e-19;2.0067511343519e-18;0.277849888734538;-1.24959376255015e-19;-1.2301674592083e-19;-1.33045384677383e-18;2.48930974176124e-19;-0.123751736122354;8.44345698837817e-19;1.08382021421353e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKELEP";1.58656186727751e-17;-2.01229411300819e-18;-3.84329937174547e-18;1;2.65497382004121e-20;-6.81342706211996e-20;8.64171731925048e-21;1.65048968384782e-20;-0.0915954138391289;-1.14016798511162e-22;-5.16927530756599e-20;6.55637985790158e-21;1.25220912916797e-20;0.0833337585617533;-8.65033434449352e-23;2.72060125990273e-18;-3.4506375150307e-19;-6.59040490548057e-19;0.277849888734538;4.55269048676148e-21;-1.80586109279577e-19;2.29043929574536e-20;4.37453146110924e-20;-0.123751736122354;-3.02195207315266e-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKERHI";7.68955687571691e-19;-7.61456487270957e-18;-4.72457606338064e-18;2.65497382004121e-20;1;1.2685786415019e-19;1.8114493348698e-19;1.63497301764313e-20;-5.89099068390035e-22;-0.0915954138391291;-1.21373283002983e-18;-1.35656635390896e-18;5.2055686163505e-20;4.33445687380248e-21;0.0833337585617532;1.14267537881937e-18;-1.52916747290141e-19;-8.4075595199138e-19;8.63226723800756e-22;0.277849888734538;1.50648580056431e-18;1.81476356378651e-18;7.91195088673471e-21;-5.83278976901739e-21;-0.123751736122353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";-0.0915954138391293;1.38602080649236e-19;-1.36511070463759e-19;-6.81342706211998e-20;1.26857864150191e-19;1;-3.11389445711024e-18;5.32982250359405e-18;1.26198628582648e-17;6.11644305928607e-19;-0.1077072549021;2.54393195667695e-19;-1.14259964184445e-18;-4.49642369711636e-18;-1.131770466065e-18;-0.357894903957092;1.07399808234429e-20;-6.43187318127496e-19;-3.10531466649413e-18;-9.57906544217545e-19;-0.188109032199254;-1.40298706707257e-19;-4.58111174023478e-19;-2.85310363521073e-18;-1.04059254744393e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHACHA";-3.49273488572787e-20;-0.0915954138391293;-1.27095476248047e-20;8.64171731925042e-21;1.8114493348698e-19;-3.11389445711024e-18;1;8.17622965145005e-18;-1.60062309957278e-18;-6.05679276685575e-18;1.4727287364061e-18;-0.107707254902101;-3.13386216601502e-18;5.70297769151866e-19;1.11580295045969e-18;1.0871679742598e-18;-0.357894903957092;-2.20687682295332e-18;3.93858351905742e-19;5.69546119740349e-19;1.06266309182474e-18;-0.188109032199254;-2.0663936221683e-18;3.61869509620113e-19;3.40257220039906e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";-4.09412890075577e-20;-2.59511758478872e-19;-0.0915954138391293;1.65048968384783e-20;1.63497301764315e-20;5.32982250359405e-18;8.17622965145005e-18;1;-3.05704504784997e-18;-3.7580319565865e-18;-1.81358704553622e-18;-1.40108458545464e-18;-0.107707254902101;1.08921705019185e-18;1.36663765392114e-18;-1.236020409198e-18;-6.75927234973922e-19;-0.357894903957092;7.52233754822835e-19;9.49161536562554e-19;-1.12063162667987e-18;-3.55481344665907e-19;-0.188109032199254;6.911379653632e-19;8.76929149126313e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";-3.52034400829551e-19;4.46498032617691e-20;8.52770773989829e-20;-0.0915954138391289;-5.89099068390033e-22;1.26198628582648e-17;-1.60062309957278e-18;-3.05704504784997e-18;1;2.11182470676027e-20;-2.50318474256715e-18;3.17488023954805e-19;6.06373350254516e-19;-0.107707254902101;-4.18886278267016e-21;-1.34424135250034e-18;1.70495019191424e-19;3.25630033854529e-19;-0.357894903957091;-2.24947143399416e-21;-8.85016653019169e-19;1.1224988054457e-19;2.14387098082061e-19;-0.188109032199254;-1.4809986881245e-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHARHI";-1.47222093009788e-19;2.05113442938527e-20;1.08771066475836e-19;-1.14016798511161e-22;-0.0915954138391292;6.11644305928607e-19;-6.05679276685575e-18;-3.7580319565865e-18;2.11182470676027e-20;1;7.92521878822356e-19;2.24359788015495e-18;7.17755219072416e-19;-7.52437547244343e-21;-0.107707254902101;7.4225082485717e-19;1.56597936213251e-18;3.75858703340617e-19;-5.19647503987929e-21;-0.357894903957092;8.59417837793688e-19;1.45382090724814e-18;2.36234730585125e-19;-4.7744217314054e-21;-0.188109032199254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
