"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPSKE";"B.LEPTHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PROPRO";"B.PROPRP";"B.PRPPRO";"B.PRPPRP"
"B.CHACHA";1;-4.71396927783426e-18;-7.45073550009565e-18;-5.21060946498803e-18;2.32376150105193e-18;2.08185257578786e-17;-0.0357254079495436;3.90072736846187e-19;6.22067230046147e-19;4.35037506927434e-19;-1.75940380467478e-19;-1.32869476356585e-18;-0.279707592224948;8.32037050037025e-19;1.1086171198875e-18;7.75302097069398e-19;-3.57957877908045e-19;-3.37403058986198e-18;-0.392504215123308;2.00295147322539e-18;2.18614738896592e-18;1.52886386540744e-18;-7.9979991877875e-19;-8.78142643945006e-18;0.0811919788846377;-3.17123618017808e-19;-3.10934789240638e-19;-2.17449640480532e-19;1.05101117633644e-19;1.05290370885547e-18;-0.12383066615078;-1.03766360322103e-19;1.20514562186384e-18;8.42808496408444e-19;-2.54073215709707e-19;-6.07938073957795e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHADIT";-4.71396927783426e-18;1;-5.20241398008759e-18;-1.04640194797874e-17;1.96442006612329e-17;5.09175901428387e-18;3.93749761404254e-19;-0.0357254079495438;4.3435326003787e-19;8.73648462337268e-19;-1.24523520008154e-18;-3.25226186622521e-19;6.94795485061857e-19;-0.279707592224948;7.74082666468717e-19;1.55697261538537e-18;-3.1894540917868e-18;-8.25041551548052e-19;1.3517801454356e-18;-0.392504215123308;1.52645919838951e-18;3.07028599572915e-18;-8.34164671760032e-18;-2.14607280520587e-18;-1.90631497349286e-19;0.0811919788846383;-2.17107625739811e-19;-4.36685437500218e-19;9.97338574498573e-19;2.57402119671695e-19;8.06310178084516e-19;-0.12383066615078;8.41482888655128e-19;1.69253991944848e-18;-5.16288614555873e-19;-1.50415835925638e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";-7.45073550009565e-18;-5.20241398008759e-18;1;1.0186301548077e-34;6.10629503040941e-18;9.35969555638569e-18;6.16815284727333e-19;4.30686132980564e-19;-0.0357254079495439;-1.21726365699828e-35;-3.62504080762524e-19;-5.55644268249058e-19;1.30464115598924e-18;9.10954816316975e-19;-0.279707592224947;-5.05143566577386e-36;-1.00800970766542e-18;-1.54507175540077e-18;3.11622445337549e-18;2.1758777587962e-18;-0.392504215123308;-3.10491434584339e-35;-2.75335594525139e-18;-4.22032890280929e-18;-4.91605244528707e-19;-3.43259265717821e-19;0.081191978884638;3.91611058991463e-36;3.21064960091313e-19;4.92126611195912e-19;-9.47293558969966e-20;-6.61439834278018e-20;-0.12383066615078;-4.00015322684262e-36;5.10109869676567e-21;7.81893612526159e-21;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";-5.21060946498803e-18;-1.04640194797874e-17;1.0186301548077e-34;1;-3.31934202942388e-18;2.71658391573648e-18;4.31364602958765e-19;8.66272484741216e-19;-1.21726365699828e-35;-0.0357254079495439;1.9705484669843e-19;-1.61271728647918e-19;9.12389864829207e-19;1.83227420571142e-18;-5.05143566577393e-36;-0.279707592224947;5.47947482402723e-19;-4.48445898063085e-19;2.1793054701213e-18;4.37651200785375e-18;-3.10491434584337e-35;-0.392504215123308;1.49670627860644e-18;-1.22491992901068e-18;-3.4380001009916e-19;-6.90424033311621e-19;3.91611058991463e-36;0.0811919788846383;-1.74528811807991e-19;1.42836188252793e-19;-6.62481815980162e-20;-1.33040533434737e-19;-4.00015322684259e-36;-0.12383066615078;-2.77292387873341e-21;2.26938963859341e-21;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";2.32376150105193e-18;1.96442006612329e-17;6.10629503040941e-18;-3.31934202942388e-18;1;2.65854962817314e-17;-1.93910117184052e-19;-1.65981407137069e-18;-5.18032142520536e-19;2.8159888356158e-19;-0.0357254079495437;-1.74589098722899e-18;-4.0005804574531e-19;-3.29033587682803e-18;-1.01348648820649e-18;5.50924624474213e-19;-0.279707592224948;-4.39456044253728e-18;-8.40629427518111e-19;-5.34784687295188e-18;-1.48387718872206e-18;8.06625931845651e-19;-0.392504215123308;-1.06192923647239e-17;1.37346500941192e-19;9.47043053440608e-19;2.72661062084693e-19;-1.48216769523566e-19;0.0811919788846381;1.34567874509612e-18;-1.2100723060757e-19;-3.03977396787842e-18;-1.14958583632199e-18;6.24907339709417e-19;-0.12383066615078;-1.22229748659503e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHATHP";2.08185257578786e-17;5.09175901428387e-18;9.35969555638569e-18;2.71658391573648e-18;2.65854962817314e-17;1;-1.75827090095419e-18;-4.30013075456687e-19;-7.94036828922976e-19;-2.30463444559678e-19;-2.08777449625027e-18;-0.0357254079495438;-3.49044410792476e-18;-8.53783766156324e-19;-1.55346653459804e-18;-4.50882421986976e-19;-4.40659956221997e-18;-0.279707592224947;-5.73305591354414e-18;-1.40404271531352e-18;-2.27447882231998e-18;-6.60151021812051e-19;-7.82871009291813e-18;-0.392504215123308;1.01163113180395e-18;2.47649597472969e-19;4.17933381614292e-19;1.21302140171446e-19;1.23927676005395e-18;0.0811919788846383;-3.14635100716696e-18;-7.67393785881808e-19;-1.76207886948191e-18;-5.11430642829816e-19;-3.76054310415737e-18;-0.12383066615078;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITCHA";-0.0357254079495436;3.93749761404254e-19;6.16815284727333e-19;4.31364602958765e-19;-1.93910117184052e-19;-1.75827090095419e-18;1;-4.44452103328692e-18;-7.02485499838611e-18;-4.91277350327216e-18;2.21408836446167e-18;2.01531010794866e-17;-0.129825942158675;1.83648942415655e-19;5.91766062264256e-19;4.13846639040301e-19;-1.63944474306585e-19;-1.18635597830452e-18;0.00406354605532463;-2.67442851266756e-19;-4.55073608084029e-19;-3.18251916138812e-19;1.27652466703742e-19;9.48063267743587e-19;-0.319274945305826;5.39597528540797e-19;2.30569159831936e-18;1.6124661069222e-18;-6.25657504612817e-19;-4.32518247494252e-18;-0.121386549152928;8.35184938976033e-19;9.66599372914152e-19;6.75983175257441e-19;-3.22861286626193e-19;-3.18557285992169e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITDIT";3.90072736846187e-19;-0.0357254079495438;4.30686132980563e-19;8.66272484741216e-19;-1.65981407137069e-18;-4.30013075456687e-19;-4.44452103328692e-18;1;-4.90504646839537e-18;-9.86590109726089e-18;1.90272143257696e-17;4.92868222945104e-18;3.84053772053929e-19;-0.129825942158675;4.13195722117025e-19;8.31092662319151e-19;-1.10972664444578e-18;-2.9044931561148e-19;-2.88954358099444e-19;0.004063546055325;-3.1775135496823e-19;-6.39117990387302e-19;8.87861312692164e-19;2.32078173820748e-19;1.50528776338729e-18;-0.319274945305827;1.60992994647484e-18;3.23817719725607e-18;-4.0371993726055e-18;-1.05917105934989e-18;6.00237093204231e-19;-0.121386549152928;6.74919957999842e-19;1.35751895463128e-18;-3.01595781420149e-18;-7.78818451910706e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITGUI";6.22067230046147e-19;4.3435326003787e-19;-0.0357254079495438;-1.21726365699828e-35;-5.18032142520536e-19;-7.94036828922976e-19;-7.02485499838611e-18;-4.90504646839537e-18;1;9.19916536400304e-35;5.9459852463397e-18;9.11397359795913e-18;3.05525056727177e-19;2.13330325088593e-19;-0.129825942158675;1.02129110035897e-36;-3.16921176809717e-19;-4.85775042892345e-19;-4.24348423678448e-19;-2.96297750972983e-19;0.00406354605532483;9.48312966366716e-36;2.56575462307606e-19;3.93277462434874e-19;9.26382804420875e-19;6.46839074151811e-19;-0.319274945305827;-1.08068719175441e-35;-1.1278888773968e-18;-1.72882188975398e-18;1.30217864884217e-18;9.09235391220256e-19;-0.121386549152927;-1.73913348322992e-35;-9.66582628705231e-19;-1.48157255581628e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITLEP";4.35037506927434e-19;8.73648462337268e-19;-1.21726365699828e-35;-0.0357254079495439;2.8159888356158e-19;-2.30463444559678e-19;-4.91277350327216e-18;-9.86590109726089e-18;9.19916536400304e-35;1;-3.23219867959547e-18;2.64526489515686e-18;2.13666389358902e-19;4.29087859193947e-19;1.02129110035897e-36;-0.129825942158675;1.72276278325917e-19;-1.40992691507707e-19;-2.96764515777442e-19;-5.95966689668607e-19;9.48312966366719e-36;0.00406354605532494;-1.39472742721275e-19;1.14145938020745e-19;6.47858054933712e-19;1.30103769098711e-18;-1.0806871917544e-35;-0.319274945305826;6.13113014785318e-19;-5.01778045085514e-19;9.10667731081755e-19;1.82881579241041e-18;-1.73913348322992e-35;-0.121386549152928;5.25427993307619e-19;-4.30015714814695e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITSKE";-1.75940380467478e-19;-1.24523520008154e-18;-3.62504080762524e-19;1.9705484669843e-19;-0.0357254079495437;-2.08777449625027e-18;2.21408836446167e-18;1.90272143257696e-17;5.9459852463397e-18;-3.23219867959547e-18;1;2.58875419334587e-17;-1.08857156624683e-19;-1.10200962628059e-18;-3.61001967587027e-19;1.9623830780348e-19;-0.129825942158675;-1.42731639899817e-18;1.48658191238274e-19;1.47520477402943e-18;4.80735660319108e-19;-2.61324759841004e-19;0.00406354605532501;1.35867137181174e-18;-3.84962482454394e-19;-4.54088644837315e-18;-1.54208373368367e-18;8.38266628883129e-19;-0.319274945305826;-5.35699961575047e-18;-4.00770587499027e-19;-3.31619330601345e-18;-1.02353707937246e-18;5.56388060078225e-19;-0.121386549152928;-4.26967780761972e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
