"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITRHI";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.LEPSKE";"B.LEPTHP";"B.RHICHA";"B.RHIDIT";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.RHISKE";"B.RHITHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPRHI";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.NITTHL";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PLETHL";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PSETHL";"B.THLNIT";"B.THLPLE";"B.THLPSE";"B.THLTHL";"B.GYMGYM";"B.GYMPRO";"B.GYMPRP";"B.PROGYM";"B.PROPRO";"B.PROPRP";"B.PRPGYM";"B.PRPPRO";"B.PRPPRP"
"B.CHACHA";1;9.21441452202944e-18;-2.58503157002137e-18;-1.14629089166761e-17;-8.43225215949706e-18;1.54682867807961e-17;2.70720491585851e-18;-0.0978435993627023;-1.64570279192579e-18;4.67944836553767e-19;2.04728593039356e-18;2.13588983780595e-18;-3.51671533845085e-18;-4.8350925364733e-19;-0.16455617630401;-1.65962119780463e-18;4.7146639343484e-19;2.06460069504546e-18;1.94545386394814e-18;-3.49389717978434e-18;-4.87598496292758e-19;-0.449863658147131;-2.30703937882582e-18;6.6063667278141e-19;2.87000136616826e-18;3.01519828154071e-18;-5.48983958526276e-18;-6.77810655522884e-19;-0.35240055114162;-2.65492403730186e-18;7.38045125113705e-19;3.30277657332729e-18;2.11128816163899e-18;-3.64044073189138e-18;-7.80019543057361e-19;-0.0704220037533318;-9.20887059529415e-19;2.47530774346098e-19;1.14560121651724e-18;-9.6203601748548e-20;-2.42061057465447e-19;-2.7055761042096e-19;-0.150408807910674;-1.2403125122801e-18;3.49892247850124e-19;1.542972624304e-18;1.20269757027885e-18;-2.31503651159064e-18;-3.64405152646203e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHADIT";9.21441452202943e-18;1;9.3009439403885e-18;-1.81348808064954e-34;-4.05745597084669e-19;9.53614382827688e-18;1.35939951385416e-34;-2.21860364872942e-18;-0.0978435993627022;-2.23943779753345e-18;5.64358129334486e-35;1.11526311861408e-19;-2.29606812691601e-18;-4.22158156399287e-35;-2.19743448921885e-18;-0.164556176304012;-2.21806984567905e-18;4.80663638912377e-35;9.95401810882814e-20;-2.27415982776861e-18;-3.6035491349512e-35;-3.53555481488353e-18;-0.449863658147131;-3.56875600210787e-18;2.94418107782931e-35;1.57645327112122e-19;-3.6590017897372e-18;-2.20417720580605e-35;-2.03466865585019e-18;-0.35240055114162;-2.05377553398371e-18;2.31924281324222e-35;9.716981966793e-20;-2.10571088360378e-18;-1.71119077062452e-35;6.97026445134948e-20;-0.0704220037533319;7.03571982318501e-20;5.6033645516119e-36;-1.7673566429879e-20;7.21363730384468e-20;-4.52616787150331e-36;-1.41727134360874e-18;-0.150408807910673;-1.43058045453773e-18;2.8201499353608e-35;5.88118740506465e-20;-1.46675660662283e-18;-2.11929111372343e-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";-2.58503157002137e-18;9.30094394038849e-18;1;-9.50319515322041e-18;-7.94010774255967e-18;1.17700666844952e-17;1.80666382095248e-18;6.16155962411653e-19;-1.66115702453458e-18;-0.0978435993627025;1.69727927460615e-18;1.6427289597047e-18;-2.64878623310614e-18;-3.2267179722646e-19;6.10600263589192e-19;-1.67520613340734e-18;-0.164556176304011;1.71163388465457e-18;1.58227021528289e-18;-2.63308565215703e-18;-3.2540076934797e-19;9.78457206211541e-19;-2.32870399735409e-18;-0.449863658147132;2.379342213304e-18;2.3103545221015e-18;-4.11911112632128e-18;-4.52339600011748e-19;5.7758324534402e-19;-2.67985552179133e-18;-0.35240055114162;2.73812961020325e-18;2.17426383701036e-18;-2.7994514482743e-18;-5.20549102072947e-19;-8.73767691535091e-21;-9.29534795253135e-19;-0.0704220037533319;9.49747747929155e-19;4.58709759451477e-19;-2.31113005409649e-19;-1.80557682710875e-19;3.95672014646145e-19;-1.25195986328809e-18;-0.150408807910674;1.27918402487747e-18;1.09291447087571e-18;-1.75316563468834e-18;-2.43187208178434e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";-1.14629089166761e-17;-1.81348808064954e-34;-9.50319515322041e-18;1;1.24353391832672e-18;2.3449788350424e-18;-2.25541148966897e-35;2.75998561675187e-18;5.64358129334488e-35;2.28813489897988e-18;-0.0978435993627021;-3.41807163360553e-19;-5.64613040490013e-19;6.79608712788297e-36;2.7336507751043e-18;4.80663638912378e-35;2.26630229598835e-18;-0.16455617630401;-3.05071927604501e-19;-5.59225695380963e-19;5.98977483928477e-36;4.39829820071949e-18;2.94418107782934e-35;3.64635944046354e-18;-0.449863658147131;-4.83153268299616e-19;-8.99764297689534e-19;3.59147419459608e-36;2.53116694738079e-18;2.31924281324218e-35;2.09843536585614e-18;-0.352400551141619;-2.9780721580953e-19;-5.17803374580765e-19;2.19852123686719e-36;-8.6711430596004e-20;5.60336455161219e-36;-7.1887132049863e-20;-0.0704220037533315;5.41661560131946e-20;1.77386447874591e-20;1.51482886708761e-36;1.76311281451056e-18;2.82014993536081e-35;1.46168876288132e-18;-0.150408807910674;-1.80247329133867e-19;-3.60681766196756e-19;3.64024371406854e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHARHI";-8.43225215949707e-18;-4.05745597084669e-19;-7.94010774255967e-18;1.24353391832672e-18;1;1.3099935565607e-17;3.93948909269429e-18;1.76943688394695e-18;8.151842327613e-20;1.81876490747672e-18;-2.49838630513171e-19;-0.0978435993627027;-3.0004772030293e-18;-7.91483485359764e-19;1.59378016694404e-18;7.08948649030021e-20;1.74479163711646e-18;-2.17279422809547e-19;-0.16455617630401;-2.87831283719387e-18;-6.88336605548252e-19;2.33525476957055e-18;9.9862219997337e-20;2.72559556798509e-18;-3.06058916272553e-19;-0.449863658147131;-4.49611483888271e-18;-9.69588158881861e-19;3.01350422847274e-18;1.61003109602613e-19;2.16393098905166e-18;-4.93444239901741e-19;-0.35240055114162;-3.57103209830232e-18;-1.56322089192504e-18;-8.07468003330678e-20;-4.12103490084659e-21;-6.6111428405797e-20;1.26301966420153e-20;-0.0704220037533319;1.09086541586457e-19;4.00121952256454e-20;1.03589336117916e-18;4.62183360395086e-20;1.12817005146864e-18;-1.41650504470558e-19;-0.150408807910673;-1.8611035541971e-18;-4.4874579544021e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";1.54682867807961e-17;9.53614382827687e-18;1.17700666844952e-17;2.3449788350424e-18;1.3099935565607e-17;1;9.32339765024966e-18;-2.97031648435533e-18;-1.70316393785861e-18;-2.28729998128082e-18;-4.1881534704239e-19;-2.71072959730188e-18;-0.0978435993627024;-1.6651672774833e-18;-2.98096276424587e-18;-1.71756831699778e-18;-2.29373878509205e-18;-4.22357445905572e-19;-2.61082606978614e-18;-0.164556176304009;-1.67925030276457e-18;-4.31815443498083e-18;-2.3875916675318e-18;-3.34394831234373e-18;-5.87119073276103e-19;-3.81241787116777e-18;-0.44986365814713;-2.33432579706004e-18;-4.2320035226379e-18;-2.74762302177007e-18;-3.19081723234108e-18;-6.75652333768353e-19;-3.58695070597803e-18;-0.35240055114162;-2.68632504776002e-18;-1.18682675774326e-18;-9.53040633051223e-19;-8.56150575102007e-19;-2.34356795963336e-19;-7.56078150222311e-19;-0.070422003753331;-9.31778815293713e-19;-2.14626367504875e-18;-1.28361910361609e-18;-1.64150899479209e-18;-3.15647465520633e-19;-1.80318986971578e-18;-0.150408807910673;-1.25498226012308e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHATHP";2.70720491585851e-18;1.35939951385416e-34;1.80666382095248e-18;-2.25541148966897e-35;3.93948909269429e-18;9.32339765024966e-18;1;-6.51828142723827e-19;-4.22158156399286e-35;-4.35000068166005e-19;6.79608712788297e-36;-1.08283784786149e-18;-2.24484409681664e-18;-0.0978435993627025;-6.45608620848113e-19;-3.60354913495119e-35;-4.30849445843084e-19;5.98977483928454e-36;-9.6646139970378e-19;-2.22342455989795e-18;-0.164556176304012;-1.03874981446264e-18;-2.20417720580604e-35;-6.9321376369311e-19;3.59147419459627e-36;-1.53061931203861e-18;-3.57737145150203e-18;-0.44986365814713;-5.97787843610885e-19;-1.71119077062454e-35;-3.98936062553095e-19;2.19852123686728e-36;-9.43446946735434e-19;-2.05873361998608e-18;-0.352400551141618;2.04787120683727e-20;-4.52616787150335e-36;1.3666548836736e-20;1.51482886708763e-36;1.71597234029846e-19;7.05270498217478e-20;-0.0704220037533315;-4.16395847978189e-19;-2.11929111372345e-35;-2.77883402667528e-19;3.64024371406853e-36;-5.71019717793967e-19;-1.43403406512447e-18;-0.150408807910673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITCHA";-0.0978435993627023;-2.21860364872942e-18;6.16155962411652e-19;2.75998561675187e-18;1.76943688394695e-18;-2.97031648435533e-18;-6.51828142723827e-19;1;9.66787641481502e-18;-2.71224673988918e-18;-1.20270242342319e-17;-8.58303503893142e-18;1.62295156776512e-17;2.84043250860123e-18;-0.0240748883660083;1.46662237676703e-18;-3.73996410786616e-19;-1.82450644909088e-18;9.45684104386217e-19;-2.05246274003371e-18;4.30895234699872e-19;0.0881411978264465;1.29328807722853e-18;-3.60901925869804e-19;-1.60887524615387e-18;-5.00149232683395e-19;1.93963204684635e-18;3.79969430713558e-19;-0.0681278549396395;1.89019716346274e-19;-4.69659681075635e-20;-2.35144163175343e-19;-2.83601111914501e-19;-4.13393611653249e-19;5.55341963467594e-20;-0.220068628255903;-2.14580115097723e-18;5.96350149383049e-19;2.66941790909723e-18;1.98933729707301e-18;-2.92263760576921e-18;-6.3043869043358e-19;-0.263135260819466;-2.10941155690092e-18;5.82681701124388e-19;2.62414855406501e-18;9.54952001910644e-19;-2.44453440254378e-18;-6.19747388481193e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITDIT";-1.64570279192579e-18;-0.0978435993627022;-1.66115702453458e-18;5.64358129334488e-35;8.151842327613e-20;-1.70316393785861e-18;-4.22158156399286e-35;9.66787641481502e-18;1;9.7586641388686e-18;-2.05171198527361e-34;-4.09330667837846e-19;1.00054387378892e-17;1.539286070649e-34;-1.96325958057538e-18;-0.0240748883660083;-1.98169588048233e-18;6.65450843207253e-36;7.72892331460938e-20;-2.03180849828818e-18;-4.97431001120856e-36;1.11746867442042e-18;0.0881411978264465;1.12796244092082e-18;-1.61913258704452e-35;-1.45724449459908e-20;1.15648606619448e-18;1.24209961610513e-35;-3.6613090283604e-19;-0.0681278549396393;-3.6956911304353e-19;-8.51912223040802e-36;-1.51833300005246e-20;-3.7891468210749e-19;6.19486467236585e-36;-1.62952828359877e-18;-0.220068628255902;-1.64483062692644e-18;2.27494633498448e-35;9.60803145736466e-20;-1.68642468248982e-18;-1.67865176879243e-35;-1.27631107328552e-18;-0.263135260819466;-1.28829647447978e-18;1.27137904841897e-35;3.23994137349802e-20;-1.32087458572383e-18;-9.65426775044067e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITGUI";4.67944836553767e-19;-2.23943779753345e-18;-0.0978435993627025;2.28813489897988e-18;1.81876490747672e-18;-2.28729998128082e-18;-4.35000068166005e-19;-2.71224673988918e-18;9.7586641388686e-18;1;-9.97086858503611e-18;-8.23664795636613e-18;1.23492979209676e-17;1.89557377762067e-18;5.13324074809375e-19;1.48039492638595e-18;-0.0240748883660087;-1.51258646213229e-18;-4.47952435769781e-19;-1.39927597460004e-18;2.87559625277281e-19;-3.1541693256182e-19;1.30543290366604e-18;0.0881411978264467;-1.33381984909107e-18;-8.70744411679509e-19;1.48422571025181e-18;2.53574090205287e-19;9.66531194057146e-20;1.90794735917491e-19;-0.0681278549396393;-1.94943612309885e-19;-2.02329034204636e-19;-2.88259962372893e-19;3.70609637924453e-20;4.62788849874877e-19;-2.16595163640031e-18;-0.220068628255903;2.21305076399477e-18;1.85820594914968e-18;-2.24833785576481e-18;-4.20725733269369e-19;3.67156171422298e-19;-2.12922032007975e-18;-0.263135260819467;2.1755207165645e-18;1.46985792810209e-18;-1.89954981539172e-18;-4.13590850969507e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
