"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPSKE";"B.LEPTHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PROPRO";"B.PROPRP";"B.PRPPRO";"B.PRPPRP"
"B.CHACHA";1;4.27835138881454e-18;-5.32536956215269e-18;4.854726787398e-35;7.82649320764358e-18;6.80827457435653e-18;-0.0762214655923023;-6.22392621434671e-19;5.39448388812747e-19;-6.06450070175264e-36;-1.13855809901011e-18;-9.9043287348001e-19;-0.447653669408512;-1.45154326186496e-18;1.83783534596499e-18;-8.19036990486274e-36;-2.65534371704209e-18;-2.30988625879842e-18;-0.445868442760912;-2.05482980789954e-18;2.46968715728357e-18;-1.89213388217864e-35;-3.7589506033644e-18;-3.26991503604119e-18;0.0272448893815834;4.81574829652056e-19;-4.77156999155939e-19;4.36709414259404e-36;8.80956656131105e-19;7.66345110628844e-19;-0.0108351914544589;2.12091191415509e-19;-9.44641646421963e-20;-3.33225349715129e-36;3.8798362223222e-19;3.37507356159284e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHADIT";4.27835138881454e-18;1;2.40870766032572e-18;1.19179905345278e-17;1.08214864285247e-17;1.03853933823394e-17;-4.4674977901333e-19;-0.0762214655923023;-2.57038460346138e-19;-1.24448862510533e-18;-1.88973460381166e-18;-1.47053766059239e-18;-1.27570391757652e-18;-0.447653669408511;-6.3528789761071e-19;-3.55366491267788e-18;-3.98730715326606e-18;-3.48319674637258e-18;-1.60389418627961e-18;-0.445868442760912;-7.45949457450349e-19;-4.46788821050093e-18;-6.00734855728745e-18;-4.88455041122863e-18;1.11833124427499e-19;0.0272448893815834;-4.91766684988268e-20;3.11527968894312e-19;1.88218582243189e-18;1.08420429019057e-18;-5.72255924256121e-19;-0.0108351914544589;-5.89876066931573e-19;-1.59410484759215e-18;1.94525695800863e-18;3.34980067337401e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";-5.32536956215269e-18;2.40870766032572e-18;1;-4.19896809354923e-18;1.28905888268489e-17;4.31465362570015e-18;4.63745285018363e-19;-4.53588248805951e-19;-0.0762214655923025;3.65655685037352e-19;-1.62186375585795e-18;-6.86057720892878e-19;1.46083386070573e-18;-9.3200469777942e-19;-0.447653669408512;1.15184396115415e-18;-4.09157781688325e-18;-1.52881057261071e-18;1.99914073302109e-18;-1.34220446512229e-18;-0.445868442760914;1.57629025638493e-18;-5.73601218764342e-18;-2.17713584851884e-18;2.47489542635281e-20;4.78237253774388e-19;0.0272448893815831;1.95141516637294e-20;9.42353863055448e-19;6.02852060783894e-19;5.12219809524693e-19;3.76966640216202e-19;-0.0108351914544587;4.03877066553972e-19;6.51416742969696e-21;3.59627380978713e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";4.85472678739799e-35;1.19179905345278e-17;-4.19896809354923e-18;1;-5.11879941925666e-18;2.06475666889894e-18;-6.06450070175258e-36;-1.73376814966891e-18;4.25346362596032e-19;-0.0762214655923024;7.44656691238299e-19;-3.00370212493651e-19;-8.19036990486296e-36;-4.04349182271299e-18;1.44910355776033e-18;-0.44765366940851;1.73668736637341e-18;-7.00523018741912e-19;-1.89213388217862e-35;-5.72403712903021e-18;1.94730853013139e-18;-0.445868442760912;2.45848474598106e-18;-9.9167253078025e-19;4.36709414259409e-36;1.3414990354615e-18;-3.76230605535587e-19;0.0272448893815834;-5.76176366624853e-19;2.32410746741741e-19;-3.33225349715136e-36;5.90811876358557e-19;-7.44834717453906e-20;-0.0108351914544588;-2.53754815531404e-19;1.02356413041434e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";7.82649320764358e-18;1.08214864285247e-17;1.28905888268489e-17;-5.11879941925665e-18;1;7.85360470830815e-18;-8.17250336217226e-19;-8.14510308576004e-19;-1.33249537338841e-18;5.34510212355444e-19;-0.0762214655923025;-9.34984289869752e-19;-2.33367648856055e-18;-2.91087994205234e-18;-4.04733498375747e-18;1.52630578439782e-18;-0.44765366940851;-2.45679199335317e-18;-2.93404300252547e-18;-3.24687776742264e-18;-5.21816266817744e-18;1.91896641560152e-18;-0.445868442760912;-3.2392021233395e-18;2.04579079457964e-19;-3.81244095569724e-19;6.12340046358201e-19;-1.33801850373897e-19;0.0272448893815834;4.47167296757174e-19;-1.04684180825673e-18;-2.85624285286937e-18;-1.06678900418565e-18;6.84671039505254e-19;-0.010835191454459;-5.37359885024617e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHATHP";6.80827457435653e-18;1.03853933823394e-17;4.31465362570015e-18;2.06475666889894e-18;7.85360470830815e-18;1;-7.10926916734303e-19;-1.12472939470848e-18;-4.5366321712037e-19;-2.15603979597966e-19;-1.02759919777053e-18;-0.0762214655923023;-2.03006760247661e-18;-3.1370016046617e-18;-1.23960234500278e-18;-6.15661952929597e-19;-2.54951051493997e-18;-0.447653669408511;-2.5523270568553e-18;-3.99674158743607e-18;-1.52864362548486e-18;-7.74048439776866e-19;-3.47697646409701e-18;-0.445868442760913;1.77963553812144e-19;3.56251268330751e-19;4.93299196056352e-20;5.39713007372808e-20;6.42128807880444e-19;0.0272448893815831;-9.10648776845178e-19;-1.20925431296716e-18;-7.28584051032125e-19;-2.76173957803906e-19;-1.23780630221209e-19;-0.0108351914544588;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITCHA";-0.0762214655923023;-4.4674977901333e-19;4.63745285018362e-19;-6.06450070175259e-36;-8.17250336217226e-19;-7.10926916734303e-19;1;4.47810585149578e-18;-5.4228495208148e-18;5.19767140174764e-35;8.19190894919734e-18;7.12615010766181e-18;-0.0578007633141608;-8.48624085918017e-20;2.04094931052181e-19;-1.57202951401125e-37;-1.55240886983813e-19;-1.35044208908306e-19;0.0447226134333637;2.31555402215506e-19;-2.0891702853822e-19;5.98718025440026e-36;4.23589980797484e-19;3.68481364476127e-19;-0.387275370326499;-1.37574372807881e-18;1.4537010816421e-18;-1.54675798563893e-35;-2.51668176938841e-18;-2.18926408644165e-18;-0.167474514025038;-4.59113024668273e-19;4.28269946670046e-19;-4.11128402818762e-36;-8.39866724949524e-19;-7.30600936794719e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITDIT";-6.22392621434671e-19;-0.0762214655923024;-4.53588248805951e-19;-1.73376814966891e-18;-8.14510308576005e-19;-1.12472939470848e-18;4.47810585149578e-18;1;2.57132611795945e-18;1.2474436599638e-17;1.1326737168937e-17;1.08702831181956e-17;-1.37589462107175e-19;-0.0578007633141609;-6.65679527828465e-20;-3.83276116901298e-19;-1.19941989456357e-19;-2.18088131498097e-19;5.93695618368671e-19;0.0447226134333635;5.10135241361968e-19;1.65382833644925e-18;-6.47700924927592e-20;6.45125499732242e-19;-1.90539190157444e-18;-0.387275370326501;-1.37733541537876e-18;-5.30775539075632e-18;-2.52842409917933e-18;-3.4609719248339e-18;-6.46568765600598e-19;-0.167474514025038;-4.88955812493377e-19;-1.8011144312493e-18;-8.24563700332633e-19;-1.15744907232637e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITGUI";5.39448388812747e-19;-2.57038460346138e-19;-0.0762214655923025;4.25346362596032e-19;-1.33249537338841e-18;-4.53663217120371e-19;-5.4228495208148e-18;2.57132611795945e-18;1;-4.27582947028668e-18;1.33692702439962e-17;4.54448362490128e-18;3.15570066830371e-19;2.18836294397243e-20;-0.0578007633141608;2.48821913002465e-19;-4.26761863971988e-19;-4.61656899302006e-20;-6.15073500686623e-19;2.19115835152572e-20;0.0447226134333641;-4.84975544782052e-19;9.640120018556e-19;1.7215300556075e-19;2.29576953285624e-18;-5.80979166116471e-19;-0.387275370326499;1.81017728555707e-18;-4.62043975053752e-18;-1.27789191645097e-18;9.81305230844381e-19;-1.22490615884152e-19;-0.167474514025039;7.73743363020782e-19;-1.71726056053179e-18;-3.86060779645205e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITLEP";-6.06450070175263e-36;-1.24448862510533e-18;3.65655685037352e-19;-0.0762214655923024;5.34510212355444e-19;-2.15603979597966e-19;5.19767140174764e-35;1.2474436599638e-17;-4.27582947028668e-18;1;-5.35779405402177e-18;2.16115930661629e-18;-1.57202951401102e-37;-2.36396988096519e-19;1.6092556460942e-19;-0.057800763314161;1.01532952377899e-19;-4.09550801593455e-20;5.98718025440028e-36;6.45032359669702e-19;-1.64727710780038e-19;0.0447226134333638;-2.77042615406793e-19;1.11749951673912e-19;-1.54675798563895e-35;-3.83234083391231e-18;1.14621987979099e-18;-0.3872753703265;1.64599761832258e-18;-6.63941733414681e-19;-4.11128402818752e-36;-1.27892830321987e-18;3.37683952354024e-19;-0.167474514025039;5.49302119080097e-19;-2.21570552138503e-19;0;0;0;0;0;0;0;0;0;0;0;0;0
