"B.CHACHA";"B.CHASKE";"B.SKECHA";"B.SKESKE";"B.PLEPLE";"B.PLEPSE";"B.PSEPLE";"B.PSEPSE";"B.PROPRO";"B.PROPRP";"B.PROSCR";"B.PRPPRO";"B.PRPPRP";"B.PRPSCR";"B.SCRPRO";"B.SCRPRP";"B.SCRSCR"
"B.CHACHA";1;5.34068670627462e-18;-0.254435740776362;-1.68249934697791e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";5.34068670627462e-18;1;-1.84172731322889e-18;-0.254435740776362;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKECHA";-0.254435740776362;-1.84172731322889e-18;1;6.66797923348057e-18;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKESKE";-1.68249934697791e-18;-0.254435740776362;6.66797923348057e-18;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.PLEPLE";0;0;0;0;1;-1.95174368732048e-18;0.128886385316734;-2.09453064668755e-19;0;0;0;0;0;0;0;0;0
"B.PLEPSE";0;0;0;0;-1.95174368732048e-18;1;-1.69414696699118e-19;0.128886385316734;0;0;0;0;0;0;0;0;0
"B.PSEPLE";0;0;0;0;0.128886385316734;-1.69414696699118e-19;1;-3.31408641002191e-18;0;0;0;0;0;0;0;0;0
"B.PSEPSE";0;0;0;0;-2.09453064668754e-19;0.128886385316734;-3.31408641002191e-18;1;0;0;0;0;0;0;0;0;0
"B.PROPRO";0;0;0;0;0;0;0;0;1;-1.51869325988164e-18;-5.53282303865044e-18;-0.191209377395815;1.1869195518059e-19;2.64034718562596e-19;-0.175811066328362;6.4736280044036e-20;-8.7033083372645e-20
"B.PROPRP";0;0;0;0;0;0;0;0;-1.51869325988164e-18;1;-4.20758067242944e-18;2.86084560795857e-19;-0.191209377395815;3.3927052529814e-21;3.85724468932633e-19;-0.175811066328361;-4.44715185899405e-19
"B.PROSCR";0;0;0;0;0;0;0;0;-5.53282303865044e-18;-4.20758067242943e-18;1;1.21062569658516e-18;1.11805155888273e-18;-0.191209377395816;1.72812788229213e-18;1.69272885077208e-18;-0.175811066328361
"B.PRPPRO";0;0;0;0;0;0;0;0;-0.191209377395815;2.86084560795857e-19;1.21062569658516e-18;1;-1.188872044595e-18;-4.33123581443651e-18;-0.271970378467792;2.00121746056249e-19;5.04522084030092e-19
"B.PRPPRP";0;0;0;0;0;0;0;0;1.1869195518059e-19;-0.191209377395815;1.11805155888273e-18;-1.188872044595e-18;1;-3.2938020922141e-18;4.23359108027685e-19;-0.271970378467792;1.20422144264414e-19
"B.PRPSCR";0;0;0;0;0;0;0;0;2.64034718562596e-19;3.39270525298107e-21;-0.191209377395815;-4.33123581443651e-18;-3.2938020922141e-18;1;1.76691041966185e-18;1.60694839234928e-18;-0.271970378467792
"B.SCRPRO";0;0;0;0;0;0;0;0;-0.175811066328362;3.85724468932633e-19;1.72812788229213e-18;-0.271970378467792;4.23359108027685e-19;1.76691041966185e-18;1;-1.53351601673943e-18;-5.5868245232198e-18
"B.SCRPRP";0;0;0;0;0;0;0;0;6.4736280044036e-20;-0.175811066328361;1.69272885077208e-18;2.00121746056249e-19;-0.271970378467792;1.60694839234928e-18;-1.53351601673943e-18;1;-4.24864752043258e-18
"B.SCRSCR";0;0;0;0;0;0;0;0;-8.70330833726453e-20;-4.44715185899405e-19;-0.175811066328361;5.04522084030091e-19;1.20422144264415e-19;-0.271970378467792;-5.5868245232198e-18;-4.24864752043258e-18;1
