"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITRHI";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.LEPSKE";"B.LEPTHP";"B.RHICHA";"B.RHIDIT";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.RHISKE";"B.RHITHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPRHI";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.NITTHL";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PLETHL";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PSETHL";"B.THLNIT";"B.THLPLE";"B.THLPSE";"B.THLTHL";"B.GYMGYM";"B.GYMPRO";"B.GYMPRP";"B.PROGYM";"B.PROPRO";"B.PROPRP";"B.PRPGYM";"B.PRPPRO";"B.PRPPRP"
"B.CHACHA";1;-6.3171767529422e-18;3.54871539869481e-18;-6.4458511631422e-18;-1.23941809941646e-17;1.52921000148041e-17;1.1282214852038e-17;-0.0691944890925314;-2.86373426405046e-19;-6.82292587917065e-19;1.84653535531085e-18;-1.12369489133836e-20;-1.30152260156672e-18;5.11451024876145e-19;0.01590980733177;-1.3917794538291e-19;-1.24719343634774e-19;2.85437008084881e-19;-1.40559932796555e-19;-6.1761449304328e-20;2.4856601989866e-19;-0.0765823913734905;5.74370374548537e-19;-2.34044595501079e-19;8.40070271660906e-19;1.06903657488182e-18;-1.62728843939347e-18;-1.02580159202986e-18;-0.203188171170019;7.95531226858597e-19;-5.787052673951e-19;9.37319254387746e-19;1.6468949500565e-18;-2.04288530038953e-18;-1.42078567276811e-18;-0.13072364186816;8.08265787035216e-19;-3.32722679209038e-20;-2.57151445079683e-20;1.31101738209222e-18;-1.16339454113235e-18;-1.44352906741699e-18;0.060789102448532;6.1865809725491e-19;3.73271137558393e-19;-1.29009198585302e-18;7.43078363985806e-19;2.94400642931675e-19;-1.10489762217467e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHADIT";-6.3171767529422e-18;1;8.70718226637098e-18;1.1494081235892e-18;3.23348345703461e-18;8.45178227477213e-18;1.11494835619963e-34;8.41352930178947e-19;-0.0691944890925313;-1.06683831469478e-18;-1.53083874422677e-19;-3.96179146865843e-19;-1.12565028021452e-18;-1.29117523621818e-36;8.62099221662176e-20;0.0159098073317699;-1.59882702345215e-19;-1.56858654976989e-20;-5.93737511497738e-20;-1.15340684702955e-19;-9.78865398213787e-37;7.0830104011687e-19;-0.0765823913734906;-6.38073339088547e-19;-1.28875129080065e-19;-2.36953761067594e-19;-9.47639493112849e-19;-1.1969905498218e-35;8.61749708863077e-19;-0.203188171170019;-1.32499055258369e-18;-1.56795061244175e-19;-4.92046094986844e-19;-1.15293923211295e-18;-9.5171524054176e-36;3.59839240388487e-19;-0.13072364186816;-3.8467943425437e-19;-6.54726252350094e-20;-1.42853858903009e-19;-4.81430713849573e-19;-7.54100465587424e-36;-3.94441579556389e-19;0.0607891024485317;3.967407617531e-19;7.17685088694584e-20;1.47332931666611e-19;5.27725355947201e-19;-8.38833440506936e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";3.54871539869481e-18;8.70718226637098e-18;1;-6.95850867049477e-18;-1.54312294457988e-17;1.99387789980115e-17;6.1298465264145e-18;3.01609473023176e-19;1.82424246649341e-19;-0.0691944890925315;-6.10569769149318e-20;6.16403669003156e-19;-1.1522960738145e-18;1.28426464549396e-19;2.92500768663856e-20;1.58241611954656e-20;0.0159098073317699;-4.14523803873226e-21;1.04123619261028e-19;-1.21283460616291e-19;1.11401916911857e-20;-3.02955009658767e-19;-8.11708962992006e-19;-0.0765823913734905;6.59082172779541e-19;1.3079344269586e-18;-2.05126836239e-18;-5.71442197376883e-19;-5.04813492965739e-19;-1.22369563207187e-18;-0.203188171170018;9.75671884796243e-19;2.24487884111672e-18;-2.76015261871188e-18;-8.61480349230209e-19;-6.60961689402542e-19;-1.2913048996163e-18;-0.13072364186816;9.81758932233389e-19;1.60653447096427e-18;-2.02658301081238e-18;-9.09077197571293e-19;-4.00255374588529e-19;-5.3422827020055e-19;0.0607891024485319;3.58886972828679e-19;2.46500486726565e-19;3.76320718593512e-20;-3.76096101611312e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";-6.44585116314219e-18;1.1494081235892e-18;-6.95850867049477e-18;1;-8.00869095380804e-18;2.6635630043806e-18;-5.43535960754406e-18;-1.28025148835162e-18;5.21055458099586e-20;7.60310785972691e-19;-0.0691944890925316;1.01872258392188e-19;-6.71178914415327e-19;-2.46398449090575e-19;-3.39483935599085e-19;2.53233789877836e-20;1.05568192272036e-19;0.01590980733177;-6.45625986516797e-20;-9.95917062466049e-20;-1.19750042175552e-19;4.68727843937101e-19;-1.04506490838266e-19;5.19625696332331e-19;-0.0765823913734906;6.79305184155524e-19;-3.36226810505866e-19;4.94193791892407e-19;7.53718793930206e-19;-1.44746631364126e-19;1.04446625991211e-18;-0.203188171170019;1.08122712896027e-18;-3.81927049791917e-19;6.84482715319513e-19;1.21761327308013e-18;-1.47063680180359e-19;3.53472174817281e-19;-0.13072364186816;7.92671809465166e-19;-2.58965137068449e-20;6.95439653317424e-19;1.51887556401229e-18;-1.12564626655071e-19;-2.38180199959138e-19;0.0607891024485319;3.86855531561456e-19;4.50580548580953e-19;5.32299374262923e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHARHI";-1.23941809941646e-17;3.23348345703461e-18;-1.54312294457988e-17;-8.00869095380803e-18;1;1.03830329834019e-17;1.43709385002359e-18;1.14510372368684e-18;6.77447382697872e-20;9.50991613602962e-19;6.39713699498891e-19;-0.0691944890925318;-1.2644224399966e-18;3.01085649679658e-20;1.18414512989866e-19;5.87643187907132e-21;1.51182900586898e-19;6.64611413433955e-20;0.0159098073317703;-1.29813201635932e-19;2.61172949412306e-21;1.32767484584141e-18;-3.01434772291184e-19;1.26142988235058e-18;8.45609492862989e-19;-0.0765823913734906;-1.14965393211972e-18;-1.33970086193109e-19;1.70426759347479e-18;-4.54429396526122e-19;2.27200849368229e-18;1.10392059769263e-18;-0.203188171170019;-1.41955803311565e-18;-2.01967228128804e-19;1.00562642366206e-18;-4.79536651830914e-19;1.36371445829143e-18;7.09187321139205e-19;-0.13072364186816;-6.61627364793643e-19;-2.13125931325813e-19;-3.67801971329521e-19;-1.98390044118561e-19;-2.83942349399248e-21;-1.57174987233127e-19;0.0607891024485321;5.5318545227659e-19;-8.81727449968647e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";1.52921000148041e-17;8.45178227477213e-18;1.99387789980115e-17;2.6635630043806e-18;1.03830329834019e-17;1;1.53211554492191e-17;-4.19259688605842e-20;3.83140435025608e-19;-7.33187046877019e-19;4.37178358114096e-19;3.41704363301491e-19;-0.0691944890925316;6.94546306692105e-19;1.89982067516233e-19;1.86206867059501e-19;4.53336701411447e-20;1.21925047954898e-19;1.97716054904488e-19;0.0159098073317698;3.37550621062065e-19;-1.4776966395911e-18;-7.68452987879847e-19;-1.64082806101603e-18;-2.04596449708928e-19;-9.30490651391991e-19;-0.0765823913734903;-1.39303016807085e-18;-1.96892358399547e-18;-1.06434519487834e-18;-2.76683820332271e-18;-3.16845892756757e-19;-1.3277143058161e-18;-0.203188171170018;-1.92941531764672e-18;-1.66425768481484e-18;-1.08138282643229e-18;-1.73414727085695e-18;-4.66621181769646e-19;-1.26411222004538e-18;-0.130723641868159;-1.96030066147576e-18;-8.3716548040752e-19;-8.27705752904261e-19;-5.53163527586274e-19;-5.45118796420018e-19;-9.06571796725376e-19;0.0607891024485319;-1.50044192978232e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHATHP";1.1282214852038e-17;1.11494835619963e-34;6.1298465264145e-18;-5.43535960754406e-18;1.43709385002359e-18;1.53211554492191e-17;1;-1.5026213284676e-18;-1.29117523621818e-36;-7.51052974144674e-19;7.23908149357007e-19;-1.76078406781347e-19;-2.04054746844371e-18;-0.0691944890925316;-1.53967334189869e-19;-9.78865398213836e-37;-1.12557242701784e-19;7.41758457990789e-20;-2.63881518999395e-20;-2.09086379949486e-19;0.01590980733177;-1.26499618849491e-18;-1.19699054982179e-35;-4.49202913359913e-19;6.09429024071492e-19;-1.05312056577673e-19;-1.71785447279433e-18;-0.0765823913734904;-1.53904912658115e-18;-9.51715240541764e-36;-9.32791859389012e-19;7.41457733818471e-19;-2.18685645505732e-19;-2.09001612020136e-18;-0.203188171170019;-6.42657912075403e-19;-7.54100465587425e-36;-2.70813889236526e-19;3.09609141695457e-19;-6.34901661967761e-20;-8.7272418587199e-19;-0.13072364186816;7.04456250184832e-19;-8.38833440506938e-36;2.79305050235601e-19;-3.39381326960362e-19;6.54808514771899e-20;9.56645823342575e-19;0.060789102448532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITCHA";-0.0691944890925314;8.41352930178947e-19;3.01609473023176e-19;-1.28025148835162e-18;1.14510372368684e-18;-4.19259688605834e-20;-1.5026213284676e-18;1;-4.75372800399374e-18;2.84658797082443e-18;-4.85055656698751e-18;-9.44175770070317e-18;1.15074323425239e-17;8.4899604343393e-18;-0.0642475863049472;3.50388411718588e-19;-4.00510795353907e-19;7.39312455714584e-19;8.20465656398793e-19;-1.20427463939277e-18;-6.25779125276545e-19;0.0236475173937854;7.5292293146594e-20;4.00035246335362e-19;-9.82044732766319e-19;-1.41138946744034e-19;8.05321133568539e-19;-1.34468902993234e-19;-0.0888987696079992;-4.70563141471385e-20;-5.42681779625756e-19;1.6415041673775e-18;2.79333237949302e-19;-1.46186256838454e-18;8.4040619269634e-20;-0.187039541997828;6.03108051197154e-19;-6.45581654900511e-19;1.0694528230354e-18;1.38362804120934e-18;-1.88344480512549e-18;-1.07712588688153e-18;-0.323960029584485;1.83807569591864e-18;-2.72544417478893e-19;4.01026531173735e-20;3.10995313535475e-18;-2.73761777340927e-18;-3.28272671902127e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITDIT";-2.86373426405046e-19;-0.0691944890925313;1.82424246649341e-19;5.21055458099586e-20;6.77447382697871e-20;3.83140435025607e-19;-1.29117523621819e-36;-4.75372800399374e-18;1;6.85756878823151e-18;8.64939164885489e-19;2.5466143413425e-18;6.36003639830558e-18;6.8639699401927e-35;5.51698934483466e-19;-0.0642475863049473;-8.36011135955024e-19;-1.0038143016585e-19;-3.10459583285368e-19;-7.38120755178542e-19;-8.97716842401482e-36;-4.83034232869911e-19;0.0236475173937852;6.62966741850887e-19;8.78879114746575e-20;2.46198130090648e-19;6.46253908532265e-19;4.41532956133665e-36;8.43801558787845e-19;-0.0888987696079988;-9.21656357537564e-19;-1.53529401550505e-19;-3.42264637858622e-19;-1.12892631263906e-18;-4.5009139109486e-36;8.42527083308005e-19;-0.187039541997828;-1.36306552503242e-18;-1.53297511178092e-19;-5.0618554788603e-19;-1.12722118554014e-18;-7.7347385518664e-36;8.70290228402671e-19;-0.323960029584484;-1.21607407631537e-18;-1.58349005818212e-19;-4.5159906936613e-19;-1.16436563578743e-18;-1.69983265823807e-35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITGUI";-6.82292587917065e-19;-1.06683831469478e-18;-0.0691944890925315;7.60310785972691e-19;9.50991613602963e-19;-7.33187046877019e-19;-7.51052974144674e-19;2.84658797082443e-18;6.85756878823151e-18;1;-5.46107794455851e-18;-1.21532677477364e-17;1.5346104396089e-17;4.82772071724523e-18;-2.99302198360216e-19;-7.42019708794251e-19;-0.0642475863049474;5.94161053350518e-19;1.38573906219787e-18;-1.72070021056661e-18;-5.22381040770296e-19;-5.96109362407295e-20;9.20932611367327e-20;0.0236475173937852;-1.09817069254506e-19;-5.92626268080402e-19;8.82012685248074e-19;6.48335523037643e-20;9.23862164170054e-20;-1.81237703882327e-19;-0.0888987696079988;2.06824155729616e-19;8.78144735612626e-19;-1.5635751480502e-18;-1.275911397754e-19;-3.42153048344826e-19;-9.33960132144588e-19;-0.187039541997827;7.60743576956631e-19;1.97797875949858e-18;-2.40463019185256e-18;-6.57506883018567e-19;-1.36427196281492e-18;-2.71695143723043e-18;-0.323960029584484;2.07550414943118e-18;3.6861242087712e-18;-4.44649102040785e-18;-1.91273075725853e-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
