"B.CHACHA";"B.CHADIT";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.CHASKE";"B.CHATHP";"B.DITCHA";"B.DITDIT";"B.DITGUI";"B.DITLEP";"B.DITRHI";"B.DITSKE";"B.DITTHP";"B.GUICHA";"B.GUIDIT";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.GUISKE";"B.GUITHP";"B.LEPCHA";"B.LEPDIT";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.LEPSKE";"B.LEPTHP";"B.RHICHA";"B.RHIDIT";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.RHISKE";"B.RHITHP";"B.SKECHA";"B.SKEDIT";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.SKESKE";"B.SKETHP";"B.THPCHA";"B.THPDIT";"B.THPGUI";"B.THPLEP";"B.THPRHI";"B.THPSKE";"B.THPTHP";"B.NITNIT";"B.NITPLE";"B.NITPSE";"B.NITTHL";"B.PLENIT";"B.PLEPLE";"B.PLEPSE";"B.PLETHL";"B.PSENIT";"B.PSEPLE";"B.PSEPSE";"B.PSETHL";"B.THLNIT";"B.THLPLE";"B.THLPSE";"B.THLTHL";"B.GYMGYM";"B.GYMPRO";"B.GYMPRP";"B.PROGYM";"B.PROPRO";"B.PROPRP";"B.PRPGYM";"B.PRPPRO";"B.PRPPRP"
"B.CHACHA";1;-5.78912885737046e-19;-6.59179913156093e-18;2.75422708190923e-20;5.43397965505075e-36;-2.94280297876749e-18;2.89200222696461e-35;-0.0794060031421121;4.43894068557788e-20;6.89173350968889e-19;-2.11186362446258e-21;8.31561711568275e-37;2.25645830209145e-19;-2.8407755855072e-36;-0.0651210239854407;6.39561584126862e-20;6.45128416659207e-19;-3.04276840082476e-21;-1.51753299668478e-37;3.25110008991691e-19;-1.56860818977453e-36;-0.148022982704875;8.06066122083682e-20;7.51831629908264e-19;-3.83492784139e-21;-4.61496439496786e-37;4.09749695263973e-19;-3.03908170291412e-36;-0.133566730814527;2.19825295565598e-20;2.90979676143036e-19;-1.04583746061319e-21;-6.48619818515034e-38;1.1174436612778e-19;5.76293840062004e-38;-0.151179626240669;5.39680535438567e-20;6.93726337420026e-19;-2.5675758527844e-21;5.62422841328546e-37;2.74337214872919e-19;-1.21007153399688e-36;0.0361310976745223;-5.87544692368014e-22;-3.01429466932586e-19;2.79529363298174e-23;-1.70890479271279e-36;-2.98668126666165e-21;-1.0039978736991e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHADIT";-5.78912885737046e-19;1;-2.80120130596615e-18;-2.97351488087126e-18;-7.97672221161414e-18;-8.15472295827252e-18;-9.63698761150673e-19;2.55093761650983e-20;-0.0794060031421125;-1.20277132733929e-19;-2.90630682739947e-20;3.51488475164097e-19;4.95103077798704e-19;4.24646865075967e-20;8.09640267756882e-21;-0.0651210239854405;-2.98805008808483e-19;-4.32063672170207e-19;1.1155867603484e-19;5.15749899149834e-19;1.34778365145834e-20;6.66287912114627e-20;-0.148022982704876;3.26578198566353e-19;2.23708903613499e-19;9.18064482383782e-19;1.03906919859312e-18;1.10914932331666e-19;5.14261033302416e-20;-0.133566730814527;4.28900229923334e-19;5.13803816959231e-19;7.08589756417042e-19;5.12665685096321e-19;8.5607477897238e-20;3.69624392989015e-20;-0.151179626240669;1.20709313033234e-20;4.56578624913598e-20;5.09297888879451e-19;6.42954604341353e-19;6.15302541005074e-20;3.19647128146454e-20;0.0361310976745226;5.61388931254139e-19;4.40202139722952e-19;4.40435238147841e-19;2.16171952632673e-19;5.32106900691839e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";-6.59179913156093e-18;-2.80120130596615e-18;1;1.86763342102493e-18;3.62152941608675e-18;-1.53538915323978e-17;-4.34942403148307e-18;4.92530130306713e-19;2.22679656958817e-19;-0.0794060031421124;-1.3574351650992e-19;-2.70595677995491e-19;1.15468928717388e-18;3.24982958708306e-19;2.05846550928479e-19;6.28775619639475e-19;-0.06512102398544;9.55770510341066e-20;-1.1309193810506e-19;7.81630135915618e-19;1.35822393482768e-19;9.65327393773046e-19;3.60999729783843e-19;-0.148022982704876;-2.8749660719608e-19;-5.30350133996819e-19;2.22100586884867e-18;6.36945707981729e-19;5.27370810010908e-19;-6.29881882288855e-20;-0.133566730814527;-2.31043383581857e-19;-2.89737120856071e-19;1.06811189564694e-18;3.47971658235429e-19;4.97206438184969e-19;3.32836696586534e-19;-0.151179626240669;-1.06314331834952e-19;-2.73164837977733e-19;1.22596389889978e-18;3.28068496580195e-19;2.74841178583728e-19;-1.74927709432498e-19;0.0361310976745224;-1.60810323991822e-19;-1.50997533924735e-19;4.77326861947723e-19;1.81346670782141e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";2.75422708190923e-20;-2.97351488087126e-18;1.86763342102493e-18;1;8.09482488821122e-19;-4.14031418612675e-18;-3.7814419800017e-18;-1.21363017489364e-21;3.88089575695318e-19;-3.12723298935516e-19;-0.0794060031421124;-3.56692583895559e-20;2.55276092009433e-19;1.66626496474589e-19;-3.85193214212377e-22;8.02152795914593e-19;-3.45680524716586e-19;-0.0651210239854399;-1.1321040438739e-20;2.73402525486675e-19;5.28854646808847e-20;-3.16992116967389e-21;5.32547648704477e-19;-2.10999558647951e-19;-0.148022982704876;-9.31657267713616e-20;5.30445177090555e-19;4.35217308806351e-19;-2.44664041859918e-21;-1.36749397112599e-19;4.34359877778663e-21;-0.133566730814527;-7.19081076613742e-20;2.54204584674844e-19;3.35913797726745e-19;-1.75851935306033e-21;4.21395437330528e-19;-2.76935073751633e-19;-0.151179626240669;-5.16838510486447e-20;3.29955799201507e-19;2.41437568746084e-19;-1.52074828300741e-21;-2.79037172367969e-19;2.81431901740243e-19;0.0361310976745225;-4.46956285153488e-20;1.03026292019717e-19;2.08792566021584e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHARHI";5.43397965505075e-36;-7.97672221161414e-18;3.62152941608675e-18;8.09482488821122e-19;1;-8.34439442103498e-18;-1.30988335834716e-35;8.31561711568275e-37;6.11632555347368e-19;-3.78631313470543e-19;-6.20688335398885e-20;-0.0794060031421123;6.39824623093046e-19;1.41573856577072e-36;-1.51753299668484e-37;8.81238821848768e-19;-3.54433060148717e-19;-8.94286369553264e-20;-0.0651210239854403;9.21857890190495e-19;7.23989876008164e-37;-4.61496439496792e-37;1.1106620181495e-18;-4.13055724137708e-19;-1.12710638635718e-19;-0.148022982704876;1.16185592302666e-18;1.38685446174324e-36;-6.48619818514979e-38;3.02892777309712e-19;-1.59864012176879e-19;-3.07377382235548e-20;-0.133566730814527;3.1685405785787e-19;-3.32568397424591e-38;5.62422841328542e-37;7.4361476834772e-19;-3.81132720754772e-19;-7.54624665918318e-20;-0.151179626240669;7.77890311306746e-19;6.22735957236722e-37;-1.7089047927128e-36;-8.09565810918357e-21;1.65605119267829e-19;8.21552174065259e-22;0.0361310976745223;-8.46881244811271e-21;3.1104240699219e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";-2.94280297876749e-18;-8.15472295827252e-18;-1.53538915323978e-17;-4.14031418612675e-18;-8.34439442103499e-18;1;2.13780066422139e-19;1.29672477525831e-19;4.89510021510621e-19;1.37462716709338e-18;2.4463145896152e-19;3.67689684234834e-19;-0.0794060031421124;-9.42006347642273e-21;4.11566550060741e-20;4.99201898609802e-19;1.18282655419072e-18;2.41908582934989e-19;1.16700766207927e-19;-0.0651210239854401;-2.98982721724587e-21;3.38695873039924e-19;1.03492838225117e-18;1.75515261934583e-18;5.22564428496491e-19;9.60380961217327e-19;-0.148022982704876;-2.46045782737738e-20;2.61415653019995e-19;5.21388105527546e-19;8.48156714528612e-19;2.70804983454635e-19;7.41250886440538e-19;-0.133566730814527;-1.8990552908101e-20;1.87892132220956e-19;6.37916828754876e-19;1.45803121962171e-18;3.20367969268515e-19;5.32773030057747e-19;-0.151179626240669;-1.3649433141194e-20;1.62487058768135e-19;2.2581529546001e-19;-3.17220568331481e-19;1.21379378501422e-19;4.60736283216305e-19;0.0361310976745225;-1.18038803368134e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHATHP";2.89200222696461e-35;-9.63698761150673e-19;-4.34942403148307e-18;-3.7814419800017e-18;-1.30988335834716e-35;2.13780066422139e-19;1;-2.84077558550719e-36;7.38937022289018e-20;4.54732778523242e-19;2.89950302864846e-19;1.41573856577073e-36;-1.63920523793248e-20;-0.0794060031421124;-1.56860818977452e-36;1.06465881393867e-19;4.25670895427564e-19;4.17759749799765e-19;7.23989876008149e-37;-2.3617632515057e-20;-0.0651210239854403;-3.03908170291411e-36;1.3418338793212e-19;4.96076183980707e-19;5.26520025344356e-19;1.38685446174324e-36;-2.97662866668264e-20;-0.148022982704876;5.76293840061921e-38;3.65936516919012e-20;1.91995230866505e-19;1.43589237931664e-19;-3.32568397424431e-38;-8.11767494645562e-21;-0.133566730814527;-1.21007153399687e-36;8.98389854903857e-20;4.57736946018396e-19;3.52517741922255e-19;6.22735957236721e-37;-1.99292404013265e-20;-0.151179626240669;-1.00399787369911e-36;-9.78067868423265e-22;-1.98890248490214e-19;-3.8378246875923e-21;3.1104240699219e-37;2.16967606793665e-22;0.0361310976745225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITCHA";-0.0794060031421121;2.55093761650982e-20;4.92530130306713e-19;-1.21363017489364e-21;8.31561711568274e-37;1.29672477525831e-19;-2.84077558550719e-36;1;-3.66796521930126e-19;-4.47108350869808e-18;1.74506551700585e-20;9.37731396672188e-37;-1.86454633146276e-18;1.41459947420305e-35;-0.0654118776810913;-2.23958524349515e-20;-1.92710796690908e-19;1.06550164659496e-21;4.42567076094027e-37;-1.13845421101144e-19;1.1091793826709e-36;0.164553764291225;-5.05001820170916e-20;-6.19575088254363e-19;2.40258892796518e-21;-3.5363691995038e-37;-2.56708893046989e-19;1.79517294784307e-36;-0.0826413816044902;8.19426602705884e-20;8.46120237001473e-19;-3.89849145944654e-21;-2.46874228866599e-37;4.16541263242757e-19;-1.78721369439088e-36;-0.181417900473532;4.0895471547061e-20;5.63901977942399e-19;-1.94563669314357e-21;4.05496814721711e-37;2.07885017680287e-19;4.13314421294011e-37;-0.249321672977204;3.62316906081017e-20;4.10479795376743e-19;-1.72375336522597e-21;1.14824995342645e-37;1.84177498332168e-19;-1.07374575075524e-36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITDIT";4.43894068557788e-20;-0.0794060031421125;2.22679656958817e-19;3.88089575695317e-19;6.11632555347368e-19;4.89510021510621e-19;7.38937022289018e-20;-3.66796521930126e-19;1;-1.59478570645544e-18;-1.88400525032787e-18;-5.05401423203389e-18;-5.1667946803256e-18;-6.10595069633667e-19;1.48311468179934e-20;-0.0654118776810916;2.92781617154654e-19;3.91836072879743e-19;2.04355337670844e-19;-5.87933398358025e-20;2.46889612704803e-20;-6.20680878056904e-20;0.164553764291226;-3.53609133318897e-19;-4.16892479418507e-19;-8.55223483239154e-19;-7.91120046888076e-19;-1.03322867393393e-19;2.97403117141183e-21;-0.0826413816044903;-4.82097606594202e-19;-6.54320438394908e-19;4.09785670478393e-20;6.09776611374835e-19;4.95077968745571e-21;2.14487157708719e-20;-0.181417900473532;-9.1616002655225e-20;-5.47255652598714e-20;2.95537466370758e-19;4.41978985927277e-19;3.57050280377593e-20;1.01095071212908e-19;-0.249321672977203;9.41884697905263e-19;1.06925640647071e-18;1.39296830299784e-18;9.57603266403075e-19;1.68289905591378e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.DITGUI";6.89173350968889e-19;-1.20277132733929e-19;-0.0794060031421124;-3.12723298935516e-19;-3.78631313470543e-19;1.37462716709338e-18;4.54732778523242e-19;-4.47108350869808e-18;-1.59478570645545e-18;1;1.35355369576379e-18;2.45640987010721e-18;-1.02438578543113e-17;-2.95012600829875e-18;1.66473492430548e-19;-3.6599774150213e-19;-0.0654118776810914;-1.71337641671374e-19;-9.14604097915186e-20;1.43960169774624e-19;1.09843123877304e-19;-8.80713225782586e-19;-5.7503551611533e-20;0.164553764291225;3.39588058127885e-19;4.83863174628167e-19;-1.87457382217394e-18;-5.81115290774443e-19;1.41539721495462e-19;8.80299911786591e-19;-0.0826413816044902;1.93078094341634e-19;-7.77618150538442e-20;7.87504047889749e-19;9.3391235654357e-20;2.50252069269076e-19;3.29547217530469e-19;-0.181417900473531;-7.44385608215893e-21;-1.37488296018507e-19;7.07492879379126e-19;1.65122198398899e-19;1.3091718015203e-18;-3.72739261293916e-19;-0.249321672977204;-6.35071747031081e-19;-7.19257989403309e-19;2.5307506342839e-18;8.63822331540612e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
