"B.SKESKE";"B.SKECHA";"B.SKEGUI";"B.SKELEP";"B.SKERHI";"B.CHASKE";"B.CHACHA";"B.CHAGUI";"B.CHALEP";"B.CHARHI";"B.GUISKE";"B.GUICHA";"B.GUIGUI";"B.GUILEP";"B.GUIRHI";"B.LEPSKE";"B.LEPCHA";"B.LEPGUI";"B.LEPLEP";"B.LEPRHI";"B.RHISKE";"B.RHICHA";"B.RHIGUI";"B.RHILEP";"B.RHIRHI";"B.ASTAST";"B.ASTNIT";"B.ASTPSE";"B.NITAST";"B.NITNIT";"B.NITPSE";"B.PSEAST";"B.PSENIT";"B.PSEPSE";"B.GYMGYM";"B.GYMPRP";"B.PRPGYM";"B.PRPPRP";"B.CRYCRY";"B.CRYEUG";"B.EUGCRY";"B.EUGEUG"
"B.SKESKE";1;-5.15891726599584e-18;8.06608746971793e-19;2.09689733884498e-18;-7.86243380372579e-19;-0.169350718509086;3.65875604564376e-19;-6.84867737576509e-20;-1.78041379017575e-19;6.67576104427121e-20;-0.141267917213394;9.80061398540484e-19;-1.34262890900794e-19;-3.49036009952115e-19;1.30873003295273e-19;0.180402453822293;-5.72702470373743e-19;8.75986848812937e-20;2.27725585550002e-19;-8.53869814526934e-20;-0.0878230332881919;5.74283604365198e-19;-7.92758762277052e-20;-2.06089227919434e-19;7.72743081962247e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKECHA";-5.15891726599584e-18;1;2.81821628684376e-18;-1.01886058016298e-18;-4.6594351150716e-18;1.02544885887873e-18;-0.169350718509086;-2.42556681285905e-19;8.76907291221905e-20;4.01025685450314e-19;2.10287345898602e-19;-0.141267917213395;-4.89230296752068e-19;1.76869840086107e-19;8.0885801231262e-19;-6.23104967723903e-19;0.180402453822293;3.72754115179386e-19;-1.34760584495501e-19;-6.16284712306242e-19;1.36841975786583e-20;-0.0878230332881917;-2.5458672157155e-19;9.20399105111549e-20;4.20915284557504e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKEGUI";8.06608746971792e-19;2.81821628684376e-18;1;-1.20499628437358e-36;-1.40183856854977e-35;-1.44446963838588e-19;-4.25452784510496e-19;-0.169350718509086;5.33554480760077e-38;1.05583789847538e-36;-5.16002336667478e-20;-1.56021503244804e-19;-0.141267917213395;1.15234460752567e-37;1.30946079475651e-36;9.90424247064498e-20;2.7397006388111e-19;0.180402453822293;-8.16834458837038e-38;-9.35569176460978e-37;-1.44974957286852e-20;-1.03466280535954e-19;-0.0878230332881917;7.15292842193443e-38;5.95263887255858e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKELEP";2.09689733884498e-18;-1.01886058016298e-18;-1.20499628437358e-36;1;3.15898199021935e-36;-3.75510996148379e-19;1.53812563245026e-19;5.33554480760089e-38;-0.169350718509086;-1.99546986239351e-37;-1.34142349764731e-19;5.64059472851641e-20;1.15234460752567e-37;-0.141267917213395;-2.97826761099625e-37;2.57475259944052e-19;-9.90475072961173e-20;-8.16834458837046e-38;0.180402453822293;2.12123028683572e-37;-3.76883592293347e-20;3.74058283270467e-20;7.15292842193431e-38;-0.0878230332881919;-1.55034450190878e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.SKERHI";-7.86243380372579e-19;-4.6594351150716e-18;-1.40183856854977e-35;3.15898199021935e-36;1;1.40799947383881e-19;7.0341288325082e-19;1.05583789847539e-36;-1.99546986239351e-37;-0.169350718509085;5.02974239970368e-20;2.57954676622518e-19;1.3094607947565e-36;-2.97826761099625e-37;-0.141267917213395;-9.6541788188938e-20;-4.52962301752823e-19;-9.35569176460976e-37;2.12123028683571e-37;0.180402453822292;1.41314609982245e-20;1.71063669955221e-19;5.95263887255853e-37;-1.55034450190878e-37;-0.0878230332881919;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHASKE";-0.169350718509086;1.02544885887873e-18;-1.44446963838588e-19;-3.75510996148379e-19;1.40799947383881e-19;1;-4.21541971167724e-18;6.54460306568614e-19;1.7013652286508e-18;-6.37936404344715e-19;-0.158028688780258;9.70327156141906e-19;-1.47152815660569e-19;-3.82545253470933e-19;1.43437481493558e-19;-0.435739851868873;1.87189676465017e-18;-2.70732234472923e-19;-7.03808016138067e-19;2.6389675044679e-19;-0.217780590617303;3.7232613283205e-19;-6.6939004797327e-20;-1.74017727369566e-19;6.52489197621698e-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHACHA";3.65875604564376e-19;-0.169350718509086;-4.25452784510496e-19;1.53812563245026e-19;7.0341288325082e-19;-4.21541971167724e-18;1;2.21021174710224e-18;-7.99050673806732e-19;-3.65420435410422e-18;9.20400421514968e-19;-0.158028688780258;-2.52022557406658e-19;9.11128965694399e-20;4.16675880858623e-19;7.53132556433041e-19;-0.435739851868872;-9.59086369976794e-19;3.46735380070967e-19;1.58568408376535e-18;9.18801712747167e-19;-0.217780590617302;-3.45566553904493e-19;1.24931553777359e-19;5.7133476354298e-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHAGUI";-6.84867737576509e-20;-2.42556681285905e-19;-0.169350718509086;5.3355448076009e-38;1.05583789847539e-36;6.54460306568614e-19;2.21021174710224e-18;1;-6.7353833610098e-37;-8.985508282122e-36;-1.31365627734828e-19;-4.38886429349566e-19;-0.158028688780258;-4.20885493905344e-39;1.51989396776952e-36;-1.45142527433647e-19;-5.83801334850533e-19;-0.435739851868872;2.23515362664012e-37;2.0470281158503e-36;-1.35837439963325e-19;-3.77859922393455e-19;-0.217780590617303;5.89209078977924e-38;8.60351929684997e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHALEP";-1.78041379017575e-19;8.76907291221905e-20;5.33554480760076e-38;-0.169350718509086;-1.99546986239352e-37;1.7013652286508e-18;-7.99050673806732e-19;-6.73538336100979e-37;1;1.92341768047359e-36;-3.41504150862496e-19;1.58669185229057e-19;-4.2088549390549e-39;-0.158028688780258;-2.04115634191612e-37;-3.77319215383482e-19;2.11059800307907e-19;2.23515362664013e-37;-0.435739851868873;-5.10089860962765e-37;-3.53129280390221e-19;1.36606470393122e-19;5.89209078977979e-38;-0.217780590617301;-1.78449626453972e-37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"B.CHARHI";6.67576104427122e-20;4.01025685450314e-19;1.05583789847538e-36;-1.99546986239351e-37;-0.169350718509085;-6.37936404344715e-19;-3.65420435410422e-18;-8.985508282122e-36;1.92341768047359e-36;1;1.2804889062108e-19;7.25623100677628e-19;1.51989396776951e-36;-2.04115634191612e-37;-0.158028688780258;1.41477949295337e-19;9.65214931347474e-19;2.04702811585028e-36;-5.10089860962756e-37;-0.435739851868873;1.32407797930383e-19;6.24726284919065e-19;8.60351929685022e-37;-1.78449626453977e-37;-0.217780590617302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
