"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"2002-04-03";NA;NA;"1600";NA;NA;NA;NA;NA;"0";NA;NA;"100";"100";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1400";NA;NA;NA;"2200";"200";"100";NA;NA;NA;NA;NA;"100";"1600";NA;"700";NA;"42100";"5700";NA;"1600"
"2002-04-15";NA;NA;"41800";"16720";NA;NA;NA;NA;"33440";NA;NA;NA;NA;"12540";NA;NA;NA;"8360";NA;NA;NA;NA;NA;"261250";"6270";"4180";NA;NA;NA;NA;"45980";NA;NA;NA;NA;NA;"2090";"52250";NA;"4180";NA;NA;"300";NA;NA;NA;NA;NA;NA;"50160";"252890";NA;NA;NA;"4180";"12540";NA;"2611360"
"2002-06-17";NA;NA;"13200";NA;"800";NA;NA;NA;"8800";NA;NA;"300";"400";"400";NA;NA;NA;NA;"1100";NA;NA;NA;NA;"14300";"1100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"900";NA;"100";NA;NA;"2600";NA;"400";NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;"2500";"400";NA;"800"
"2002-07-25";NA;NA;"88500";"100";"500";NA;NA;NA;"7700";NA;NA;"700";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"7600";"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400";"500";NA;NA;NA;"1200";NA;"100";NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;"500";"100";NA;"2700"
"2002-08-22";NA;NA;NA;NA;"3700";NA;NA;NA;NA;NA;NA;NA;"5800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2100";NA;NA;NA;NA;NA;"1600";"2100";NA;NA;NA;NA;"8700";"100";"300";NA;NA;"2700";NA;NA;"2800";NA;NA;"6700";"2000";NA;NA;NA;NA;NA;NA;"2600";NA;"1200"
"2002-09-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;"5200";NA;NA;NA;"2080";"520";NA;NA;NA;NA;NA;NA;"68640";NA;NA;NA;NA;NA;"520";NA;NA;NA;"1700";NA;NA;NA;NA;NA;NA;"520";"1040";"15600";NA;NA;NA;NA;"4120";NA;"13520"
"2002-10-24";NA;NA;NA;NA;"1040";NA;NA;NA;"700";NA;NA;"500";NA;NA;NA;NA;NA;"1100";NA;NA;NA;NA;NA;"1500";"800";NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;"1600";"7780";NA;NA;"1560";NA;"13000";"5200";NA;"300";"700";NA;"600";"1100";NA;"100";"600";NA;NA;NA;NA;NA;"1640"
"2002-11-19";NA;NA;NA;NA;NA;NA;NA;NA;"700";NA;NA;"1000";"1100";"600";NA;NA;NA;"800";NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;NA;NA;"3100";NA;NA;NA;NA;"2600";"600";NA;NA;NA;"6600";NA;NA;"400";NA;NA;NA;NA;"200";"1100";NA;NA;NA;NA;"2500";NA;"1700"
"2003-03-07";NA;NA;"212100";NA;"4200";NA;NA;"2100";"2100";NA;NA;"1050";"1050";NA;NA;NA;NA;"8400";NA;NA;NA;NA;NA;"2100";NA;"300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4200";"5250";NA;"77700";NA;"21000";"3500";NA;NA;NA;NA;NA;NA;"2500";"5250";NA;NA;NA;"26250";"128750";NA;"19300"
"2003-03-19";NA;NA;"15750";NA;NA;NA;NA;NA;"23100";NA;NA;NA;NA;NA;NA;NA;NA;"50400";"2100";NA;NA;NA;NA;"13650";"1050";NA;NA;NA;NA;NA;"29400";"1200";NA;NA;NA;NA;"1050";"8400";NA;"21000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"11550";"1050";NA;NA;NA;"600";"52500";NA;"543150"
"2003-04-07";NA;NA;"2100";NA;NA;NA;NA;NA;"37800";NA;NA;NA;"2100";NA;NA;NA;NA;"11550";"13650";NA;NA;NA;NA;"91350";"200";NA;NA;NA;NA;NA;"37800";NA;NA;NA;NA;NA;"7350";NA;NA;"8400";NA;"32550";NA;"4200";NA;NA;NA;"100";NA;"136500";"10500";NA;NA;NA;"400";NA;NA;"37507350"
"2003-04-22";NA;NA;"1300";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;"4180";NA;NA;NA;NA;NA;"25080";"200";NA;NA;NA;NA;NA;"800";NA;NA;NA;NA;NA;"4180";NA;NA;"4980";NA;"52250";NA;"600";NA;NA;NA;NA;NA;"785840";"8660";NA;NA;NA;NA;"500";NA;"32040"
"2003-05-16";NA;NA;"6270";NA;NA;NA;NA;NA;NA;NA;NA;NA;"4180";"6270";NA;NA;NA;"2090";NA;NA;NA;NA;NA;"50160";"12540";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"52250";"1000";NA;NA;NA;NA;NA;"6270";"706420";"73150";NA;NA;NA;NA;"100";NA;"175680"
"2003-05-28";NA;NA;"68970";NA;NA;NA;NA;"8360";NA;NA;NA;NA;"12540";NA;NA;NA;NA;"4180";NA;NA;NA;NA;NA;"18810";"4180";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2090";NA;NA;"6470";NA;NA;"2090";"100";NA;NA;NA;"100";NA;"119130";"64790";NA;"12540";NA;NA;"6570";NA;"4180"
"2003-06-13";NA;NA;"56700";NA;"200";NA;NA;"4200";NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"46200";"1350";NA;NA;NA;NA;NA;NA;"4200";NA;NA;NA;NA;NA;NA;NA;"700";NA;"1100";NA;NA;NA;NA;NA;NA;"200";NA;"47250";NA;"1600";NA;NA;"200";NA;NA
"2003-06-26";NA;NA;"322160";NA;"1300";NA;NA;"12540";NA;NA;NA;NA;"2090";NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;"123310";"4380";NA;NA;NA;NA;NA;NA;"104500";NA;NA;NA;NA;NA;NA;NA;"400";NA;"1200";NA;"2090";NA;NA;NA;"500";"300";NA;"81510";NA;NA;NA;NA;"2090";NA;"5180"
"2003-07-25";NA;NA;"13650";NA;"4600";NA;NA;NA;"145950";NA;NA;NA;"2100";NA;NA;NA;NA;"4200";NA;NA;NA;"2100";NA;"35700";"4300";NA;NA;NA;NA;NA;NA;"16800";NA;NA;NA;NA;"1050";"2100";NA;NA;NA;"12600";NA;"5250";NA;NA;NA;"1050";"4200";NA;"2100";NA;NA;NA;NA;"16250";NA;"9550"
"2003-08-12";NA;NA;"762850";NA;"1000";NA;NA;NA;"39710";NA;NA;NA;"300";NA;"100";NA;NA;"600";NA;NA;NA;"2090";NA;"2590";"5180";NA;NA;NA;NA;NA;NA;"133760";NA;NA;NA;NA;"2090";NA;NA;"13240";NA;NA;NA;"100";NA;NA;NA;"2090";NA;NA;NA;NA;"8360";NA;NA;"2090";NA;"12050"
"2003-09-09";NA;NA;NA;NA;"3550";NA;NA;NA;"63650";NA;NA;"100";"13650";NA;NA;NA;"1050";"1050";NA;"2100";NA;NA;NA;"700";"11550";NA;NA;NA;NA;NA;"700";"8400";NA;NA;NA;"2300";"200";NA;NA;NA;NA;NA;NA;"2100";NA;NA;NA;"1050";"300";"100";"9450";"1050";NA;NA;NA;"4200";NA;"18350"
"2003-10-14";NA;NA;"4144";NA;"2700";NA;NA;NA;"14800";NA;NA;"500";"4144";NA;"1036";NA;NA;"100";"400";"100";NA;"1036";NA;"100";"6316";NA;NA;NA;NA;NA;NA;"3408";NA;NA;NA;NA;"5280";"1036";NA;"600";NA;"50764";NA;"1036";NA;NA;NA;NA;"500";"3500";"1036";NA;NA;NA;"1100";"14804";NA;"1836"
"2003-12-08";NA;NA;"1100";NA;"1096";NA;NA;NA;"200";NA;NA;NA;"2192";NA;NA;NA;NA;NA;NA;"2132";NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2132";"500";NA;NA;NA;"14248";"3288";NA;NA;NA;NA;NA;NA;"400";"100";NA;"18632";NA;"800";"600";NA;"3688"
"2004-01-26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;"1096";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2000";NA;NA;NA;NA;"3288";"1096";NA;NA;NA;"17536";NA;NA;NA;NA;NA;NA;NA;"100";"1096";NA;"4700";NA;"5480";"1100";NA;"3488"
"2004-02-11";NA;NA;"12160";NA;"900";NA;NA;NA;"13152";NA;NA;"100";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;"2192";"1096";NA;"2492";NA;"2000";"1096";NA;"100";NA;NA;NA;NA;NA;"100";NA;"8768";NA;"800";"13152";NA;"2392"
