"Date";"SALI";"TEMP";"TURB";"OXYGENE";"SVSOUMOY";"SVSOURIS";"PHEO";"CHLOROA"
"1987-05-18";"32.8";"14";"2.05";NA;NA;NA;NA;NA
"1987-06-01";"34.5";"17";"2.2";NA;NA;NA;NA;NA
"1987-06-09";"33.2";"16";"1.2";NA;NA;NA;NA;NA
"1987-06-15";"27.7";"20";"3";NA;NA;NA;NA;NA
"1987-06-23";"27";"17";"1.1";NA;NA;NA;NA;NA
"1987-06-30";"32.5";"23.2";"3.1";NA;NA;NA;NA;NA
"1987-07-08";"34.4";"26";"3";NA;NA;NA;NA;NA
"1987-07-15";"28.3";NA;"1.4";NA;NA;NA;NA;NA
"1987-07-20";"33.9";"23";"2.4";NA;NA;NA;NA;NA
"1987-08-04";NA;"17.8";NA;NA;NA;NA;NA;NA
"1987-08-10";"33.5";"19";"1";NA;NA;NA;NA;NA
"1987-08-17";"34.2";"25";"1.1";NA;NA;NA;NA;NA
"1987-08-20";NA;"26";NA;NA;NA;NA;NA;NA
"1987-08-26";"35";"23.4";"0.8";NA;NA;NA;NA;NA
"1987-08-31";"33.2";"23";"1.78";NA;NA;NA;NA;NA
"1987-09-04";"34.8";"23";"2.3";NA;NA;NA;NA;NA
"1987-09-07";"35.7";"21";"1.8";NA;"195.36";"195.36";NA;NA
"1987-09-10";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-14";"30.6";"23";"0.85";NA;NA;NA;NA;NA
"1987-09-18";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-21";"32.5";"24";"2.5";NA;NA;NA;NA;NA
"1987-09-29";"34.4";NA;"2";NA;NA;NA;NA;NA
"1987-10-06";"29.2";"20.4";"4.5";NA;NA;NA;NA;NA
"1987-10-13";"31.4";"14.8";"2.5";NA;NA;NA;NA;NA
"1987-10-19";"22.3";"17";"3";NA;NA;NA;NA;NA
"1987-10-26";"28.3";"17.6";"1.6";NA;NA;NA;NA;NA
"1987-11-17";"34.2";"13.5";"2.5";NA;NA;NA;NA;NA
"1987-11-24";"30.7";"8.3";"9.6";NA;NA;NA;NA;NA
"1987-11-30";"34.1";"7.9";"3.5";NA;NA;NA;NA;NA
"1987-12-07";"28.1";"9.8";"2.5";NA;NA;NA;NA;NA
"1987-12-14";"24.8";"8.2";"5.8";NA;NA;NA;NA;NA
"1987-12-21";"29.7";"10";"1.6";NA;NA;NA;NA;NA
"1987-12-28";"28.2";"9.6";"1.2";NA;NA;NA;NA;NA
"1988-01-04";"34.2";"11.9";"2";NA;NA;NA;NA;NA
"1988-01-11";"30.7";"10.8";"2.1";NA;NA;NA;NA;NA
"1988-01-26";"31.6";"10.5";"1.8";NA;NA;NA;NA;NA
"1988-02-01";"31.6";"10";"5";NA;NA;NA;NA;NA
"1988-02-08";"31.6";"11.7";"5";NA;NA;NA;NA;NA
"1988-02-19";"33.9";"8.8";"3.9";NA;NA;NA;NA;NA
"1988-06-14";"29.2";"20";"3";"4.69";NA;NA;NA;NA
"1988-06-22";"30.9";"21.8";"9";"4.34";NA;NA;NA;NA
"1988-06-27";"31.6";"25";"4";"2.24";NA;NA;NA;NA
"1988-06-30";"26.9";"23.4";"7";"4.76";NA;NA;NA;NA
"1988-07-11";"27.9";"25";"15";"4.76";NA;NA;NA;NA
"1988-07-19";"34.2";"21.7";"3";"4.83";NA;NA;NA;NA
"1988-07-22";"29.6";"24.7";"5";"4.2";NA;NA;NA;NA
"1988-08-02";"31";"22.3";"3";"4.48";NA;NA;NA;NA
"1988-08-16";"29.2";"26.4";"3";"4.9";NA;NA;NA;NA
"1988-08-24";"31.4";"23";"35";"4.83";NA;NA;NA;NA
"1988-08-31";"32.3";"19.6";"1.5";NA;NA;NA;NA;NA
"1988-09-06";"29.8";"20";"1.3";"5.04";NA;NA;NA;NA
"1988-09-12";"30.5";"23.2";"2.5";"4.62";NA;NA;NA;NA
"1988-09-19";"34.2";"16.9";"2.5";"4.69";NA;NA;NA;NA
"1988-09-26";"33.9";"19.5";"1.5";"6.44";NA;NA;NA;NA
"1988-10-13";"32";"18.8";"25";"4.48";NA;NA;NA;NA
"1988-10-18";"19.2";"19.7";"200";"4.13";NA;NA;NA;NA
"1988-10-25";"25.3";"17.1";"3";"7.56";NA;NA;NA;NA
"1988-11-07";"27.6";"11.6";"2.5";NA;NA;NA;NA;NA
"1988-11-21";"30.5";"9.6";"5.5";NA;NA;NA;NA;NA
"1988-11-28";"29.5";"9";"2";"6.65";NA;NA;NA;NA
"1988-12-19";"32.1";"5.8";"1.5";NA;NA;NA;NA;NA
"1988-12-26";"31.9";"9.3";"15";"4.41";NA;NA;NA;NA
"1989-01-03";"30";"9.1";"9.8";"5.6";NA;NA;NA;NA
"1989-01-09";"34.1";"9.8";"5";"5.6";NA;NA;NA;NA
"1989-01-16";"30.3";"8.6";"1.5";"5.6";NA;NA;NA;NA
"1989-01-30";"30";"7.2";"6";NA;NA;NA;NA;NA
"1989-02-06";"29.7";"8.3";"3.5";"5.46";NA;NA;NA;NA
"1989-02-17";"32.2";"9.3";"1.6";"6.16";NA;NA;NA;NA
"1989-02-20";"33.4";"11.4";"4.5";"6.16";NA;NA;NA;NA
"1989-02-27";"31.7";"9.3";"6.8";"5.6";NA;NA;NA;NA
"1989-03-06";"29.5";"13.3";"2.2";"5.46";NA;NA;NA;NA
"1989-03-13";"30.4";"13.3";"2";"5.25";NA;NA;NA;NA
"1989-03-20";"31.4";"10.7";"3";"6.51";NA;NA;NA;NA
"1989-04-03";"29.8";"14.4";"3";"5.25";NA;NA;NA;NA
"1989-04-11";"29.7";"13.7";"3";"6.02";NA;NA;NA;NA
"1989-04-17";"32.7";"13.8";"2.4";"5.25";NA;NA;NA;NA
"1989-04-22";"29.6";"16.3";"1.5";"5.88";NA;NA;NA;NA
"1989-05-10";"29";"17.4";"3.5";"6.02";NA;NA;NA;NA
"1989-05-16";"32.3";"16.4";"3";"5.25";NA;NA;NA;NA
"1989-05-25";"27.7";"20.4";"4.5";"5.39";NA;NA;NA;NA
"1989-05-29";"26.5";"19.5";"1.6";"5.74";NA;NA;NA;NA
"1989-05-31";"30.6";"20.7";"2.7";"4.27";NA;NA;NA;NA
"1989-06-04";"33.9";"20.5";"5.5";"5.46";NA;NA;NA;NA
"1989-06-12";"31.8";"22";"0.8";"6.3";NA;NA;NA;NA
"1989-06-19";"28.8";"21.5";"2.4";"7.35";NA;NA;NA;NA
"1989-06-26";"33.3";"22";"2";"4.27";NA;NA;NA;NA
"1989-07-03";"33.9";"18.3";"4";"4.48";NA;NA;NA;NA
"1989-07-10";"33.3";"22.4";"2";"3.99";NA;NA;NA;NA
"1989-07-17";"35.9";"20.5";"1.5";"5.39";NA;NA;NA;NA
"1989-07-24";"35.7";"25";"1.5";"3.99";NA;NA;NA;NA
"1989-07-31";"31.2";"23.8";"1.8";NA;NA;NA;NA;NA
"1989-08-16";"30";"25.1";"3.5";"4.41";NA;NA;NA;NA
"1989-08-21";"33.7";"24.8";"2.5";"3.5";NA;NA;NA;NA
"1989-08-28";"35.8";"21.4";"2";"4.55";NA;NA;NA;NA
"1989-09-05";"35.4";"16.6";"1.6";"4.97";NA;NA;NA;NA
"1989-09-11";"35.7";"22.4";"4.5";"6.3";NA;NA;NA;NA
"1989-09-18";"36.2";"17.2";"3";"4.97";NA;NA;NA;NA
"1989-09-25";"34.6";"22";"2.5";"4.62";NA;NA;NA;NA
"1989-10-02";"36.3";"16";"1.7";"5.67";NA;NA;NA;NA
"1989-10-13";"36.4";"16.5";"9.2";"4.55";NA;NA;NA;NA
"1989-10-26";"32.9";"17.1";"2.3";"5.11";NA;NA;NA;NA
"1989-11-06";"34.6";"13.5";"2.7";"5.11";NA;NA;NA;NA
"1989-11-13";"30";"13.4";"1.3";"6.51";NA;NA;NA;NA
"1989-11-27";"32.3";"9";"2.2";"6.02";NA;NA;NA;NA
"1989-12-04";"30.2";"8";"5.7";"6.51";NA;NA;NA;NA
"1989-12-18";"29.9";"14.2";"3.4";"5.53";NA;NA;NA;NA
"1990-01-04";"28";"8";"0.85";"6.93";NA;NA;NA;NA
"1990-01-16";"33.2";"10.5";"2.5";"7.35";NA;NA;NA;NA
"1990-01-22";"34.2";"9.7";"1.8";"5.18";NA;NA;NA;NA
"1990-01-31";"32.1";"12";"12";"4.9";NA;NA;NA;NA
"1990-02-26";"21.5";"15";"16";"5.46";NA;NA;NA;NA
"1990-03-06";"34.5";"10";"2.3";"5.88";NA;NA;NA;NA
"1990-03-16";"33.1";"14";"2";"6.3";NA;NA;NA;NA
"1990-03-29";"34.7";"8.8";"3.7";"6.02";NA;NA;NA;NA
"1990-04-09";"29.7";"13";"1";"4.55";NA;NA;NA;NA
"1990-04-19";"34.5";"12.1";"3.2";"6.02";NA;NA;NA;NA
"1990-05-03";"34.1";"18";"2";"8.33";NA;NA;NA;NA
"1990-05-07";"33.6";"18.5";"2";"4.27";NA;NA;NA;NA
"1990-05-10";"31.4";"21.5";"1.5";"5.67";NA;NA;NA;NA
"1990-05-16";"29.7";"23.5";"3.5";NA;NA;NA;NA;NA
"1990-05-20";"30.9";"23.5";"2.5";NA;NA;NA;NA;NA
"1990-05-28";"33.4";"19.4";"1.3";"4.69";NA;NA;NA;NA
"1990-06-05";"34.5";"20.4";"2.1";"4.41";NA;NA;NA;NA
"1990-06-25";"34.3";"24.2";"1.6";NA;NA;NA;NA;NA
"1990-07-02";"31.1";"22";"7.5";"4.9";NA;NA;NA;NA
"1990-07-11";"35";"20";"4.5";NA;NA;NA;NA;NA
"1990-07-16";"31.2";"20";"3.5";"5.18";NA;NA;NA;NA
"1990-07-25";"38.9";"21.1";"6.2";"5.25";NA;NA;NA;NA
"1990-08-01";NA;NA;NA;NA;NA;NA;NA;NA
"1990-08-06";"25.8";"26";"1.6";"5.95";NA;NA;NA;NA
"1990-08-13";"31.7";"19";"8.5";"3.29";NA;NA;NA;NA
"1990-08-20";"33.1";"18";"3.5";"4.83";NA;NA;NA;NA
"1990-08-27";"33.1";"19";"4";"4.27";NA;NA;NA;NA
"1990-09-03";"32.4";"19";"6";"4.83";NA;NA;NA;NA
"1990-09-18";"28.7";"16.5";"0.9";"4.55";NA;NA;NA;NA
"1990-09-24";"33.4";"20";"3";"5.25";NA;NA;NA;NA
