"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1992-01-07";NA;NA;NA;NA;7500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1250;NA;NA;NA;NA;NA;NA;NA;NA;4375;NA;NA;NA;NA;NA;NA;31250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625
"1992-02-07";NA;NA;45625;NA;NA;NA;NA;NA;15000;NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1250;6250;NA;1875;NA;6250;NA;NA;1250;NA;NA;NA;NA;NA;6875;NA;8750;NA;45000;36875;NA;1875
"1992-03-09";NA;NA;142500;NA;7500;NA;NA;5000;480375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;380625;1875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1250;31875;NA;5625;NA;3750;NA;NA;625;NA;NA;NA;NA;NA;16875;NA;NA;NA;5625;NA;NA;2254500
"1992-03-31";NA;NA;496250;NA;35625;NA;NA;1875;479625;NA;NA;NA;NA;NA;NA;NA;NA;1250;NA;NA;NA;NA;NA;223750;NA;NA;NA;NA;NA;NA;22500;NA;NA;NA;NA;NA;19375;101250;NA;23750;NA;10000;NA;NA;625;NA;NA;NA;NA;NA;11875;NA;NA;NA;19375;NA;NA;3581750
"1992-04-21";NA;NA;263125;NA;NA;NA;NA;11875;85625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;103125;3125;NA;NA;NA;NA;NA;50625;NA;NA;NA;NA;NA;3750;11875;NA;1875;NA;3750;NA;NA;625;NA;NA;NA;1250;11875;7500;NA;NA;NA;NA;11875;NA;20756000
"1992-04-30";NA;NA;922500;NA;NA;NA;NA;8750;NA;NA;NA;NA;NA;60000;NA;NA;NA;NA;NA;NA;NA;NA;NA;1267500;NA;NA;NA;NA;NA;NA;30000;NA;NA;NA;NA;NA;6250;16250;NA;15000;NA;8750;NA;NA;NA;NA;NA;NA;NA;NA;96250;NA;NA;NA;NA;NA;NA;5839250
"1992-05-14";NA;NA;2106875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99375;4375;NA;NA;NA;NA;NA;6250;NA;NA;NA;NA;NA;5000;1875;NA;18125;NA;24375;NA;NA;NA;NA;NA;NA;625;NA;46875;NA;NA;NA;4375;NA;NA;105250
"1992-05-29";NA;NA;5223750;NA;6250;NA;NA;52500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;337500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12500;212500;NA;18750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72500;NA;NA;NA;NA;NA;NA;5000
"1992-06-05";NA;NA;2269375;NA;NA;NA;NA;625;NA;NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8125;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625;5000;NA;9375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1875;NA;NA;NA;NA;NA;NA;1250
"1992-06-16";NA;NA;2335750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;280000;2500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3750;2500;5000;NA;26250;NA;NA;NA;NA;1250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6250
