"Date";"SALI";"TEMP";"TURB";"OXYGENE";"CHLOROA";"PHEO";"TURB-FNU";"NH4";"NO3+NO2";"PO4";"SIOH"
"1987-02-12";"31.9";"8.5";"6";NA;NA;NA;NA;NA;NA;NA;NA
"1987-03-12";NA;"8";"20";NA;NA;NA;NA;NA;NA;NA;NA
"1987-04-16";"32.5";"12";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-21";"37.5";"14";"2.2";NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-01";"36";"17";NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-09";"35.1";"17";"41";NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-18";"35.7";"18";"25";NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-25";"35.6";"19";"7";NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-02";"33.2";"22";"12";NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-07";"32.5";"22";"2.2";NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-15";NA;NA;"16";NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-23";"32.5";"19";"22";NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-28";"35.5";"19.5";"20";NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-04";"34";"20.5";"10";NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-12";"33.5";"19.8";"8";NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-20";"35.5";"21";"6.5";NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-27";"33.5";"19.5";"16";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-02";"33";"20.5";"2";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-10";"33.5";"21";"5";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-15";"34";"22";"8";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-21";"33.5";"22";"2.2";NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-28";"34";"17.5";"2.5";NA;NA;NA;NA;NA;NA;NA;NA
"1987-10-12";"31";"15";"8.6";NA;NA;NA;NA;NA;NA;NA;NA
"1987-11-17";"26";"12";"10";NA;NA;NA;NA;NA;NA;NA;NA
"1987-12-07";"30";"9.5";"11";NA;NA;NA;NA;NA;NA;NA;NA
"1988-02-15";"20.2";"8";"13";NA;NA;NA;NA;NA;NA;NA;NA
"1988-03-08";"29";"8.5";"25";NA;NA;NA;NA;NA;NA;NA;NA
"1988-04-04";"30.5";"10";"8";NA;NA;NA;NA;NA;NA;NA;NA
