"Date";"SALI";"TEMP";"TURB";"CHLOROA";"PHEO";"SVSOUMOY";"SVSOURIS";"TURB-FNU";"OXYGENE"
"1987-04-27";"26.8";NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-11";"29.8";NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-25";"29.5";NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-26";"29.2";"14.2";NA;NA;NA;NA;NA;NA;NA
"1987-06-01";"25.4";"18";NA;NA;NA;NA;NA;NA;NA
"1987-06-09";"31.1";"15.3";NA;NA;NA;NA;NA;NA;NA
"1987-06-15";"30.3";"16.7";NA;NA;NA;NA;NA;NA;NA
"1987-06-22";"31.1";"15";NA;NA;NA;NA;NA;NA;NA
"1987-06-29";"29.8";"28.9";NA;NA;NA;NA;NA;NA;NA
"1987-07-15";"30.4";"18.5";NA;NA;NA;NA;NA;NA;NA
"1987-07-27";"31.2";"19.8";NA;NA;NA;NA;NA;NA;NA
"1987-08-03";"32.7";"20";NA;NA;NA;NA;NA;NA;NA
"1987-08-10";"32.1";"18.5";NA;NA;NA;NA;NA;NA;NA
"1987-08-24";"31.1";"19.2";NA;NA;NA;NA;NA;NA;NA
"1987-09-07";"32.6";"19.8";NA;NA;NA;NA;NA;NA;NA
"1987-10-08";"33.3";"13.3";NA;NA;NA;NA;NA;NA;NA
"1987-11-25";"32.6";"10.7";NA;NA;NA;NA;NA;NA;NA
"1987-12-23";"28.3";"8.7";NA;NA;NA;NA;NA;NA;NA
"1988-01-25";"24.9";"11";NA;NA;NA;NA;NA;NA;NA
"1988-02-17";"16.6";"7.1";NA;NA;NA;NA;NA;NA;NA
"1988-03-17";"30.1";"11";NA;NA;NA;NA;NA;NA;NA
"1988-04-18";"29.3";"12.9";NA;NA;NA;NA;NA;NA;NA
"1988-05-03";"28";"13";NA;NA;NA;NA;NA;NA;NA
"1988-05-09";"25.7";"14.5";NA;NA;NA;NA;NA;NA;NA
"1988-05-16";"29.7";"14.6";NA;NA;NA;NA;NA;NA;NA
"1988-05-24";"26.3";"16.5";NA;NA;NA;NA;NA;NA;NA
"1988-05-30";"28.4";"14.6";NA;NA;NA;NA;NA;NA;NA
"1988-06-06";"31.3";"15.7";NA;NA;NA;NA;NA;NA;NA
"1988-06-13";"28.6";"15.4";NA;NA;NA;NA;NA;NA;NA
"1988-06-20";"30.4";"17";NA;NA;NA;NA;NA;NA;NA
"1988-06-27";"30.5";"17.4";NA;NA;NA;NA;NA;NA;NA
"1988-07-04";"27.8";"17";NA;NA;NA;NA;NA;NA;NA
"1988-07-11";"25.7";"19";NA;NA;NA;NA;NA;NA;NA
"1988-07-18";"24.1";"18.1";NA;NA;NA;NA;NA;NA;NA
"1988-07-25";"33.7";"19.2";NA;NA;NA;NA;NA;NA;NA
"1988-08-01";"32.1";"18.2";NA;NA;NA;NA;NA;NA;NA
"1988-08-08";"29";"21";NA;NA;NA;NA;NA;NA;NA
"1988-08-16";"31.2";"20.1";NA;NA;NA;NA;NA;NA;NA
"1988-08-22";"33.6";"19.2";NA;NA;NA;NA;NA;NA;NA
"1988-08-29";"34.3";"17";NA;NA;NA;NA;NA;NA;NA
"1988-09-12";"33.1";"17.4";NA;NA;NA;NA;NA;NA;NA
"1988-09-26";"32.8";"16.4";NA;NA;NA;NA;NA;NA;NA
"1988-10-10";"32";"13.6";NA;NA;NA;NA;NA;NA;NA
"1988-10-24";"31.2";"15.5";NA;NA;NA;NA;NA;NA;NA
"1988-11-07";"31.7";"12.4";NA;NA;NA;NA;NA;NA;NA
"1988-11-21";"31.3";"10.3";NA;NA;NA;NA;NA;NA;NA
"1988-12-01";"31.5";"11.4";NA;NA;NA;NA;NA;NA;NA
"1988-12-12";"31.7";"10.7";NA;NA;NA;NA;NA;NA;NA
"1989-01-09";"32.5";"10.2";"3.4";NA;NA;NA;NA;NA;NA
"1989-01-23";"29.7";"9";"4.8";NA;NA;NA;NA;NA;NA
"1989-02-06";"28.4";"9.1";"4";NA;NA;NA;NA;NA;NA
"1989-02-20";"31.3";"10.3";"14";NA;NA;NA;NA;NA;NA
"1989-03-06";"30";"10.4";"5.5";NA;NA;NA;NA;NA;NA
"1989-03-20";"27.5";"10.9";"4.5";NA;NA;NA;NA;NA;NA
"1989-04-10";"32.6";"10.5";"4.7";NA;NA;NA;NA;NA;NA
"1989-04-20";"27.5";"10.9";"4.7";NA;NA;NA;NA;NA;NA
"1989-05-09";"30.6";"16.3";"2.7";NA;NA;NA;NA;NA;NA
"1989-05-16";"29.8";"19.8";"4";NA;NA;NA;NA;NA;NA
"1989-05-22";"30.8";"18.6";"2.75";NA;NA;NA;NA;NA;NA
"1989-05-29";"32.1";"18.2";"2.5";NA;NA;NA;NA;NA;NA
"1989-06-05";"33.6";"14.6";"1.7";NA;NA;NA;NA;NA;NA
"1989-06-12";"31";"19";"3.5";NA;NA;NA;NA;NA;NA
"1989-06-19";"32";"18";"2";NA;NA;NA;NA;NA;NA
"1989-06-26";"33.8";"19.6";"2.2";NA;NA;NA;NA;NA;NA
"1989-07-03";"34.1";"16.4";"2.7";NA;NA;NA;NA;NA;NA
"1989-07-10";"35.3";"20";"4.6";NA;NA;NA;NA;NA;NA
"1989-07-17";"34";"16";"1.5";NA;NA;NA;NA;NA;NA
