"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1994-01-04";NA;NA;NA;NA;100;NA;NA;NA;300;NA;NA;700;NA;NA;100;0;NA;200;NA;NA;NA;100;200;NA;800;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;3200;3800;NA;NA;NA;900;NA;NA;400;NA;NA;NA;NA;NA;100;NA;800;NA;200;500;100;200
"1994-01-19";NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;400;NA;NA;NA;0;NA;100;NA;100;NA;NA;500;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3000;9700;NA;NA;NA;2300;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;1000;NA;NA
"1994-02-01";NA;100;NA;NA;NA;100;NA;NA;300;NA;NA;NA;NA;NA;NA;0;NA;100;NA;300;NA;NA;200;NA;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;4700;NA;NA;NA;900;NA;100;200;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;100;NA
"1994-02-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;400;NA;NA;300;NA;1100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10200;11900;NA;NA;NA;800;NA;NA;100;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1994-03-01";NA;100;NA;NA;200;NA;NA;NA;400;NA;NA;1200;NA;NA;NA;0;NA;1400;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;3200;4400;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;13200;NA;700
"1994-03-15";NA;0;NA;NA;200;NA;NA;NA;1300;NA;200;300;NA;NA;NA;0;NA;1800;NA;600;NA;200;400;NA;500;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA;NA;500;1800;NA;NA;NA;NA;NA;NA;600;NA;NA;100;NA;NA;4200;6600;600;NA;600;NA;NA;NA
"1994-03-28";NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;200;300;NA;NA;1000;0;NA;NA;NA;200;NA;200;NA;NA;6500;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;1100;2500;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;500;NA;13100;500;400;NA;4400;NA;NA;107400
"1994-04-11";NA;NA;NA;NA;NA;NA;NA;NA;100;NA;100;200;NA;NA;NA;0;NA;100;NA;100;NA;NA;100;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1800;3400;NA;NA;NA;1300;NA;NA;1600;NA;NA;NA;NA;NA;24300;100;2700;NA;NA;NA;NA;NA
"1994-04-25";NA;0;26400;NA;100;NA;NA;NA;208000;NA;1200;NA;NA;NA;1000;0;NA;100;NA;NA;NA;NA;NA;5000;800;NA;NA;NA;100;NA;4800;NA;NA;NA;NA;NA;3800;4800;NA;NA;NA;NA;NA;NA;400;NA;NA;200;200;5200;312000;NA;16600;NA;7200;35600;NA;NA
"1994-05-09";NA;NA;500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;100;NA;NA;NA;NA;200;NA;700;4300;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;300;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;3800;700;200;2400;2200;NA;NA;NA;NA;200;NA
"1994-05-24";NA;NA;NA;NA;NA;NA;NA;NA;3600;NA;NA;NA;NA;300;400;0;NA;NA;NA;300;NA;NA;NA;1800;4000;NA;NA;NA;NA;100;NA;1100;6100;NA;NA;NA;7000;1500;NA;NA;NA;NA;NA;NA;NA;NA;NA;5500;500;300;NA;800;9100;NA;NA;NA;100;1200
"1994-06-07";NA;NA;NA;NA;NA;NA;NA;NA;4800;NA;NA;NA;NA;NA;100;200;2700;NA;NA;NA;NA;700;NA;48000;41100;NA;NA;NA;NA;19400;NA;15200;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;1000;NA;3000;1800;215200;7600;2500;NA;NA;NA;9600;100;7000
"1994-06-21";NA;0;NA;NA;NA;NA;NA;NA;611200;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1800;NA;3900;200;NA;3600;NA;NA;NA;NA;100;NA;2200;1000;NA;NA;NA;3200;NA;NA;NA;NA;NA;NA;NA;NA;100;8600;1200;400;10400;NA;1400;NA;NA;2400;NA;NA;1500
"1994-07-04";NA;0;NA;NA;NA;1000;NA;NA;800;NA;NA;NA;NA;NA;NA;300;100;NA;NA;1700;NA;200;NA;NA;11300;NA;NA;NA;NA;1100;NA;300;NA;NA;NA;NA;100;300;100;NA;NA;NA;NA;NA;NA;NA;210000;8700;400;NA;NA;3700;NA;NA;NA;NA;100;10700
"1994-08-01";NA;NA;NA;NA;NA;100;NA;NA;185000;300;NA;NA;NA;NA;NA;400;100;NA;NA;2500;NA;NA;NA;3900;700;NA;NA;NA;NA;300;NA;1200;NA;NA;NA;NA;NA;8200;NA;NA;500;NA;100;NA;NA;NA;NA;500;500;8200;7800;700;2700;NA;600;1500;NA;3900
"1994-08-16";NA;0;NA;NA;NA;NA;NA;NA;13800;NA;NA;NA;NA;NA;NA;0;200;NA;NA;204300;NA;NA;NA;200;33800;NA;NA;NA;600;1600;NA;31800;NA;NA;NA;NA;600;2100;NA;NA;NA;NA;NA;NA;NA;NA;300;400;900;106500;300;4400;NA;NA;3600;NA;100;200
