"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1989-01-09";300;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;1900;1000;NA;NA;NA;3600;500;100;200;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;400
"1989-02-06";NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;400;NA;NA;NA;0;NA;100;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;1900;1200;NA;NA;NA;1300;200;100;800;NA;NA;NA;NA;NA;NA;NA;7800;NA;400;NA;NA;1800
"1989-03-06";200;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;0;NA;900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;200;NA;1500;900;NA;NA;NA;1400;100;200;500;NA;NA;NA;NA;NA;NA;NA;11000;NA;800;600;NA;2300
"1989-04-10";NA;NA;NA;NA;600;NA;NA;NA;78500;NA;NA;5300;NA;NA;300;0;NA;700;NA;500;NA;NA;100;4800;500;NA;NA;NA;300;NA;NA;600;100;NA;2500;NA;3100;2900;NA;NA;NA;NA;400;700;500;NA;NA;100;1900;1500;NA;NA;1000;NA;12100;7100;NA;4100
"1989-04-20";NA;NA;NA;NA;NA;NA;NA;NA;10100;NA;NA;1900;NA;NA;500;200;200;200;NA;500;NA;NA;500;3300;400;NA;NA;NA;100;NA;NA;2700;NA;NA;1700;NA;3200;3500;NA;NA;NA;NA;4300;2200;600;NA;NA;200;1500;NA;NA;500;600;NA;12500;1000;NA;9500
"1989-05-09";NA;NA;NA;NA;NA;100;NA;12000;409500;1400;NA;5700;NA;NA;100;0;900;200;4000;200;NA;NA;100;74500;6100;NA;NA;NA;700;NA;28100;124800;NA;NA;NA;NA;3000;4000;NA;NA;NA;400;100;700;2400;NA;NA;100;1400;184400;NA;500;NA;NA;10200;500;NA;28100
"1989-05-16";NA;NA;NA;NA;NA;500;NA;NA;252000;500;NA;5900;NA;NA;100;300;800;1600;8900;1300;NA;NA;1400;6500;3200;NA;NA;NA;1700;NA;21800;10300;300;NA;500;NA;1500;4100;100;NA;NA;NA;100;NA;1000;NA;NA;4700;3000;353000;NA;14300;1000;NA;7500;3100;NA;46600
"1989-05-29";NA;200;NA;NA;NA;900;NA;NA;92000;500;NA;700;NA;NA;NA;100;1300;NA;1200;7800;NA;100;200;4900;6100;NA;NA;NA;6100;NA;NA;4600;100;NA;NA;NA;6700;5600;200;NA;NA;NA;100;NA;800;NA;NA;2200;800;5400;NA;115100;NA;NA;400;NA;NA;80100
"1989-06-12";NA;NA;NA;NA;NA;100;NA;200;42000;2300;NA;3200;NA;NA;NA;200;600;NA;1400;3300;NA;NA;4400;500;7100;NA;NA;NA;NA;NA;200;12200;600;NA;200;NA;7800;4200;NA;200;NA;1200;500;600;1300;NA;NA;1900;100;200;NA;5900;NA;NA;1800;1400;NA;108100
"1989-06-26";200;6000;NA;NA;NA;600;NA;NA;1900;100;NA;4000;NA;NA;NA;100;400;NA;300;NA;NA;NA;3300;300;2100;NA;NA;NA;NA;700;NA;1900;800;NA;300;NA;3300;500;100;NA;NA;NA;100;NA;200;NA;NA;2600;1300;NA;100;47500;NA;100;3800;NA;NA;10500
