"Date";"SALI";"TEMP";"TURB";"CHLOROA";"NH4";"NO2";"NO3";"PHEO";"PO4";"SIOH";"NO3+NO2";"OXYGENE";"TURB-FNU"
"1987-04-22";"28.5";"12.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-04-28";"30";"13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-11";"33.6";"14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-18";"32";"13.1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-05-25";"33";"12.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-01";"31.7";"15.9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-09";"31.4";"15.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-15";"30.4";"16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-23";"36";"15.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-06-29";"31.9";"19.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-07";"33.7";"19.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-13";"34.7";"19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-07-21";"35.3";"18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-04";"36";"18.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-11";"34.8";"18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-17";"34.5";"19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-25";"33.4";"18.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-08-31";"30.6";"17.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-09-14";"34.7";"20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-10-28";"31.3";"14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-01-19";"23.3";"8.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-02-22";"29";"9.2";"3.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-03-21";"31";"10.6";"25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-04-12";"31.5";"11";"1.1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-04-18";"30.4";"12.1";"2.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-04-26";"28.6";"14";"2.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-05-05";"31";"13.1";"6.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-05-09";"30.1";"15";"1.3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-05-16";"33";"13.5";"3.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-05-31";"26.7";"15.8";"22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-06-06";"33.2";"15.1";"3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-06-13";"34.1";"14.6";"4.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-06-20";"34.1";"15.6";"0.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-06-27";"34.7";"14.6";"2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-07-11";"32";"18.7";"1.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-07-18";"34.7";"16.8";"1.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-08-01";"33";"17.4";"1.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-08-08";"33.4";"19.1";"0.78";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-08-16";"35";"18.9";"1.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-08-22";"35.5";"18.1";"2.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-08-29";"34.6";"17.3";"5.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-09-05";"33.5";"17.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-09-15";"33";"16.4";"2.2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-09-20";"34.6";"16.6";"1.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-09-27";"34.1";"16.3";"12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-10-04";"35.8";"15.7";"2.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-10-18";"33.8";"15";"1.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-11-07";"32.3";"11.2";"1.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-11-28";"35.7";"9.1";"6.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-12-08";"32";"10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
