"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1992-01-07";NA;NA;800;NA;NA;NA;NA;NA;2300;NA;NA;300;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;300;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;700;NA;NA;NA;NA;8000;1500;NA;300;NA;NA;300;NA;300;100;NA;NA;NA;8000;500;NA;2700
"1992-02-06";NA;NA;3800;NA;NA;NA;NA;NA;17300;NA;NA;NA;NA;NA;200;0;NA;200;NA;NA;NA;NA;NA;2200;400;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;200;400;200;1600;NA;600;15000;NA;200;NA;NA;200;200;NA;2200;NA;16000;NA;10600;6000;NA;8400
"1992-03-04";NA;NA;1200;1500;6300;NA;NA;NA;371200;NA;NA;200;NA;NA;NA;0;NA;300;5300;NA;NA;NA;NA;10150;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5250;NA;NA;1600;NA;23100;47250;NA;300;NA;NA;NA;300;2600;3050;NA;6300;NA;6300;18900;NA;19400
"1992-03-17";NA;NA;NA;NA;NA;NA;NA;2100;326550;NA;NA;NA;NA;NA;NA;0;NA;100;900;NA;NA;NA;NA;134400;9450;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3150;NA;NA;400;NA;2100;NA;NA;100;NA;NA;100;300;17850;4200;NA;NA;NA;15750;NA;NA;3197200
"1992-05-05";NA;NA;5250;NA;200;NA;NA;NA;14450;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;9450;2400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;5250;NA;NA;NA;2000;12600;NA;200;NA;NA;100;100;59700;2100;NA;24150;NA;NA;NA;NA;2475550
"1992-05-18";NA;NA;4800;NA;100;NA;NA;2100;1050;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;171150;1550;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;400;3150;NA;NA;NA;NA;1700;NA;NA;NA;NA;NA;NA;100;7500;6300;NA;NA;NA;NA;NA;NA;27700
"1992-06-01";NA;NA;NA;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;165900;5250;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2100;NA;4200;NA;NA;NA;NA;100;NA;22050
"1992-08-11";NA;NA;NA;NA;800;NA;NA;0;125300;NA;NA;6300;NA;NA;NA;0;NA;NA;800;NA;NA;NA;NA;142100;7000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2800;NA;NA;NA;NA;NA;NA;NA;NA;NA;2800;13300;0;700;NA;NA;NA;NA;NA;NA;3500
"1992-10-19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;1100;NA;NA;NA;NA;NA;NA;100;100;NA;NA;4400;NA;NA;100;NA;NA;200;NA;700;NA;NA;600;NA;NA;NA;NA;300
"1992-11-30";NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4300;NA;NA;3500;NA;1700;600;NA;NA;NA;10600;NA;NA;500;NA;NA;NA;NA;NA;1000;NA;NA;NA;50400;NA;NA;1300
