"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1992-01-07";NA;NA;10000;NA;100;NA;NA;NA;NA;NA;NA;100;NA;NA;400;0;NA;200;NA;NA;NA;NA;NA;400;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;100;NA;NA;100;NA;12200;800;NA;100;NA;NA;100;300;100;1600;NA;1300;NA;5400;1900;NA;2000
"1992-02-06";NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;200;NA;NA;200;0;NA;100;NA;NA;NA;NA;NA;400;200;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;200;NA;7200;6500;NA;300;NA;NA;NA;NA;NA;700;NA;4500;NA;4000;6600;NA;5000
"1992-03-04";NA;NA;6800;NA;NA;NA;NA;2000;39000;NA;NA;NA;NA;NA;NA;0;NA;200;NA;NA;NA;NA;NA;4800;800;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;1600;NA;7000;6000;NA;NA;NA;NA;NA;NA;1000;2600;NA;NA;NA;2400;1200;NA;4000
"1992-03-17";NA;NA;NA;NA;NA;NA;NA;NA;479850;NA;NA;NA;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;59950;1050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13650;NA;NA;NA;NA;NA;21000;NA;NA;NA;NA;100;100;17850;3100;NA;NA;NA;NA;2200;NA;518650
"1992-05-05";NA;NA;NA;NA;NA;NA;NA;NA;19600;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;28600;1400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3800;1400;NA;NA;NA;NA;NA;NA;20200
"1992-05-18";NA;NA;NA;NA;NA;NA;NA;800;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;69800;2800;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7000;NA;NA;NA;NA;NA;200;200;600;5000;NA;NA;NA;NA;NA;NA;1200
"1992-06-01";NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;400;NA;NA;NA;0;NA;NA;NA;NA;NA;100;NA;34900;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;700;NA;NA;NA;3500;NA;NA;NA;NA;NA;NA;200;NA;1100;NA;NA;NA;NA;NA;NA;100
"1992-08-11";NA;NA;NA;NA;200;NA;NA;NA;2500;NA;NA;600;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;90600;5250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3150;3150;36750;1050;NA;3150;NA;NA;700;NA;10800
"1992-10-19";NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;NA;200;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;1600;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;600;200;NA;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;200;NA;NA;NA;NA;500;NA;800
"1992-11-30";NA;NA;4000;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;1800;NA;NA;NA;8100;NA;NA;500;NA;NA;NA;NA;NA;300;NA;1900;NA;2500;NA;NA;900
"1992-12-09";NA;NA;900;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;1900;0;NA;100;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;900;NA;NA;NA;NA;NA;400;500;NA;NA;NA;3300;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;1000;NA;2200;NA;NA;1700
"1993-01-27";NA;NA;NA;NA;NA;NA;NA;NA;12600;NA;NA;1050;NA;NA;6300;0;NA;2100;NA;NA;NA;NA;NA;4200;NA;NA;NA;NA;NA;NA;3150;NA;NA;NA;2100;NA;1050;7350;NA;NA;NA;69300;NA;NA;1050;NA;NA;NA;NA;6300;1050;NA;4200;NA;57750;31500;NA;3150
"1993-02-09";NA;NA;46200;NA;NA;NA;NA;NA;2100;NA;NA;1050;NA;NA;NA;0;NA;3150;NA;NA;NA;NA;NA;NA;1050;NA;NA;NA;NA;NA;3150;NA;NA;NA;NA;NA;4200;10500;NA;NA;NA;105000;NA;NA;NA;NA;NA;NA;NA;4200;4200;NA;4200;NA;135450;67200;NA;7350
"1993-03-24";NA;NA;330000;NA;NA;NA;NA;NA;NA;NA;NA;3750;NA;NA;NA;0;NA;2500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1250;56250;NA;NA;NA;2200;50000;NA;3000;NA;NA;NA;NA;NA;3750;NA;153750;NA;28750;195000;NA;15000
"1993-04-07";NA;NA;2700;NA;NA;NA;NA;NA;3400;NA;NA;100;NA;3750;100;0;NA;NA;NA;NA;NA;NA;NA;23750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13750;NA;NA;NA;1400;NA;NA;NA;NA;NA;NA;NA;NA;3000;NA;5000;NA;3750;10000;NA;18000
"1993-04-16";NA;NA;3200;NA;NA;NA;NA;3750;4100;NA;NA;NA;NA;17500;NA;NA;NA;NA;8600;NA;NA;NA;NA;286350;NA;NA;NA;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA;7500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;6550;NA;NA;NA;NA;2200;NA;4238750
"1993-05-10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;337480;520;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30160;NA;NA;NA;14630;NA;NA;520;NA;NA;NA;NA;NA;15670;NA;NA;NA;NA;NA;NA;193800
"1993-05-25";NA;NA;26520;NA;NA;NA;NA;4680;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;69680;NA;NA;NA;NA;72280;4680;NA;NA;NA;NA;NA;16120;19760;NA;NA;NA;NA;520;10400;1560;NA;NA;NA;NA;NA;NA;NA;NA;NA;1560;2080;5720;NA;NA;NA;NA;NA;NA;10400
"1993-06-08";NA;NA;5200;NA;NA;NA;NA;NA;6760;NA;NA;NA;NA;NA;NA;0;NA;NA;4680;NA;NA;NA;NA;83720;3640;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1040;NA;1560;NA;NA;NA;3640;NA;NA;NA;NA;NA;NA;NA;2080;NA;NA;NA;NA;NA;520;NA;2600
