"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1992-01-07";NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1875;NA;NA;NA;21250;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;5625;NA;4375;5000;NA;3125
"1992-02-07";NA;NA;NA;NA;1875;NA;NA;NA;1250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625;5625;NA;625;NA;58750;NA;NA;NA;NA;NA;NA;NA;NA;4375;NA;8125;NA;46875;103750;NA;23750
"1992-03-09";NA;NA;16875;NA;NA;NA;NA;NA;326375;NA;NA;3750;NA;NA;NA;NA;NA;625;5625;NA;NA;NA;NA;401875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19375;NA;1875;NA;NA;NA;NA;625;NA;NA;NA;NA;1250;21875;NA;NA;NA;NA;NA;NA;2606375
"1992-03-31";NA;NA;28750;NA;NA;NA;NA;NA;617000;NA;NA;NA;NA;1875;NA;0;NA;NA;NA;NA;NA;NA;NA;119375;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;15000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;1875;NA;NA;NA;1875;NA;NA;1425250
"1992-04-21";NA;NA;3125;NA;NA;NA;NA;5625;11875;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;195625;5625;NA;NA;NA;NA;NA;1875;NA;NA;NA;NA;NA;NA;8750;NA;NA;NA;3750;NA;NA;NA;NA;NA;625;NA;1875;23125;NA;NA;NA;NA;NA;NA;13023000
"1992-04-30";NA;NA;625;NA;1875;NA;NA;7500;NA;NA;NA;NA;NA;9375;NA;0;NA;NA;NA;NA;NA;NA;NA;607500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;NA;NA;30000;NA;NA;625;NA;NA;NA;1250;NA;60000;NA;NA;NA;NA;NA;NA;2136750
"1992-05-14";NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;116250;22500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;75625;NA;NA;NA;NA;NA;NA;158000
"1992-05-29";NA;NA;1250;NA;NA;NA;NA;34375;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;470000;1250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25000;NA;NA;NA;NA;NA;NA;NA
"1992-06-05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;8750;1875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2500;NA;NA;NA;NA;NA;NA;22500
"1992-06-16";NA;NA;25000;NA;NA;NA;NA;2500;6250;NA;NA;1250;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;364375;NA;NA;NA;NA;NA;NA;NA;6250;NA;NA;NA;1250;NA;5000;NA;NA;NA;3750;NA;NA;1875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;625
"1992-07-16";NA;NA;1250;NA;NA;NA;NA;NA;12500;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;37500;625;NA;NA;NA;NA;NA;NA;30625;NA;NA;NA;NA;NA;NA;NA;NA;NA;11250;NA;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3750
"1992-08-17";NA;NA;NA;NA;NA;NA;NA;1875;70000;NA;NA;625;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;5625;NA;NA;NA;NA;NA;NA;NA;7500;NA;NA;NA;NA;625;NA;NA;NA;NA;7500;NA;NA;NA;NA;NA;625;NA;NA;NA;NA;NA;NA;NA;16875;NA;14375
"1992-09-10";NA;NA;NA;NA;NA;NA;NA;NA;625;NA;NA;1250;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;3125;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1250;NA;NA;NA;16250;NA;NA;NA;NA;NA;625;NA;NA;NA;NA;16250;NA;12500;NA;NA;3125
"1992-10-13";NA;NA;NA;3400;NA;NA;NA;NA;4200;NA;NA;100;NA;NA;625;0;NA;2100;236250;NA;NA;NA;NA;200;3750;NA;NA;NA;NA;NA;NA;32500;NA;NA;NA;625;1250;3750;NA;300;NA;1800;NA;NA;NA;NA;NA;625;NA;11875;4375;NA;NA;NA;NA;NA;NA;12025
"1992-11-23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;625;0;NA;625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3750;625;NA;NA;NA;33750;NA;NA;NA;NA;NA;NA;NA;NA;625;NA;NA;NA;5000;NA;NA;625
"1992-12-10";NA;NA;300;NA;200;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;0;NA;300;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;300;NA;400;NA;11600;NA;NA;400;NA;NA;NA;NA;NA;100;NA;600;NA;1900;2400;NA;1300
