"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1987-05-18";NA;"6900";NA;NA;NA;NA;"1100";NA;NA;"1300";"500";"300";"37600"
"1987-06-01";"100";"24600";NA;NA;NA;NA;"1200";NA;"300";"200";"1000";NA;"6100"
"1987-06-09";NA;"12800";NA;NA;NA;NA;"3400";"200";"100";"200";"800";NA;"23300"
"1987-06-15";NA;"7400";NA;NA;NA;"1200";"3600";"2200";"1000";"7600";NA;NA;"51100"
"1987-06-23";NA;"15000";NA;NA;NA;NA;NA;"2000";"2000";NA;NA;NA;"10500"
"1987-06-30";NA;"400";NA;NA;NA;"5600";NA;"200";NA;NA;NA;"8e+05";"20000"
"1987-07-08";NA;NA;NA;NA;NA;"700";NA;"58400";"400";NA;NA;"5800";"99300"
"1987-07-15";NA;"3600";NA;"10200";NA;"2500";NA;"26600";"4200";"200";NA;"7e+06";"81300"
"1987-07-20";NA;"600";NA;"71000";NA;"100";NA;"400";"1800";NA;NA;"13000";"13300"
"1987-08-04";NA;"5400";NA;"13000";NA;"1000";"61800";"5400";"3200";"600";NA;NA;"37300"
"1987-08-10";NA;"600";NA;"2500";NA;"300";NA;"30200";"3800";"4600";NA;"1000";"23900"
"1987-08-17";NA;"5400";NA;"944500";NA;NA;"1000";"600";"955500";"800";NA;"836000";"252400"
"1987-08-26";NA;"259000";NA;NA;NA;NA;"3e+05";NA;"3300";NA;NA;NA;"574100"
"1987-09-29";NA;"250300";NA;NA;NA;"100";NA;"700";"2200";NA;NA;"3e+05";"9000"
"1987-10-06";NA;NA;NA;"700";NA;NA;NA;NA;"100";"100";NA;"900";"3100"
"1987-10-13";NA;NA;NA;"1400";NA;"100";"100";"100";"700";NA;NA;"900";"4400"
"1987-10-19";NA;NA;NA;"82600";NA;NA;NA;"100";"200";NA;NA;"1600";"14600"
"1987-10-26";NA;"1000";NA;"18400";NA;"100";NA;NA;"1000";"200";NA;"46400";"15500"
"1987-11-17";NA;"2200";NA;"200";NA;NA;"1200";NA;"200";"800";NA;"2200";"10700"
"1987-11-24";"100";"4800";NA;NA;NA;NA;"500";NA;NA;"1400";NA;"8000";"12200"
"1987-11-30";"200";"6800";NA;"500";NA;NA;"200";NA;"300";"800";NA;"5400";"21300"
"1987-12-07";NA;"4000";NA;"400";NA;NA;"200";NA;NA;NA;"800";NA;"4700"
"1987-12-14";NA;"3800";NA;NA;NA;NA;NA;NA;"100";NA;NA;"1200";"12500"
"1987-12-21";"100";"1600";NA;"100";NA;NA;NA;NA;"100";"300";NA;"9200";"7900"
"1987-12-28";NA;"48400";NA;"100";NA;NA;NA;"1000";NA;"400";NA;"17600";"27400"
"1988-01-11";NA;"18600";NA;NA;NA;NA;NA;"400";"200";NA;"600";"4200";"33300"
"1988-01-26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"14400"
"1988-02-08";NA;"100";NA;NA;NA;NA;NA;NA;NA;"100";NA;"500";"6200"
"1988-02-19";NA;"300";NA;"800";NA;NA;NA;NA;"300";NA;NA;"13800";"35100"
"1988-06-14";NA;"9000";NA;"400";NA;"800";NA;NA;"600";"1000";"200";"1000";"38300"
"1988-06-22";NA;NA;NA;"400";NA;"1000";NA;NA;"4200";NA;NA;"2200";"41400"
"1988-06-27";NA;NA;NA;"4000";NA;"200";"400";NA;"5400";NA;"400";"19600";"31600"
"1988-07-19";NA;"2400";NA;"11600";NA;NA;NA;NA;"200";NA;NA;"187500";"41600"
"1988-08-02";NA;"6400";NA;"600";NA;NA;NA;"800";"2400";NA;NA;"88400";"90000"
"1988-08-16";NA;"1400";NA;NA;NA;NA;NA;"200";"4600";NA;"800";"11000";"97300"
"1988-09-12";NA;"2400";NA;"600";NA;NA;"1200";NA;"7200";NA;NA;"4400";"11300"
"1988-09-26";NA;"7200";NA;NA;NA;NA;"1400";"1000";"1100";"10400";NA;"3800";"60500"
"1988-10-13";NA;"1000";NA;NA;NA;"100";"200";NA;NA;NA;NA;"800";"78100"
"1988-10-25";NA;"600";NA;"400";NA;NA;"400";"400";"700";NA;NA;"200";"52900"
"1988-11-07";NA;"800";NA;NA;NA;NA;"200";"800";NA;NA;"600";"200";"8500"
"1988-11-21";NA;"200";NA;NA;NA;NA;NA;NA;"400";NA;"400";NA;"48100"
