"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1987-02-12";NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"3100"
"1987-03-12";NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"6400";"8000"
"1987-04-16";NA;"900";NA;NA;NA;NA;"100";"100";"100";NA;"1200";"51500";"18900"
"1987-06-18";NA;NA;NA;NA;NA;NA;NA;NA;"400";NA;"400";"100";"31200"
"1987-07-02";NA;"1700";NA;"600";NA;NA;NA;"700";"500";NA;"200";"1000";"26300"
"1987-07-15";NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;"2600"
"1987-07-28";NA;"1500";NA;NA;"600";NA;NA;NA;NA;"1000";NA;NA;"5800"
"1987-08-12";NA;NA;NA;"600";NA;NA;"100";"400";"100";NA;"400";NA;"7000"
"1987-08-27";NA;"100";NA;NA;NA;NA;NA;"100";"100";NA;"400";NA;"5500"
"1987-09-10";NA;"1200";NA;"1400";NA;"300";"14200";"18400";"3700";NA;"1100";"800";"21100"
"1987-09-28";NA;NA;NA;NA;"240";NA;NA;"80";"80";NA;"560";NA;"4240"
"1987-10-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"120";"600";"2120"
"1987-11-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400"
"1987-12-07";NA;"50";NA;NA;NA;NA;NA;NA;NA;NA;NA;"50";"1800"
"1988-02-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"640"
"1988-03-08";NA;NA;NA;NA;NA;NA;NA;"560";NA;NA;NA;"1400";"1080"
"1988-04-04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"136000";"4480"
"1988-04-26";NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;"500";"28000";"5100"
"1988-05-09";NA;NA;NA;NA;"8500";NA;NA;NA;NA;NA;"200";"2500";"24500"
"1988-05-16";"15500";NA;NA;"300";NA;NA;NA;"15100";NA;NA;"1100";"1900";"129100"
