"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1987-01-07";NA;"900";NA;NA;"200";"200";NA;"100";NA;"100";"100";"3000";"8400"
"1987-02-18";NA;NA;NA;NA;"500";NA;NA;NA;NA;NA;NA;"200";"5200"
"1987-03-19";NA;NA;NA;NA;NA;"400";NA;"100";NA;NA;NA;NA;"7700"
"1987-04-21";"300";NA;NA;NA;NA;"100";NA;NA;"200";NA;NA;NA;"24600"
"1987-05-05";NA;"600";NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;"7200"
"1987-05-22";NA;"200";NA;NA;NA;"300";"400";NA;NA;"300";"7200";"14600";"9900"
"1987-06-17";NA;"600";NA;NA;NA;NA;NA;"400";"200";"400";NA;NA;"4100"
"1987-06-30";NA;NA;NA;NA;NA;NA;"800";"400";"1800";"200";"100";NA;"7300"
"1987-07-15";NA;"400";NA;NA;NA;"100";"200";"1032000";"300";"300";"100";"200";"3300"
"1987-09-23";NA;"27200";NA;NA;NA;"100";"700";NA;"900";NA;"100";"3200";"2900"
"1987-10-12";NA;"300";NA;NA;NA;NA;"100";"1000";"200";NA;"600";"14200";"3200"
"1987-10-26";NA;"100";NA;NA;NA;"100";"200";"200";"100";NA;"400";NA;"3400"
"1987-11-16";NA;"200";NA;NA;NA;"100";"400";"400";NA;NA;"1000";NA;"24500"
"1987-11-30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;"1000"
"1987-12-08";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1600"
"1987-12-28";NA;"11400";NA;NA;NA;"300";NA;NA;"400";"1000";NA;"800";"92900"
"1988-01-08";NA;"300";NA;NA;NA;NA;NA;NA;"200";NA;"300";NA;"4100"
"1988-01-25";"100";"700";NA;NA;NA;"100";"100";"200";"100";NA;NA;"1300";"3600"
"1988-02-23";"1200";"3600";NA;NA;"600";NA;"6200";"400";"200";"1800";"800";NA;"13200"
"1988-02-29";"600";"3300";NA;NA;NA;NA;"900";"900";"200";"500";NA;NA;"9000"
"1988-04-05";NA;"800";NA;NA;NA;"100";"800";"9400";NA;"200";NA;"1200";"6400"
"1988-04-11";NA;NA;NA;NA;NA;NA;"1000";"2000";"100";NA;NA;NA;"16600"
"1988-04-18";NA;"200";NA;NA;NA;NA;"200";"1800";"100";"400";"200";"200";"58200"
"1988-05-03";NA;NA;NA;NA;NA;NA;NA;"100";"100";NA;NA;NA;"2200"
"1988-05-09";NA;NA;NA;NA;NA;"100";NA;"100";"300";"100";NA;"200";"2700"
"1988-05-17";NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;"1300"
"1988-05-25";NA;"800";NA;NA;NA;NA;"600";"600";"100";NA;NA;NA;"3500"
"1988-06-06";NA;"100";NA;NA;NA;NA;"100";"200";"100";NA;NA;"100";"4300"
"1988-06-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400"
"1988-06-21";NA;"3000";NA;NA;NA;NA;"9800";NA;"200";"400";"1000";"200";"4200"
"1988-07-06";NA;"600";NA;NA;NA;NA;"800";"400";"1800";NA;NA;"200";"7400"
"1988-07-20";NA;NA;NA;NA;NA;NA;NA;"700";"200";NA;NA;NA;"2700"
"1988-08-01";NA;NA;NA;NA;NA;NA;NA;"400";NA;NA;NA;NA;"7000"
"1988-09-13";NA;"1600";NA;NA;NA;NA;"14400";NA;NA;NA;NA;NA;"2400"
"1988-09-27";NA;NA;NA;NA;NA;NA;NA;"100";"200";NA;NA;NA;"3800"
"1988-10-04";NA;NA;NA;NA;NA;NA;"200";"100";"400";NA;NA;NA;"8900"
"1988-10-18";NA;NA;NA;NA;NA;NA;NA;"400";NA;NA;"200";"200";"15200"
"1988-11-22";NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;"5600"
"1988-11-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1100"
"1988-12-22";NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;"3200"
"1989-01-02";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"900"
"1989-01-10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;"4500"
"1989-01-18";NA;NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;"6400"
"1989-01-31";NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;"1600";NA;"67400"
"1989-02-13";NA;NA;NA;NA;NA;NA;NA;"800";NA;NA;"900";NA;"18000"
"1989-02-22";NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;"2100";NA;"35300"
"1989-03-07";NA;NA;NA;NA;NA;NA;NA;"2700";NA;NA;"1800";NA;"91500"
"1989-05-11";NA;NA;NA;NA;NA;NA;NA;"2600";NA;NA;NA;NA;"64700"
"1989-05-18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5000";NA;"246200"
"1989-05-30";NA;"400";NA;NA;NA;NA;NA;"3600";NA;NA;"6400";NA;"139400"
"1989-06-06";NA;"10200";NA;NA;NA;NA;NA;"4400";NA;NA;"1600";"11000";"33200"
"1989-06-20";NA;"4000";NA;NA;NA;NA;NA;"9000";NA;NA;"2600";"600";"48500"
"1989-07-04";NA;NA;NA;NA;NA;NA;NA;"8600";NA;NA;NA;NA;"28000"
"1989-08-02";NA;"800";NA;NA;NA;NA;NA;"6800";NA;NA;"1800";NA;"61000"
"1989-08-17";NA;"400";NA;NA;NA;NA;NA;"2000";NA;NA;"1200";NA;"29200"
"1989-08-29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;"43000"
"1989-09-12";NA;NA;NA;NA;NA;NA;NA;"1600";NA;NA;NA;NA;"16400"
"1989-09-19";"200";"400";NA;NA;NA;"400";NA;"2400";"400";NA;"2400";"4800";"31600"
"1989-10-04";NA;NA;NA;NA;NA;NA;NA;"3000";NA;NA;"4600";NA;"56200"
"1989-10-24";"2800";"15400";NA;NA;NA;"200";NA;"4800";NA;NA;"3600";"9600";"46000"
"1989-11-21";NA;NA;NA;NA;NA;"400";NA;"1400";NA;NA;"1400";NA;"16600"
"1990-01-09";NA;"100";NA;NA;NA;"200";NA;"200";NA;NA;NA;NA;"22000"
"1990-01-23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"15700"
"1990-02-19";NA;"5400";NA;NA;NA;"1200";NA;NA;NA;NA;"2400";"27200";"158100"
"1990-03-20";NA;"5600";NA;"400";NA;"800";NA;"13600";NA;NA;NA;"14800";"21000"
"1990-04-18";NA;NA;NA;"200";NA;NA;NA;"1600";NA;NA;"1600";NA;"19600"
"1990-05-09";NA;"1000";NA;NA;NA;"2200";NA;"6400";NA;NA;"3200";"1200";"8400"
"1990-05-21";NA;"6200";NA;NA;NA;NA;NA;"16400";NA;NA;"18800";NA;"21600"
