"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1987-08-31";NA;"62500";NA;NA;"46000";"2500";"130500";NA;NA;"5500";"3000";NA;"70500"
"1987-09-14";NA;"13600";NA;NA;"1400";NA;"20000";NA;NA;NA;"100";NA;"29400"
"1987-10-28";NA;NA;NA;"800";"300";"3000";"28800";"200";"200";NA;"3200";"700";"31300"
"1988-01-19";NA;"200";NA;NA;NA;NA;"600";"100";"100";NA;NA;"400";"12700"
"1988-02-22";NA;NA;NA;NA;NA;"600";"1600";"1200";"1600";NA;NA;"2100";"11600"
"1988-03-21";"1600";"1000";NA;NA;"2000";"600";"1400";"8800";NA;NA;"400";"217600";"104200"
"1988-04-12";NA;"2270000";NA;NA;NA;"600";"12200";"16000";"700";NA;"31000";NA;"227000"
"1988-04-26";NA;"152000";NA;NA;NA;"1200";"62300";"39200";NA;NA;"225400";"4900";"119900"
"1988-05-09";NA;"15000";NA;NA;NA;"2800";"48200";"33200";"200";NA;"44800";NA;"24200"
"1988-06-13";NA;"177200";NA;NA;"200";"8000";NA;NA;"3600";"4000";"145000";NA;"30300"
"1988-06-27";NA;"1560000";NA;NA;NA;NA;NA;"200";"1300";NA;"208000";NA;"41500"
"1988-07-11";NA;"464000";NA;"1500";NA;"12000";"42000";"4000";"18100";NA;"5000";NA;"215200"
"1988-08-08";NA;"900";NA;NA;NA;"351300";NA;NA;NA;NA;NA;NA;"63900"
"1988-08-22";NA;NA;NA;NA;NA;"540000";"1000";NA;"300";NA;NA;NA;"438100"
"1988-09-05";NA;"600";NA;"1600";NA;"3200";"2000";NA;"600";NA;"1600";NA;"2532900"
"1988-09-20";NA;"413500";NA;"400";NA;"800";"9900";"69300";"6700";NA;"22900";"81900";"75300"
"1988-10-04";NA;"10000";NA;"500";"500";"4000";"25500";"1500";"2000";NA;"1000";NA;"208400"
"1988-10-18";NA;"6300";NA;"900";NA;"500";"6500";NA;"100";NA;"4100";NA;"3600"
"1988-11-07";NA;"2000";"224200";"200";NA;"400";"17000";NA;NA;NA;"6400";"2600";"40700"
"1988-11-28";NA;"11400";NA;NA;"400";"400";"1600";"600";NA;NA;"21200";"1600";"27800"
"1988-12-08";NA;NA;NA;NA;NA;"100";"4400";NA;NA;NA;"1600";NA;"6800"
"1988-12-20";NA;"200";NA;NA;NA;"200";NA;"200";"1800";NA;NA;NA;"12200"
"1989-01-10";NA;NA;"2000";NA;NA;NA;"800";"800";"400";NA;"400";NA;"14200"
"1989-01-23";NA;NA;NA;NA;NA;"200";NA;"1800";NA;NA;NA;"1200";"13200"
"1989-02-07";NA;NA;NA;NA;NA;NA;"5600";"600";NA;NA;"200";"2200";"11600"
"1989-02-21";NA;NA;NA;NA;NA;NA;"1000";"1800";NA;NA;"600";"8000";"29200"
"1989-03-06";NA;"400";"4200";NA;NA;NA;"800";"3400";NA;NA;"2200";"29400";"32600"
"1989-03-23";NA;NA;NA;NA;NA;"100";NA;"200";NA;NA;"100";"2700";"33700"
"1989-04-10";NA;"303400";NA;"200";"200";"2800";"6600";"1000";NA;"1600";"3800";"1400";"136200"
"1989-04-11";NA;"57600";NA;"1600";NA;"4800";"1200";"13800";"5200";NA;"2400";NA;"95300"
"1989-04-24";NA;"87200";NA;NA;NA;"800";"2200";"13200";"1200";NA;"28600";"1200";"32900"
"1989-05-09";NA;"939000";NA;NA;"1800";"12000";"70800";"257400";"3000";NA;"84600";NA;"53900"
"1989-05-22";NA;"412800";NA;NA;"34000";"12800";"19200";"2000";"4400";"312400";"6000";NA;"112200"
"1989-06-05";NA;"18200";NA;"400";NA;"10200";"400";"1200";"49000";NA;"3200";NA;"201300"
"1989-06-19";NA;NA;NA;NA;"7000";"600";NA;"32200";"800";NA;"218000";NA;"137800"
"1989-07-03";NA;"7200";NA;NA;NA;"100";"500";"3500";"1100";NA;"4100";NA;"139400"
"1989-07-17";NA;NA;NA;"200";NA;"1200";"18800";"12200";"3400";NA;"2200";NA;"148200"
"1989-07-31";NA;"13200";NA;NA;NA;"100";"1100";"2600";"2700";NA;"600";NA;"149600"
