"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1987-05-18";"6900";"300";NA;"1100";NA;NA;"1300";"100";"33600";NA;"100";"4300"
"1987-06-01";"24600";NA;NA;"1200";NA;"300";"200";NA;"300";"300";"700";"5900"
"1987-06-09";"12800";NA;NA;"3400";"200";"100";"200";NA;"8500";"400";"500";"14700"
"1987-06-15";"7400";NA;"1200";"3600";"2200";"1000";"7600";"600";"15400";NA;"6200";"28900"
"1987-06-23";"15000";NA;NA;NA;"2000";"2000";NA;NA;NA;NA;NA;"10500"
"1987-06-30";"400";"8e+05";"5600";NA;"200";NA;NA;"800";"2400";NA;"4300";"12500"
"1987-07-08";NA;"5800";"700";NA;"58400";"400";NA;NA;"19600";"200";"7400";"72100"
"1987-07-15";"3600";"7e+06";"2500";NA;"26600";"4200";"200";"800";"12600";NA;"22600";"55500"
"1987-07-20";"600";"13000";"100";NA;"400";"1800";NA;NA;"600";NA;NA;"83700"
"1987-08-04";"5400";NA;"1000";"61800";"5400";"3200";"600";NA;"5000";NA;"5700";"39600"
"1987-08-10";"600";"1000";"300";NA;"30200";"3800";"4600";"100";"7100";NA;"9300";"9900"
"1987-08-17";"5400";"836000";NA;"1000";"600";"955500";"800";"2000";"242200";NA;"7200";"945500"
"1987-08-26";"259000";NA;NA;"3e+05";NA;"3300";NA;NA;"159400";NA;"13800";"400900"
"1987-09-29";"250300";"3e+05";"100";NA;"700";"2200";NA;"600";"4500";"400";"600";"2900"
"1987-10-06";NA;"900";NA;NA;NA;"100";"100";"200";"1100";"600";NA;"1900"
"1987-10-13";NA;"900";"100";"100";"100";"700";NA;"100";"1600";"500";NA;"3600"
"1987-10-19";NA;"1600";NA;NA;"100";"200";NA;"1000";"1100";"100";"200";"94800"
"1987-10-26";"1000";"46400";"100";NA;NA;"1000";"200";"5000";"600";NA;"500";"27800"
"1987-11-17";"2200";"2200";NA;"1200";NA;"200";"800";"200";"2700";"200";"900";"6900"
"1987-11-24";"4800";"8000";NA;"500";NA;NA;"1400";"3600";NA;NA;NA;"8700"
"1987-11-30";"6800";"5400";NA;"200";NA;"300";"800";"1000";"1900";"600";NA;"18500"
"1987-12-07";"4000";NA;NA;"200";NA;NA;NA;NA;"1400";NA;"500";"4000"
"1987-12-14";"3800";"1200";NA;NA;NA;"100";NA;"200";NA;"100";"100";"12100"
"1987-12-21";"1600";"9200";NA;NA;NA;"100";"300";"700";"4400";"100";"300";"2600"
"1987-12-28";"48400";"17600";NA;NA;"1000";NA;"400";"3200";"5900";NA;"100";"18300"
"1988-01-11";"18600";"4200";NA;NA;"400";"200";NA;"800";"24100";NA;NA;"9000"
"1988-01-26";NA;NA;NA;NA;NA;NA;NA;NA;"5500";"100";NA;"8800"
"1988-02-08";"100";"500";NA;NA;NA;NA;"100";NA;"4000";"100";NA;"2100"
"1988-02-19";"300";"13800";NA;NA;NA;"300";NA;"500";"24100";"200";NA;"11100"
"1988-06-14";"9000";"1000";"800";NA;NA;"600";"1000";NA;"17300";"200";"4800";"16600"
"1988-06-22";NA;"2200";"1000";NA;NA;"4200";NA;NA;"9400";NA;"16600";"15800"
"1988-06-27";NA;"19600";"200";"400";NA;"5400";NA;NA;"12000";NA;"11600";"12400"
"1988-07-19";"2400";"187500";NA;NA;NA;"200";NA;NA;"30600";"200";"5200";"17200"
"1988-08-02";"6400";"88400";NA;NA;"800";"2400";NA;NA;"72800";NA;"12000";"5800"
"1988-08-16";"1400";"11000";NA;NA;"200";"4600";NA;NA;"36000";NA;"50000";"12100"
"1988-09-12";"2400";"4400";NA;"1200";NA;"7200";NA;NA;"3600";"200";"1800";"6300"
"1988-09-26";"7200";"3800";NA;"1400";"1000";"1100";"10400";NA;"34200";NA;"800";"25500"
"1988-10-13";"1000";"800";"100";"200";NA;NA;NA;NA;"73000";"200";NA;"4900"
"1988-10-25";"600";"200";NA;"400";"400";"700";NA;NA;"1500";NA;"100";"51700"
"1988-11-07";"800";"200";NA;"200";"800";NA;NA;"600";"900";"200";"400";"7000"
"1988-11-21";"200";NA;NA;NA;NA;"400";NA;"200";"2100";"1800";NA;"44400"
"1988-11-28";"200";NA;NA;NA;NA;NA;"400";"4200";"14500";NA;NA;"8200"
"1989-01-16";"1400";NA;NA;NA;NA;NA;NA;NA;"321000";NA;"10500";"25600"
"1989-01-30";"600";NA;NA;NA;"1000";NA;NA;NA;"58800";"100";"9600";"23700"
"1989-02-06";"16400";NA;NA;NA;NA;NA;NA;NA;"138000";NA;"48800";"31500"
"1989-02-17";"10200";NA;NA;NA;"200";NA;NA;NA;"43200";NA;"31800";"34400"
"1989-02-20";NA;NA;NA;NA;"3400";NA;NA;NA;"35100";NA;"9800";"29000"
"1989-02-27";"7400";NA;NA;NA;"3600";NA;NA;NA;"61500";NA;"21300";"41200"
"1989-03-06";NA;NA;NA;NA;"3400";NA;NA;NA;"33700";NA;"21000";"41800"
"1989-03-13";"12600";NA;NA;NA;"3200";NA;NA;NA;"33184";NA;"18400";"18600"
"1989-03-20";"5400";NA;NA;NA;NA;NA;NA;NA;"75100";NA;"34200";"21400"
"1989-04-11";"43500";NA;NA;NA;"600";NA;NA;NA;"63800";NA;"43000";"19100"
"1989-04-17";"66200";NA;NA;NA;"7800";NA;NA;NA;"122800";NA;"23700";"12300"
"1989-05-10";"125600";"3400";NA;NA;"7600";"100";NA;"6000";"277500";NA;"54300";"133500"
"1989-05-25";"1200";NA;NA;NA;"33200";NA;NA;NA;"105200";"800";"14400";"6400"
"1989-08-28";"1200";NA;NA;NA;"2400";"6600";NA;"1600";"49600";NA;NA;"22000"
"1989-09-18";NA;"200";NA;NA;"1000";NA;NA;NA;"3400";"200";"600";"20600"
"1989-10-13";NA;NA;NA;NA;"7600";NA;NA;NA;"56400";"7800";"800";"103400"
"1989-10-26";"3400";NA;"1000";NA;"1200";"400";NA;"5200";"35400";NA;"18000";"22000"
"1989-11-13";"4800";"1200";NA;NA;"6400";NA;NA;NA;"44000";NA;"13800";"24000"
"1989-12-04";NA;NA;NA;NA;"800";NA;NA;NA;"38400";"600";NA;"22200"
"1990-01-04";NA;"1800";NA;NA;"400";NA;NA;"600";"22800";NA;"400";"13600"
"1990-01-22";"38200";NA;NA;NA;"9000";"10600";NA;"3600";"90800";NA;NA;"44800"
"1990-02-26";NA;NA;NA;NA;"2600";NA;NA;NA;"22200";NA;NA;"6200"
"1990-03-16";"9600";"4400";NA;NA;"4800";NA;NA;NA;"75000";NA;"13200";"18200"
"1990-04-09";"35600";"600";NA;NA;"2200";NA;NA;"400";"56600";NA;"11200";"25600"
"1990-05-03";"600";"200";NA;NA;"400";NA;NA;NA;"19600";NA;"2000";"13600"
"1990-05-07";"800";NA;NA;NA;"1800";"600";NA;NA;"13600";NA;"800";"14000"
"1990-05-20";NA;"25200";"2400";NA;"600";"5600";NA;NA;"83000";NA;"12400";"76000"
"1990-07-02";"6800";"580000";"2000";NA;"2200";NA;NA;NA;"52800";"1200";"24400";"26400"
"1990-07-25";"600";NA;NA;NA;"3000";NA;NA;NA;"7200";"600";NA;"12800"
"1990-08-06";"5600";"1640000";"1400";NA;"2400";"5400";NA;NA;"32000";NA;"3800";"26100"
"1990-08-20";"3200";"400";"800";NA;"2800";"2600";NA;NA;"6600";"600";NA;"7100"
"1990-09-03";"200";"400";NA;NA;"600";"800";NA;NA;"14800";"400";NA;"9000"
"1990-09-18";"200";"4000";NA;NA;"1800";"4200";NA;NA;"25800";NA;"1600";"24000"
"1990-10-18";"5400";NA;NA;NA;"2400";"1000";NA;"3400";"7600";NA;"600";"16900"
"1990-11-05";"2200";NA;NA;NA;NA;NA;NA;NA;"2000";"3200";NA;"8600"
"1990-12-03";NA;NA;NA;NA;"6200";NA;NA;NA;"1800";"600";NA;"12000"
"1990-12-13";NA;NA;NA;NA;"600";NA;NA;NA;"6200";NA;NA;"6000"
"1991-01-04";"600";"30800";NA;NA;"400";"200";NA;NA;"2600";NA;NA;"39800"
"1991-02-04";"600";"5400";NA;NA;"6200";NA;NA;NA;"1000";"400";NA;"56800"
"1991-03-04";"7200";"17600";NA;NA;"11600";NA;NA;NA;"12000";NA;NA;"43400"
"1991-04-02";"400";"800";NA;NA;"2600";NA;NA;NA;"5400";NA;NA;"18500"
"1991-05-03";NA;"1000";NA;NA;"18600";NA;NA;NA;"17800";NA;NA;"124200"
"1991-05-24";"14400";"6000";"1200";NA;"480000";"3800";NA;NA;"19000";NA;"3600";"58800"
"1991-06-07";"1600";NA;NA;NA;"11200";"2400";NA;NA;"4800";NA;"1200";"31600"
"1991-06-17";"1600";NA;"2600";NA;"76800";"1400";NA;"400";"2700";"3400";"1600";"24600"
"1991-07-05";"35800";"116800";NA;NA;"158400";"1000";NA;NA;"6400";NA;"800";"162200"
"1991-07-19";"2400";NA;"1600";NA;NA;"14200";NA;NA;"66000";NA;"42800";"73400"
"1991-08-02";"20800";NA;NA;NA;"8200";"3800";NA;"7400";"6400";"600";NA;"26600"
"1991-09-05";"1200";"43200";"1200";NA;"8400";"2200";NA;NA;"5800";"400";"2200";"38600"
"1991-09-23";"3600";NA;"400";NA;"19200";"1800";NA;NA;"87400";"1400";"5200";"62900"
"1991-10-01";NA;"600";NA;NA;"28400";"2600";NA;NA;"2400";"1200";NA;"47000"
"1991-10-15";"400";"4400";NA;NA;"6200";"1600";NA;NA;"1000";"200";NA;"21800"
"1991-11-04";"400";"200";NA;NA;"600";"400";NA;NA;"1000";NA;"1400";"17200"
"1991-11-18";"1800";NA;NA;NA;"3800";"1000";NA;NA;"200";NA;NA;"18200"
"1991-12-02";NA;NA;NA;NA;"1400";NA;NA;NA;NA;"200";NA;"22800"
"1992-01-03";NA;"1400";NA;NA;NA;"400";NA;NA;"200";"200";NA;"22600"
"1992-01-17";"800";"800";"100";NA;"1000";"400";NA;"9200";NA;NA;NA;"12100"
"1992-02-06";"1600";"1200";"100";NA;"400";"200";NA;"1000";NA;"600";NA;"208300"
"1992-02-18";"4200";NA;NA;NA;"1400";"400";NA;NA;NA;"400";NA;"22400"
"1992-03-02";"313800";"12000";NA;NA;"3600";"14300";"1200";"15200";NA;"600";NA;"32600"
"1992-03-20";"299000";NA;NA;NA;"66800";NA;NA;NA;NA;"1600";"1200";"139000"
"1992-04-01";"66200";NA;NA;"2400";"11600";NA;NA;NA;NA;"200";"600";"45200"
"1992-04-22";"58700";NA;NA;"5300";"1600";"100";"30900";"2200";NA;NA;NA;"10800"
"1992-05-04";"8600";NA;NA;"800";"1500";NA;"1300";NA;"200";"1200";NA;"6800"
"1992-05-19";"80400";NA;"300";NA;"900";"3100";"3600";NA;"2800";"400";"4800";"8100"
"1992-06-01";"1588000";"9600";NA;NA;"141400";"2600";NA;NA;"1400";NA;NA;"9100"
"1992-06-15";"82800";"112800";NA;"882600";"3800";NA;NA;NA;"1200";NA;"600";"2600"
"1992-06-29";NA;NA;"400";NA;"4200";"2400";NA;NA;"2800";"800";"800";"51000"
"1992-07-15";"3400";NA;NA;NA;"22600";"400";NA;NA;NA;"600";NA;"43600"
"1992-07-27";NA;NA;NA;"400";"2000";"1600";NA;"600";"3200";"800";"200";"25800"
"1992-08-10";"8800";"4400";"2000";"4600";"5600";"2000";NA;"1800";"5200";"200";"200";"16100"
"1992-08-25";"600";"21800";"4000";"2800";NA;"5400";"112800";NA;"10200";NA;"1200";"38300"
"1992-09-07";"36500";"65600";NA;"766600";"229000";"900";NA;NA;"1900";"100";"400";"434100"
"1992-09-22";"21600";"8400";"400";"60800";"14400";"8200";NA;"20800";"29600";NA;"4200";"62200"
"1992-10-05";"6000";"5800";NA;NA;"14200";"2400";NA;"800";"600";"200";NA;"7800"
"1992-10-19";"44400";NA;NA;"3200";"2600";"1400";NA;"3000";"400";NA;NA;"14600"
"1992-11-03";"4100";NA;NA;NA;"400";"600";NA;NA;"100";"400";NA;"36500"
"1992-11-16";NA;NA;NA;"200";"5200";NA;NA;"400";"31800";"200";NA;"21200"
"1992-11-30";"2400";NA;"400";NA;"6200";NA;NA;"6800";"12400";NA;NA;"28800"
"1992-12-15";NA;NA;NA;NA;"800";NA;NA;"1600";"6600";NA;NA;"5400"
"1993-01-12";NA;NA;NA;"2200";"6200";NA;NA;"1200";"7400";"600";NA;"192400"
"1993-01-25";"1200";"39800";NA;NA;"6400";NA;NA;"8000";"2200";NA;NA;"11600"
"1993-02-08";"62800";"18800";NA;"8800";"400";"600";"13800";"3200";"1400";NA;NA;"28600"
"1993-02-23";"60800";"3400";"600";"2400";"16400";NA;NA;NA;"3400";"400";NA;"32800"
"1993-03-09";NA;NA;NA;NA;"5600";NA;NA;NA;NA;"400";NA;"40600"
"1993-03-22";"8200";NA;NA;NA;"7000";NA;NA;NA;"800";"200";"1200";"8000"
"1993-04-05";"5600";NA;"100";"4500";"300";"300";NA;NA;"3000";"100";NA;"3600"
"1993-04-19";"91600";NA;NA;"24400";"9400";NA;NA;NA;NA;NA;NA;"68000"
"1993-05-04";NA;NA;NA;NA;"3000";"400";NA;"1400";"2200";NA;"600";"13800"
"1993-05-17";"12800";NA;"2800";NA;"1600";"800";NA;"600";"12200";NA;"6400";"32200"
"1993-06-01";NA;"800";"400";NA;"800";"10200";NA;"600";"33200";NA;"400";"109700"
"1993-06-14";NA;"26400";"600";"465600";"13400";"7200";NA;NA;"10200";NA;NA;"23400"
"1993-06-28";"3800";NA;"400";"2400";"1200";"4800";NA;NA;"3400";NA;"400";"4400"
"1993-07-12";"1600";"249000";"200";"4000";"17600";"400";NA;NA;"6400";"600";NA;"74000"
"1993-07-26";"3600";"8077000";"1800";NA;"278400";"10600";NA;NA;"17600";NA;NA;"13400"
"1993-08-09";"45400";"9600";"1000";NA;"724800";"2800";NA;"4800";"800";NA;NA;"85600"
"1993-08-23";"833600";"20600";"400";"136000";"114000";"4200";NA;"12200";"14600";"200";NA;"16800"
"1993-09-06";"1600";"2800";NA;"1800";"20200";NA;NA;"2400";"14200";"400";"600";"41600"
"1993-09-20";"12000";"219200";"100";"196800";"201600";"3000";NA;"400";"200";NA;NA;"19700"
"1993-10-04";NA;"6800";NA;NA;"22400";"3600";NA;NA;NA;NA;NA;"43200"
"1993-10-18";NA;"1800";NA;NA;"3800";"200";NA;"3000";"1200";NA;NA;"19400"
"1993-11-08";"2400";"3600";"600";NA;"1200";NA;NA;"16600";"1600";"600";NA;"8200"
"1993-11-22";"2400";"800";NA;"1000";"1200";"400";NA;"1600";"300";NA;NA;"34500"
"1993-12-06";"10200";"3400";NA;NA;"1200";NA;NA;"4400";"3400";NA;NA;"15800"
"1993-12-20";NA;NA;NA;NA;"1600";NA;NA;NA;"3600";"5600";NA;"12600"
"1994-01-03";NA;"200";"200";NA;"1800";NA;NA;NA;"128400";"200";NA;"5700"
"1994-01-17";NA;NA;NA;NA;"2800";NA;NA;NA;"8000";"400";NA;"13000"
"1994-01-31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"3400"
"1994-02-14";"2600";"1200";NA;NA;"600";NA;NA;"400";"400";NA;NA;"7000"
"1994-03-07";"21600";NA;"800";"2400";"19400";"800";NA;"3200";"600";"800";NA;"66400"
"1994-04-11";"28400";NA;NA;NA;"64800";NA;NA;NA;NA;"2400";NA;"46400"
"1994-05-03";"178200";NA;"600";"4600";"21600";"2800";NA;NA;"27200";NA;"800";"51200"
"1994-05-16";"3200";NA;NA;NA;"8200";"5200";NA;"600";"3600";"200";"1200";"113800"
"1994-05-30";"130800";"120400";NA;"40400";"748800";"2000";NA;NA;"224000";NA;NA;"244800"
"1994-06-13";"6800";"5600";NA;"4600";"27200";"2400";NA;NA;NA;NA;NA;"101600"
"1994-06-28";"14800";"12400";"400";"6400";"15600";"69200";NA;NA;"5000";"2200";"800";"68800"
"1994-07-11";"1600";NA;NA;"7200";"1800";"36400";NA;"5400";"7800";"200";"200";"242300"
