"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1995-04-05";NA;"144000";NA;NA;"800";"300";"3200";"8000";NA;NA;"1700";"82700"
"1995-04-19";NA;"5800";NA;"3200";"6200";NA;"2600";"1800";"300";NA;"200";"306300"
"1995-05-12";NA;NA;"1400";"10600";"1400";"3200";"3200";NA;"700";NA;"1700";"84000"
"1995-05-16";NA;NA;"200";NA;"200";"700";"600";"800";NA;"100";"300";"63000"
"1995-06-15";"243800";"5200";"1600";"54800";"3400";"2300";"12600";"21200";"3600";NA;"6600";"180200"
"1995-07-13";"800";NA;"500";"190000";"2400";NA;"9200";NA;"4200";"200";"4200";"13900"
"1995-07-26";"35000";NA;"7600";"212200";"6200";"800";"2000";"1600";"21000";NA;"60800";"93800"
"1995-08-07";"23200";NA;"600";"469400";"3400";"1000";NA;"1600";"4800";NA;"6600";"73800"
"1995-08-21";"194200";"136400";"4800";"263200";NA;"3400";"4600";"2000";"235800";NA;"22200";"59800"
"1995-08-28";"13800";NA;"100";"22200";NA;"1000";NA;"2600";"7400";NA;"300";"80400"
"1995-09-05";"744800";"15000";"1000";"109000";"800";"1600";"7200";"6800";"1400";NA;"600";"145100"
"1995-09-13";"200";NA;"400";"4400";"400";"300";NA;"2800";NA;NA;"1600";"26900"
"1995-10-11";"400";NA;"200";NA;"1600";"1800";"2400";"1800";"600";NA;"400";"19900"
"1995-10-18";"47800";"800";"1000";"20200";"7600";"2000";"1600";"58600";"700";NA;"3800";"128700"
"1995-10-24";"20200";"1200";"800";"13800";"1200";"600";"2200";"18800";"500";"100";"5600";"102700"
"1995-11-07";"18000";"1200";"1400";"2400";"2000";"100";"4800";"5400";"1400";"100";"7200";"100800"
"1995-11-22";"12800";NA;"300";"1000";"3500";"100";"1400";"1600";"400";NA;"200";"46900"
"1995-12-05";NA;NA;NA;NA;NA;NA;NA;"800";NA;NA;NA;"23104"
"1996-01-09";NA;NA;NA;NA;"400";"100";"800";NA;NA;NA;NA;"20400"
"1996-01-22";NA;NA;NA;"1200";NA;NA;NA;"800";NA;NA;NA;"15900"
"1996-02-13";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;"17200"
"1996-03-18";"2400";"17200";"100";"1300";"800";"800";NA;"13400";"100";NA;"2200";"8500"
"1996-03-28";NA;"26400";NA;NA;NA;"200";"400";"5000";NA;"100";"400";"10200"
"1996-04-15";"12000";"149200";"100";"400";"2800";"2600";"76400";"5200";"200";NA;"13000";"28100"
"1996-05-03";NA;"20400";NA;NA;"200";"400";NA;NA;NA;NA;"800";"13300"
"1996-05-13";NA;"19800";"400";NA;"3400";"5000";NA;"43000";"500";NA;"6400";"15400"
"1996-05-22";NA;NA;"800";NA;NA;"1500";"18000";NA;"2000";NA;"4000";"10000"
"1996-05-30";"200";"3400";"300";"17600";"1400";"1600";"81000";NA;"1000";NA;"3200";"67200"
"1996-06-03";NA;NA;NA;NA;NA;"600";"28600";NA;NA;NA;"400";"5000"
"1996-06-10";"5200";"7000";"700";"26600";"3400";"2200";"11400";"5600";"400";"100";"14000";"87700"
"1996-06-18";"1e+05";"2400";"800";"280000";"3400";"400";"59800";"800";"200";"100";"2000";"127700"
"1996-06-26";"40400";NA;"600";"52200";"7400";"800";NA;NA;"1200";"600";"13600";"82600"
"1996-07-23";"429600";NA;"200";"157600";NA;"2100";"18200";"2400";"5800";NA;"800";"139100"
"1996-08-06";"62000";NA;"200";"382800";"3600";"2300";"14400";"12600";"19000";"100";"3000";"104400"
"1996-08-20";"29200";NA;"2000";"3800";"200";"1400";"2200";"9200";"600";"100";"2000";"102000"
"1996-09-06";"78000";NA;"2400";"58800";"9200";"1700";"9600";"14200";"1800";"200";"12600";"347200"
"1996-09-12";NA;NA;"1800";NA;NA;"1500";"600";NA;"1600";NA;"2600";"47500"
"1996-09-30";"2200";"800";"900";"19400";"2400";"500";NA;"2200";"800";"400";"400";"152700"
"1996-10-14";"9600";NA;NA;"28400";NA;"200";NA;NA;NA;NA;"400";"20700"
