"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1987-08-31";"62500";NA;"2500";"130500";NA;NA;"5500";"4000";"1400";NA;"15600";"98500"
"1987-09-14";"13600";NA;NA;"20000";NA;NA;NA;NA;"700";"11400";"900";"17900"
"1987-10-28";NA;"700";"3000";"28800";"200";"200";NA;"1800";NA;NA;"1200";"32600"
"1988-01-19";"200";"400";NA;"600";"100";"100";NA;NA;NA;NA;"200";"12500"
"1988-02-22";NA;"2100";"600";"1600";"1200";"1600";NA;"1400";NA;"200";"400";"9600"
"1988-03-21";"1000";"217600";"600";"1400";"8800";NA;NA;"34400";NA;"1600";NA;"72200"
"1988-04-12";"2270000";NA;"600";"12200";"16000";"700";NA;"188000";NA;NA;NA;"70000"
"1988-04-26";"152000";"4900";"1200";"62300";"39200";NA;NA;"74200";"900";"100";NA;"270100"
"1988-05-09";"15000";NA;"2800";"48200";"33200";"200";NA;NA;NA;NA;"1000";"68000"
"1988-06-13";"177200";NA;"8000";NA;NA;"3600";"4000";"800";"14200";NA;"3000";"157500"
"1988-06-27";"1560000";NA;NA;NA;"200";"1300";NA;NA;"600";NA;NA;"248900"
"1988-07-11";"464000";NA;"12000";"42000";"4000";"18100";NA;"7000";"71000";NA;"24000";"119700"
"1988-08-08";"900";NA;"351300";NA;NA;NA;NA;NA;"2200";NA;NA;"61700"
"1988-08-22";NA;NA;"540000";"1000";NA;"300";NA;NA;"24000";"300";NA;"413800"
"1988-09-05";"600";NA;"3200";"2000";NA;"600";NA;"400";"5800";"600";"6000";"2523300"
"1988-09-20";"413500";"81900";"800";"9900";"69300";"6700";NA;"4000";"2700";"1300";"6300";"84300"
"1988-10-04";"10000";NA;"4000";"25500";"1500";"2000";NA;"2000";NA;"500";"22000";"185900"
"1988-10-18";"6300";NA;"500";"6500";NA;"100";NA;"200";NA;"300";NA;"8100"
"1988-11-07";"2000";"2600";"400";"17000";NA;NA;NA;"3000";NA;"100";"3600";"264800"
"1988-11-28";"11400";"1600";"400";"1600";"600";NA;NA;NA;NA;NA;"1600";"47800"
"1988-12-08";NA;NA;"100";"4400";NA;NA;NA;NA;NA;"300";NA;"8100"
"1988-12-20";"200";NA;"200";NA;"200";"1800";NA;NA;NA;NA;"400";"11800"
"1989-01-10";NA;NA;NA;"800";"800";"400";NA;NA;NA;NA;"800";"15800"
