"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1987-05-18";"10200";NA;NA;NA;"3800";NA;NA;NA;"33700";NA;NA;NA
"1987-06-01";"26900";NA;NA;NA;"5300";NA;NA;NA;"1300";NA;NA;NA
"1987-06-09";"17000";NA;NA;NA;"14400";NA;NA;NA;"9400";NA;NA;NA
"1987-06-15";"19000";NA;NA;NA;"27600";NA;NA;NA;"27500";NA;NA;NA
"1987-06-23";"15000";NA;NA;NA;"9800";NA;NA;NA;"4700";NA;NA;NA
"1987-06-30";"802000";NA;NA;NA;"11100";NA;NA;NA;"13100";NA;NA;NA
"1987-07-08";"6600";NA;NA;NA;"127200";NA;NA;NA;"30800";NA;NA;NA
"1987-07-15";"7007000";NA;NA;NA;"47800";NA;NA;NA;"63600";"10200";NA;NA
"1987-07-20";"14200";NA;NA;NA;"11600";NA;NA;NA;"3400";"71000";NA;NA
"1987-08-04";"75100";NA;NA;NA;"24000";NA;NA;NA;"15600";"13000";NA;NA
"1987-08-10";"2700";NA;NA;NA;"41000";NA;NA;NA;"20700";"2500";NA;NA
"1987-08-17";"844600";NA;NA;NA;"2000";NA;NA;NA;"1205100";"944500";NA;NA
"1987-08-26";"954800";NA;NA;NA;"1500";NA;NA;NA;"180100";NA;NA;NA
"1987-09-29";"551800";NA;NA;NA;"1700";NA;NA;NA;"8800";NA;NA;NA
"1987-10-06";"1200";NA;NA;NA;"1000";NA;NA;NA;"2000";"700";NA;NA
"1987-10-13";"1500";NA;NA;NA;"2400";NA;NA;NA;"2400";"1400";NA;NA
"1987-10-19";"3000";NA;NA;NA;"12000";NA;NA;NA;"1500";"82600";NA;NA
"1987-10-26";"53600";NA;NA;NA;"8400";NA;NA;NA;"2200";"18400";NA;NA
"1987-11-17";"10200";NA;NA;NA;"3200";NA;NA;NA;"3900";"200";NA;NA
"1987-11-24";"19000";NA;NA;NA;"8000";NA;NA;NA;NA;NA;NA;NA
"1987-11-30";"15000";NA;NA;NA;"17800";NA;NA;NA;"2200";"500";NA;NA
"1987-12-07";"5000";NA;NA;NA;"2800";NA;NA;NA;"1900";"400";NA;NA
"1987-12-14";"5600";NA;NA;NA;"11800";NA;NA;NA;"200";NA;NA;NA
"1987-12-21";"11800";NA;NA;NA;"2600";NA;NA;NA;"4800";"100";NA;NA
"1987-12-28";"70200";NA;NA;NA;"18600";NA;NA;NA;"6000";"100";NA;NA
"1988-01-11";"24700";NA;NA;NA;"8300";NA;NA;NA;"24300";NA;NA;NA
"1988-01-26";"300";NA;NA;NA;"8600";NA;NA;NA;"5500";NA;NA;NA
"1988-02-08";"600";NA;NA;NA;"2300";NA;NA;NA;"4000";NA;NA;NA
"1988-02-19";"15600";NA;NA;NA;"9500";NA;NA;NA;"24400";"800";NA;NA
"1988-06-14";"10200";NA;NA;NA;"16400";NA;NA;NA;"24300";"400";NA;NA
"1988-06-22";"2600";NA;NA;NA;"13900";NA;NA;NA;"32300";"400";NA;NA
"1988-06-27";"20600";NA;NA;NA;"5400";NA;NA;NA;"31600";"4000";NA;NA
"1988-07-19";"192500";NA;NA;NA;"3200";NA;NA;NA;"36000";"11600";NA;NA
"1988-08-02";"95600";NA;NA;NA;"5000";NA;NA;NA;"87400";"600";NA;NA
"1988-08-16";"14400";NA;NA;NA;"9800";NA;NA;NA;"91100";NA;NA;NA
"1988-09-12";"9200";NA;NA;NA;"4600";NA;NA;NA;"12700";"600";NA;NA
"1988-09-26";"13100";NA;NA;NA;"36200";NA;NA;NA;"36100";NA;NA;NA
"1988-10-13";"2800";NA;NA;NA;"4000";NA;NA;NA;"73400";NA;NA;NA
"1988-10-25";"1200";NA;NA;NA;"19200";NA;NA;NA;"34800";"400";NA;NA
"1988-11-07";"2800";NA;NA;NA;"7000";NA;NA;NA;"1300";NA;NA;NA
"1988-11-21";"2000";NA;NA;NA;"44600";NA;NA;NA;"2500";NA;NA;NA
"1988-11-28";"4900";NA;NA;NA;"8000";NA;NA;NA;"14600";NA;NA;NA
"1989-01-16";"2800";NA;NA;NA;"23400";NA;NA;NA;"332300";NA;NA;NA
"1989-01-30";"9000";NA;NA;NA;"16200";NA;NA;NA;"68600";NA;NA;NA
"1989-02-06";"32400";NA;NA;NA;"15400";NA;NA;NA;"186900";NA;NA;NA
"1989-02-17";"20600";NA;NA;NA;"24200";NA;NA;NA;"75000";NA;NA;NA
"1989-02-20";"3300";NA;NA;NA;"29100";NA;NA;NA;"44900";NA;NA;NA
"1989-02-27";"15800";NA;NA;NA;"36400";NA;NA;NA;"82800";NA;NA;NA
"1989-03-06";"3400";NA;NA;NA;"41800";NA;NA;NA;"54700";NA;NA;NA
"1989-03-13";"16400";NA;NA;NA;"18000";NA;NA;NA;"51584";NA;NA;NA
"1989-03-20";"10700";NA;NA;NA;"16100";NA;NA;NA;"109300";NA;NA;NA
"1989-04-11";"46000";NA;NA;NA;"17200";NA;NA;NA;"106800";NA;NA;NA
"1989-04-17";"67200";NA;NA;NA;"18700";NA;NA;NA;"146900";NA;NA;NA
"1989-05-10";"164400";NA;NA;NA;"111700";NA;NA;NA;"331900";NA;NA;NA
"1989-05-25";"1200";NA;NA;NA;"40200";NA;NA;NA;"119800";NA;NA;NA
"1989-08-28";"4000";NA;NA;NA;"22000";NA;NA;NA;"57400";NA;NA;NA
"1989-09-18";"800";NA;NA;NA;"21200";NA;NA;NA;"4000";NA;NA;NA
"1989-10-13";"7400";NA;NA;NA;"111400";NA;NA;NA;"57200";NA;NA;NA
"1989-10-26";"15600";NA;NA;NA;"13000";NA;NA;NA;"55600";"2400";NA;NA
"1989-11-13";"13600";NA;NA;NA;"12800";NA;NA;NA;"59000";"8800";NA;NA
"1989-12-04";"800";NA;NA;NA;"22400";NA;NA;NA;"38400";"400";NA;NA
"1990-01-04";"2600";NA;NA;NA;"12000";NA;NA;NA;"23200";"1800";NA;NA
"1990-01-22";"65800";NA;NA;NA;"25600";NA;NA;NA;"102000";"3600";NA;NA
"1990-02-26";NA;NA;NA;NA;"8800";NA;NA;NA;"22200";NA;NA;NA
"1990-03-16";"14600";NA;NA;NA;"20200";NA;NA;NA;"88200";"2200";NA;NA
"1990-04-09";"38800";NA;NA;NA;"24000";NA;NA;NA;"67800";"1600";NA;NA
"1990-05-03";"2000";NA;NA;NA;"11800";NA;NA;NA;"21800";"800";NA;NA
"1990-05-07";"3400";NA;NA;NA;"10300";NA;NA;NA;"15500";"2400";NA;NA
"1990-05-20";"59000";NA;NA;NA;"39400";NA;NA;NA;"104000";"2800";NA;NA
"1990-07-02";"586800";NA;NA;NA;"23400";NA;NA;NA;"80800";"4800";NA;NA
"1990-07-25";"600";NA;NA;NA;"11200";NA;NA;NA;"11000";"1400";NA;NA
"1990-08-06";"1658800";NA;NA;NA;"13800";NA;NA;NA;"43500";"600";NA;NA
"1990-08-20";"4000";NA;NA;NA;"9600";NA;NA;NA;"10500";NA;NA;NA
"1990-09-03";"3000";NA;NA;NA;"6800";NA;NA;NA;"16400";NA;NA;NA
"1990-09-18";"5800";NA;NA;NA;"16600";NA;NA;NA;"31600";"7600";NA;NA
"1990-10-18";"15000";NA;NA;NA;"12000";NA;NA;NA;"9300";"1000";NA;NA
"1990-11-05";"2400";NA;NA;NA;"11000";NA;NA;NA;"2000";"600";NA;NA
"1990-12-03";"2200";NA;NA;NA;"16600";NA;NA;NA;"1800";NA;NA;NA
"1990-12-13";"400";NA;NA;NA;"6000";NA;NA;NA;"6200";"200";NA;NA
"1991-01-04";"45000";NA;NA;NA;"22200";NA;NA;NA;"2800";"4400";NA;NA
"1991-02-04";"9400";NA;NA;NA;"60000";NA;NA;NA;"1000";NA;NA;NA
"1991-03-04";"28200";NA;NA;NA;"42200";NA;NA;NA;"12000";"9400";NA;NA
"1991-04-02";"1200";NA;NA;NA;"21000";NA;NA;NA;"5500";NA;NA;NA
"1991-05-03";"5200";NA;NA;NA;"123000";NA;NA;NA;"17800";"15600";NA;NA
"1991-05-24";"24600";NA;NA;NA;"534200";NA;NA;NA;"28000";NA;NA;NA
"1991-06-07";"2400";NA;NA;NA;"40000";NA;NA;NA;"8800";"1600";NA;NA
"1991-06-17";"12600";NA;NA;NA;"91100";NA;NA;NA;"8800";"2600";NA;NA
"1991-07-05";"267600";NA;NA;NA;"205300";NA;NA;NA;"8500";NA;NA;NA
"1991-07-19";"55200";NA;NA;NA;"17400";NA;NA;NA;"124800";"2600";NA;"400"
"1991-08-02";"32400";NA;NA;NA;"31200";NA;NA;NA;"10200";NA;NA;NA
"1991-09-05";"46800";NA;NA;NA;"37600";NA;NA;NA;"18400";"400";NA;NA
"1991-09-23";"6200";NA;NA;NA;"79200";NA;NA;NA;"95300";"1200";NA;NA
"1991-10-01";"4600";NA;NA;NA;"72600";NA;NA;NA;"5000";NA;NA;NA
"1991-10-15";"5000";NA;NA;NA;"26400";NA;NA;NA;"2600";"1600";NA;NA
"1991-11-04";"1000";NA;NA;NA;"16800";NA;NA;NA;"2800";"600";NA;NA
"1991-11-18";"4600";NA;NA;NA;"15800";NA;NA;NA;"1200";"3400";NA;NA
"1991-12-02";"2400";NA;NA;NA;"22000";NA;NA;NA;NA;NA;NA;NA
"1992-01-03";"2800";NA;NA;NA;"21000";NA;NA;NA;"600";"400";NA;NA
"1992-01-17";"11500";NA;NA;NA;"5200";NA;NA;NA;"500";"7200";NA;NA
"1992-02-06";"4200";NA;NA;NA;"13100";NA;NA;NA;"300";"195800";NA;NA
"1992-02-18";"7000";NA;NA;NA;"21400";NA;NA;NA;"400";NA;NA;NA
"1992-03-02";"341800";NA;NA;NA;"34700";NA;NA;NA;"14300";"1000";NA;"1500"
"1992-03-20";"301200";NA;NA;NA;"172600";NA;NA;NA;"1200";"32600";NA;NA
"1992-04-01";"71000";NA;NA;NA;"54600";NA;NA;NA;"600";NA;NA;NA
"1992-04-22";"69400";NA;NA;NA;"39700";NA;NA;NA;"500";NA;NA;NA
"1992-05-04";"9900";NA;NA;NA;"10300";NA;NA;NA;"200";NA;NA;NA
"1992-05-19";"82400";NA;NA;NA;"10800";NA;NA;NA;"11200";NA;NA;NA
"1992-06-01";"1597600";NA;NA;NA;"146000";NA;NA;NA;"5300";"3200";NA;NA
"1992-06-15";"1079200";NA;NA;NA;"5400";NA;NA;NA;"1800";NA;NA;NA
