"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1989-01-09";"4000";NA;NA;NA;"4300";NA;NA;NA;"200";NA;NA;"400"
"1989-02-06";"10500";NA;NA;NA;"4700";NA;NA;NA;"100";"100";NA;"1300"
"1989-03-06";"16900";NA;NA;NA;"4100";NA;NA;NA;"300";NA;NA;"700"
"1989-04-10";"102200";NA;NA;NA;"20700";NA;NA;NA;"3500";"500";NA;"3300"
"1989-04-20";"26600";NA;NA;NA;"21000";NA;NA;NA;"5300";"500";NA;"8500"
"1989-05-09";"679400";NA;NA;NA;"206300";NA;NA;NA;"10500";"200";NA;"7800"
"1989-05-16";"331600";NA;NA;NA;"369400";NA;NA;NA;"28600";"1300";NA;"26700"
"1989-05-29";"108300";NA;NA;NA;"19800";NA;NA;NA;"133400";"7800";NA;"74900"
"1989-06-12";"163000";NA;NA;NA;"23700";NA;NA;NA;"16900";"3300";NA;"6800"
"1989-06-26";"8900";NA;NA;NA;"12800";NA;NA;NA;"61600";NA;NA;"9800"
"1989-07-10";"10400";NA;NA;NA;"36900";NA;NA;NA;"39600";"5100";NA;"17300"
"1989-07-24";"68500";NA;NA;NA;"22200";NA;NA;NA;"656500";"3000";NA;"18300"
"1989-08-07";"17400";NA;NA;NA;"53200";NA;NA;NA;"947300";"700";NA;"6200"
"1989-08-21";"3500";NA;NA;NA;"198500";NA;NA;NA;"883800";"2100";NA;"2200"
"1989-09-04";"8900";NA;NA;NA;"30300";NA;NA;NA;"70200";"3600";NA;"7500"
"1989-09-18";"103000";NA;NA;NA;"30400";NA;NA;NA;"53700";"1000";NA;"1500"
"1989-10-02";"9100";NA;NA;NA;"5900";NA;NA;NA;"1500";NA;NA;"100"
"1989-10-16";"31200";NA;NA;NA;"26400";NA;NA;NA;"5000";"100";NA;"3100"
"1989-10-30";"8600";NA;NA;NA;"8400";NA;NA;NA;"200";NA;NA;"900"
"1989-11-13";"15200";NA;NA;NA;"23300";NA;NA;NA;"2500";"300";NA;"3700"
"1989-11-27";"7100";NA;NA;NA;"13300";"100";NA;NA;"1500";"100";NA;"2800"
"1989-12-18";"62500";NA;NA;NA;"11300";NA;NA;NA;"500";NA;NA;"5000"
"1989-12-27";"17200";NA;NA;NA;"16900";NA;NA;NA;"500";NA;NA;"10100"
"1990-01-15";"9200";NA;NA;NA;"7300";NA;NA;NA;"900";NA;NA;"700"
"1990-01-29";"25600";NA;NA;NA;"16100";NA;NA;NA;"900";"200";NA;"4300"
"1990-02-12";"10000";NA;NA;NA;"3300";NA;NA;NA;NA;NA;NA;"800"
