"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1987-04-06";"249500";NA;NA;NA;"14200";NA;NA;NA;"1400";"300";NA;"100"
"1987-05-21";"93500";NA;NA;NA;"23500";NA;NA;NA;"2900";"700";NA;NA
"1987-06-01";"26500";NA;NA;NA;"4800";NA;NA;NA;"2500";NA;NA;"100"
"1987-06-09";NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA
"1987-06-19";"44200";NA;NA;NA;"9000";NA;NA;NA;"300";NA;NA;"500"
"1987-07-09";"6400";NA;NA;NA;"5600";NA;NA;NA;"1100";NA;NA;NA
"1987-07-16";"1700";NA;NA;NA;"3000";NA;NA;NA;"1500";NA;NA;NA
"1987-07-23";"4600";NA;NA;NA;"700";NA;NA;NA;"300";NA;NA;NA
"1987-07-27";"5300";NA;NA;NA;"1500";NA;NA;NA;"600";NA;NA;NA
"1987-08-06";"3700";NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA
"1987-08-13";"4900";NA;NA;NA;"2300";NA;NA;NA;NA;NA;NA;NA
"1987-08-20";"6100";NA;NA;NA;"1600";NA;NA;NA;NA;NA;NA;NA
"1987-08-27";"5600";NA;NA;NA;"1300";NA;NA;NA;"2000";NA;NA;NA
"1987-09-03";"4500";NA;NA;NA;"1500";NA;NA;NA;NA;NA;NA;NA
"1987-09-10";"6300";NA;NA;NA;"2500";NA;NA;NA;NA;NA;NA;NA
"1987-09-24";"2700";NA;NA;NA;"5300";NA;NA;NA;NA;NA;NA;NA
"1987-10-01";"500";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA
"1987-11-26";"3000";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-12-10";"900";NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA
"1988-01-14";"1000";NA;NA;NA;"600";NA;NA;NA;NA;NA;NA;NA
"1988-02-11";"2200";NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;NA
"1988-03-11";"10100";NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;NA
"1988-04-21";"16000";NA;NA;NA;"800";NA;NA;NA;"600";NA;NA;NA
"1988-05-05";"33400";NA;NA;NA;"9600";NA;NA;NA;NA;NA;NA;NA
"1988-05-19";"25500";NA;NA;NA;"15000";NA;NA;NA;NA;NA;NA;NA
"1988-06-02";"31300";NA;NA;NA;"4900";NA;NA;NA;NA;NA;NA;NA
