"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1987-08-31";"256000";NA;NA;NA;"31500";NA;NA;NA;"28300";NA;NA;"4700"
"1987-09-14";"45300";NA;NA;NA;"12400";NA;NA;NA;"2800";NA;NA;"4000"
"1987-10-28";"45500";NA;NA;NA;"5600";NA;NA;NA;"8400";"800";NA;"8200"
"1988-01-19";"10700";NA;NA;NA;"3100";NA;NA;NA;"300";NA;NA;NA
"1988-02-22";"9900";NA;NA;NA;"2200";NA;NA;NA;"5800";NA;NA;"800"
"1988-03-21";"294400";NA;NA;NA;"27000";NA;NA;NA;"8200";NA;NA;"8000"
"1988-04-12";"2530200";NA;NA;NA;"24400";NA;NA;NA;"2500";NA;NA;"400"
"1988-04-26";"538800";NA;NA;NA;"61000";NA;NA;NA;"4900";NA;NA;"200"
"1988-05-09";"116600";NA;NA;NA;"36000";NA;NA;NA;"13800";NA;NA;"2000"
"1988-06-13";"325800";NA;NA;NA;"4400";NA;NA;NA;"34500";NA;NA;"3600"
"1988-06-27";"1782700";NA;NA;NA;"1000";NA;NA;NA;"23000";NA;NA;"4300"
"1988-07-11";"551600";NA;NA;NA;"7600";NA;NA;NA;"194600";"1500";NA;"6500"
"1988-08-08";"2800";NA;NA;NA;NA;NA;NA;NA;"413300";NA;NA;NA
"1988-08-22";"2600";NA;NA;NA;"1300";NA;NA;NA;"974200";NA;NA;"1300"
"1988-09-05";"9400";NA;NA;NA;"2200";NA;NA;NA;"2521300";"1600";NA;"8000"
"1988-09-20";"552800";NA;NA;NA;"74600";NA;NA;NA;"36300";"400";NA;"16600"
"1988-10-04";"53500";NA;NA;NA;"2000";NA;NA;NA;"133900";"500";NA;"63500"
"1988-10-18";"20100";NA;NA;NA;"300";NA;NA;NA;"700";"900";NA;NA
"1988-11-07";"35000";NA;NA;NA;"700";NA;NA;NA;"11000";"200";"224200";"22400"
"1988-11-28";"57600";NA;NA;NA;"2600";NA;NA;NA;"2200";NA;NA;"2600"
"1988-12-08";"11000";NA;NA;NA;"700";NA;NA;NA;"1100";NA;NA;"100"
"1988-12-20";"2800";NA;NA;NA;"1200";NA;NA;NA;"7000";NA;NA;"3600"
"1989-01-10";"6800";NA;NA;NA;"2400";NA;NA;NA;"1600";NA;"2000";"5800"
"1989-01-23";"10600";NA;NA;NA;"3800";NA;NA;NA;"800";NA;NA;"1200"
"1989-02-07";"15000";NA;NA;NA;"1400";NA;NA;NA;"600";NA;NA;"3200"
"1989-02-21";"31200";NA;NA;NA;"5800";NA;NA;NA;"1400";NA;NA;"2200"
"1989-03-06";"50600";NA;NA;NA;"4600";NA;NA;NA;"600";NA;"4200";"13000"
"1989-03-23";"31000";NA;NA;NA;"2400";NA;NA;NA;"1300";NA;NA;"2100"
"1989-04-10";"401200";NA;NA;NA;"42400";NA;NA;NA;"5000";"200";NA;"8400"
"1989-04-11";"77200";NA;NA;NA;"15000";NA;NA;NA;"54700";"1600";NA;"33400"
"1989-04-24";"133400";NA;NA;NA;"18600";NA;NA;NA;"13200";NA;NA;"2100"
"1989-05-09";"1102800";NA;NA;NA;"261600";NA;NA;NA;"50900";NA;NA;"7200"
