"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1995-04-05";"1000";NA;NA;"1200";"6600";NA;NA;"800";"300";"3200";"15200";"144000";"68400"
"1995-04-19";NA;NA;NA;NA;"164400";NA;"3200";"6200";NA;"2600";"106800";"5800";"37400"
"1995-05-12";NA;NA;NA;NA;"16800";"1400";"10600";"1400";"3200";"3200";"51400";NA;"18200"
"1995-05-16";NA;NA;NA;NA;"18200";"200";NA;"200";"700";"600";"33800";NA;"12200"
"1995-06-15";"5200";"243800";NA;NA;"68600";"1600";"54800";"3400";"2300";"12600";"10600";"5200";"127200"
"1995-07-13";NA;"800";NA;NA;"1000";"500";"190000";"2400";NA;"9200";"2700";NA;"18800"
"1995-07-26";NA;"35000";NA;NA;"3200";"7600";"212200";"6200";"800";"2000";"900";NA;"173100"
"1995-08-07";NA;"23200";NA;NA;"17600";"600";"469400";"3400";"1000";NA;"700";NA;"68500"
"1995-08-21";NA;"194200";NA;NA;"7600";"4800";"263200";NA;"3400";"4600";"800";"136400";"311400"
"1995-08-28";NA;"13800";NA;NA;"3400";"100";"22200";NA;"1000";NA;NA;NA;"87300"
"1995-09-05";NA;"744800";NA;NA;"31000";"1000";"109000";"800";"1600";"7200";"900";"15000";"122000"
"1995-09-13";NA;"200";NA;NA;"4600";"400";"4400";"400";"300";NA;"200";NA;"26500"
"1995-10-11";NA;"400";NA;NA;"6200";"200";NA;"1600";"1800";"2400";NA;NA;"16500"
"1995-10-18";NA;"47800";NA;"4000";"40600";"1000";"20200";"7600";"2000";"1600";"1800";"800";"145400"
"1995-10-24";NA;"20200";NA;"600";"14400";"800";"13800";"1200";"600";"2200";"1000";"1200";"111700"
"1995-11-07";NA;"18000";NA;"1400";"12600";"1400";"2400";"2000";"100";"4800";"1100";"1200";"99800"
"1995-11-22";NA;"12800";NA;NA;"7000";"300";"1000";"3500";"100";"1400";"1100";NA;"41000"
"1995-12-05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"23904"
"1996-01-09";NA;NA;NA;NA;NA;NA;NA;"400";"100";"800";"100";NA;"20300"
"1996-01-22";NA;NA;NA;"400";NA;NA;"1200";NA;NA;NA;NA;NA;"16300"
"1996-02-13";NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;"17200"
"1996-03-18";NA;"2400";NA;NA;NA;"100";"1300";"800";"800";NA;NA;"17200";"24200"
"1996-03-28";"400";NA;NA;NA;NA;NA;NA;NA;"200";"400";"100";"26400";"15200"
"1996-04-15";"1600";"12000";NA;NA;"2800";"100";"400";"2800";"2600";"76400";"200";"149200";"41900"
"1996-05-03";"1600";NA;NA;NA;NA;NA;NA;"200";"400";NA;NA;"20400";"12500"
"1996-05-13";"8400";NA;NA;NA;NA;"400";NA;"3400";"5000";NA;"100";"19800";"56800"
"1996-05-22";NA;NA;NA;NA;NA;"800";NA;NA;"1500";"18000";NA;NA;"16000"
"1996-05-30";"24600";"200";NA;"10000";"200";"300";"17600";"1400";"1600";"81000";"20000";"3400";"16600"
"1996-06-03";NA;NA;NA;NA;NA;NA;NA;NA;"600";"28600";NA;NA;"5400"
"1996-06-10";"6000";"5200";NA;"5000";"600";"700";"26600";"3400";"2200";"11400";"12000";"7000";"84200"
"1996-06-18";NA;"1e+05";NA;"400";"7600";"800";"280000";"3400";"400";"59800";"67600";"2400";"55200"
"1996-06-26";NA;"40400";NA;NA;"8000";"600";"52200";"7400";"800";NA;"3400";NA;"86600"
"1996-07-23";NA;"429600";NA;NA;"32400";"200";"157600";NA;"2100";"18200";"3400";NA;"112300"
"1996-08-06";NA;"62000";NA;NA;"4200";"200";"382800";"3600";"2300";"14400";"2200";NA;"132700"
"1996-08-20";NA;"29200";NA;NA;"15000";"2000";"3800";"200";"1400";"2200";"700";NA;"98200"
"1996-09-06";NA;"78000";NA;"4000";"37600";"2400";"58800";"9200";"1700";"9600";"1400";NA;"333000"
"1996-09-12";NA;NA;NA;NA;NA;"1800";NA;NA;"1500";"600";NA;NA;"51700"
"1996-09-30";NA;"2200";NA;"2200";"7000";"900";"19400";"2400";"500";NA;"600";"800";"146700"
"1996-10-14";NA;"9600";NA;NA;"5600";NA;"28400";NA;"200";NA;"300";NA;"15200"
"1996-10-28";NA;NA;NA;NA;NA;NA;NA;"400";"200";NA;NA;NA;"19300"
"1996-11-12";NA;"800";NA;NA;"3200";NA;NA;"200";"200";NA;"100";"600";"14600"
"1996-11-26";NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;"800";"9900"
"1996-12-12";NA;NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;"6400"
"1997-01-22";NA;NA;NA;NA;"2000";NA;NA;NA;"100";NA;"200";NA;"13400"
"1997-02-11";NA;"2000";NA;NA;"100";"300";"1200";"2500";"100";"10600";NA;"2000";"15400"
"1997-02-24";NA;NA;NA;NA;NA;"200";"1000";"800";"100";"3400";NA;"7200";"17300"
"1997-03-07";"4000";NA;NA;NA;NA;"100";"600";"2600";"200";"1800";NA;"9600";"26200"
"1997-03-24";"4000";NA;NA;"1400";NA;"200";"800";"11200";"100";"12200";NA;"13000";"78100"
"1997-04-08";"6600";"14000";NA;NA;"5000";NA;"39400";"5000";"200";"73400";NA;NA;"36900"
"1997-04-22";"4800";"2800";NA;"1000";"9200";NA;"88400";"4000";NA;"8400";"7600";"26000";"30500"
"1997-05-14";NA;"1200";NA;"1000";"35200";NA;"1800";"1400";"900";"3600";"200";"2400";"158400"
"1997-05-21";NA;NA;NA;NA;NA;"2500";"800";"1400";"600";NA;NA;NA;"10000"
"1997-05-28";NA;"18200";NA;"2400";"5400";"1700";"200";"400";"1600";"1000";"600";"2400";"84800"
"1997-06-03";NA;"239300";"3e+05";"1000";"42400";"2400";"54000";"89800";"4600";"100400";"2000";"5600";"380000"
"1997-06-16";NA;"936800";NA;NA;"10000";"200";"53200";"4000";"2200";"35800";"800";"5000";"191500"
"1997-07-08";"6600";"32000";NA;"400";"74000";"200";"57400";"300";"400";"400";"200";NA;"45600"
"1997-07-15";NA;"255200";NA;NA;"400";"600";"426200";"200";"2300";"11600";"300";NA;"134400"
"1997-07-30";"1200";"4400";NA;"1600";"1000";"300";"32800";"6800";"700";"1400";NA;"2800";"208900"
"1997-08-13";NA;"5400";NA;NA;"2400";"900";"61000";"10400";"900";"1400";"200";"1200";"269800"
