"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1989-01-09";NA;NA;NA;NA;NA;NA;NA;"1000";NA;NA;NA;NA;"7900"
"1989-02-06";NA;NA;NA;"100";NA;NA;NA;"1200";NA;NA;NA;"7800";"7600"
"1989-03-06";"100";NA;NA;NA;NA;NA;"400";"900";NA;NA;"300";"11000";"9300"
"1989-04-10";NA;"78500";NA;"500";"4800";"500";"600";"2900";"1900";"1500";"700";"1000";"37300"
"1989-04-20";NA;"10100";NA;"500";"3300";"400";"2700";"3500";"1500";NA;"800";"600";"38500"
"1989-05-09";NA;"409500";NA;"200";"74500";"6100";"124800";"4000";"1400";"184400";"19000";NA;"80300"
"1989-05-16";NA;"252000";NA;"1300";"6500";"3200";"10300";"4100";"3000";"353000";"19100";"1000";"104100"
"1989-05-29";NA;"92000";NA;"7800";"4900";"6100";"4600";"5600";"800";"5400";"4700";NA;"212300"
"1989-06-12";NA;"42000";NA;"3300";"500";"7100";"12200";"4200";"100";"200";"99800";NA;"44300"
"1989-06-26";NA;"1900";NA;NA;"300";"2100";"1900";"500";"1300";NA;"200";NA;"84900"
"1989-07-10";NA;"5600";NA;"5100";NA;"24700";NA;"3900";"300";"900";NA;NA;"68800"
"1989-07-24";NA;"12500";NA;"3000";NA;"14200";"47600";"9500";"1700";NA;"5400";NA;"674600"
"1989-08-07";NA;"8600";NA;"700";NA;"4400";"300";"3600";"1900";NA;"4200";NA;"1001100"
"1989-08-21";NA;"100";NA;"2100";NA;"1100";"100";"185000";"300";NA;"400";NA;"901000"
"1989-09-04";NA;"4600";NA;"3600";NA;"4000";"1500";"6600";"4200";NA;"500";NA;"95500"
"1989-09-18";NA;"5900";NA;"1000";NA;"700";"78000";"18000";"700";NA;"2700";"4300";"78300"
"1989-10-02";NA;"2500";NA;NA;NA;"100";"3200";"3400";"500";NA;"1200";NA;"5700"
"1989-10-16";NA;"1600";NA;"100";NA;"3700";"12400";"800";"800";"8600";NA;"4200";"33600"
"1989-10-30";NA;NA;NA;NA;NA;"100";"2400";"900";NA;NA;"500";NA;"14200"
"1989-11-13";NA;"700";NA;"300";"100";"1000";"1500";"2100";NA;NA;"200";NA;"39100"
