"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1987-04-06";"2000";NA;NA;"300";NA;"400";NA;"6100";"100";NA;NA;"231500";"25100"
"1987-05-21";NA;"700";NA;"700";"6700";"400";"14700";"18400";NA;NA;"31600";"30000";"17400"
"1987-06-01";NA;NA;NA;NA;"1200";"700";NA;"3100";NA;NA;"14700";"4000";"10200"
"1987-06-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600"
"1987-06-19";NA;NA;NA;NA;NA;"100";"200";"2700";NA;NA;"4700";"2200";"44100"
"1987-07-09";NA;NA;NA;NA;NA;NA;"800";"1400";NA;NA;NA;NA;"10900"
"1987-07-16";NA;NA;NA;NA;NA;NA;"700";NA;NA;NA;NA;"300";"5200"
"1987-07-23";NA;NA;NA;NA;NA;NA;"500";"300";NA;NA;NA;"3500";"1300"
"1987-07-27";NA;NA;NA;NA;NA;NA;"2000";"600";NA;NA;NA;"600";"4200"
"1987-08-06";NA;NA;NA;NA;NA;NA;"500";NA;NA;NA;NA;"1900";"1400"
"1987-08-13";NA;NA;NA;NA;NA;NA;"1900";NA;NA;NA;NA;"1400";"3900"
"1987-08-20";NA;NA;NA;NA;NA;NA;"3800";NA;NA;NA;NA;"900";"3000"
"1987-08-27";NA;NA;NA;NA;NA;NA;"2200";NA;NA;NA;NA;"1300";"5400"
"1987-09-03";NA;NA;NA;NA;NA;NA;"1900";NA;NA;NA;NA;"1500";"2600"
"1987-09-10";NA;NA;NA;NA;NA;NA;"3400";NA;NA;NA;NA;"600";"4800"
"1987-09-24";NA;NA;NA;NA;NA;NA;"1400";NA;NA;NA;NA;NA;"6600"
"1987-10-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"700"
"1987-11-26";NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;"1800"
"1987-12-10";NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;"800"
"1988-01-14";NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;"1300"
"1988-02-11";NA;NA;NA;NA;NA;NA;"1100";NA;NA;NA;NA;NA;"1400"
"1988-03-11";NA;NA;NA;NA;NA;NA;"400";NA;NA;NA;NA;"500";"9500"
"1988-04-21";NA;NA;NA;NA;NA;NA;"900";NA;NA;NA;"1400";"11000";"4100"
"1988-05-05";NA;"100";NA;NA;NA;NA;"400";"7800";NA;NA;"5600";"13200";"15900"
"1988-05-19";NA;"600";NA;NA;NA;NA;NA;"13600";NA;NA;"3200";"9200";"13900"
"1988-06-02";NA;"300";NA;NA;NA;NA;"200";"1200";NA;NA;"4000";"1800";"28700"
"1988-06-16";NA;"500";NA;NA;NA;NA;"200";"8300";NA;NA;"4700";"26300";"9200"
"1988-06-30";NA;NA;NA;NA;NA;NA;"3200";NA;NA;NA;NA;"21600";"13400"
"1988-07-11";NA;NA;NA;NA;NA;NA;"4200";"6000";NA;NA;NA;"5200";"7500"
"1988-07-28";NA;"67500";NA;NA;NA;NA;"7800";NA;NA;NA;NA;"8400";"20400"
"1988-08-12";NA;"6700";NA;NA;NA;NA;NA;"5000";NA;NA;NA;"8300";"19400"
"1988-08-25";NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;"1000";"2000"
"1988-09-15";NA;NA;NA;NA;NA;NA;"3400";NA;NA;NA;NA;NA;"73500"
"1988-10-06";NA;NA;NA;NA;NA;NA;"900";NA;NA;NA;NA;NA;"3500"
"1988-10-20";NA;NA;NA;NA;NA;NA;"4600";NA;NA;NA;NA;NA;"6500"
