"Date";"AST";"CHA";"CRY";"EUG";"GUI";"GYM";"LEP";"NIT";"PRP";"PSE";"RHI";"SKE";"NEI"
"1987-08-18";NA;"195500";NA;NA;NA;NA;"5500";"1500";"500";NA;"2800";NA;"9700"
"1987-09-01";NA;"139200";NA;NA;"700";NA;"91100";NA;NA;"14700";"1400";NA;"55400"
"1987-09-14";NA;"33100";NA;NA;NA;"100";"1600";"200";NA;NA;"100";NA;"3400"
"1987-09-28";"1800";"85000";NA;NA;NA;NA;"800";"8300";NA;NA;"7900";NA;"8900"
"1987-10-22";NA;"2700";NA;NA;NA;"4300";"14400";"200";"600";NA;"1000";NA;"13600"
"1987-11-17";NA;"1900";NA;NA;NA;"3000";"1100";"2500";"700";NA;"900";NA;"22100"
"1987-12-22";NA;"300";NA;"800";NA;"1400";NA;"2600";"500";NA;"500";"3700";"12100"
"1988-01-19";NA;"4100";NA;"600";NA;"1700";NA;"2000";"2200";NA;"500";"5900";"14100"
"1988-02-11";"200";"1500";NA;"200";NA;"1000";NA;"3500";NA;NA;"400";NA;"24100"
"1988-03-24";NA;"43700";NA;"400";NA;"2600";"1300";"6300";"800";NA;"9700";"29100";"130500"
"1988-04-11";NA;"738600";NA;NA;NA;"2600";NA;"26300";"1800";NA;"35000";NA;"120200"
"1988-05-05";NA;"89000";NA;NA;NA;"1300";"17000";"74600";"1100";NA;"256600";NA;"14800"
"1988-05-17";NA;NA;NA;NA;NA;"3900";"1200";"2600";"600";NA;"3000";NA;"16100"
"1988-05-31";NA;"10600";NA;NA;NA;"2400";"500";"2300";"300";NA;"48900";NA;"8700"
"1988-06-14";NA;"68700";NA;NA;"600";"20000";"3300";"900";"2200";NA;"128700";NA;"61800"
"1988-06-27";NA;"57600";NA;NA;NA;"1400";NA;"4500";NA;NA;"1e+06";NA;"32700"
"1988-07-12";NA;"235000";NA;NA;NA;"3600";"19800";"16000";"8400";NA;"5100";NA;"69400"
"1988-07-26";NA;"13600";NA;NA;NA;"3300";"225300";"11300";"3500";NA;"106700";NA;"58700"
"1988-08-08";NA;"200";NA;NA;NA;"12700";"1600";"2500";"900";NA;"20100";NA;"13600"
"1988-08-24";NA;"3700";NA;NA;"600";"26600";NA;"600";NA;NA;"1600";NA;"199400"
"1988-09-14";NA;"4200";NA;NA;NA;"1600";"1600";"200";"400";NA;"400";NA;"60800"
"1988-10-03";NA;"11500";NA;NA;NA;NA;"13800";"2000";NA;NA;"6800";NA;"29100"
"1988-10-17";NA;"13000";NA;"20200";NA;"10400";NA;"31000";"1000";NA;"4600";"2400";"29200"
