"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1989-01-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1900";"1000";NA;"3600";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;"2100"
"1989-02-06";NA;NA;NA;NA;"400";NA;"100";NA;NA;NA;NA;"1900";"1200";NA;"1300";"800";NA;NA;"7800";NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2800"
"1989-03-06";"100";NA;NA;NA;"900";NA;"900";NA;NA;NA;"400";"1500";"900";NA;"1400";"500";NA;"300";"11000";"600";"800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"2700"
"1989-04-10";NA;"600";NA;"78500";"5300";NA;"700";NA;"4800";NA;"600";"3100";"2900";NA;NA;"500";"1500";"700";"1000";"7100";"12100";NA;NA;NA;NA;"500";"300";NA;NA;NA;"100";"1900";NA;NA;"300";"7700"
"1989-04-20";NA;NA;NA;"10100";"1900";NA;"200";NA;"3300";NA;"2700";"3200";"3500";NA;NA;"600";NA;"800";"600";"1000";"12500";NA;NA;"200";NA;"100";"100";NA;NA;NA;"200";"1500";"500";NA;"500";"18400"
"1989-05-09";NA;NA;"12000";"409500";"5700";NA;"200";"4000";"74500";"28100";"124800";"3000";"4000";NA;"400";"2400";"184400";"19000";NA;"500";"10200";NA;"100";"900";NA;"2800";"700";NA;NA;NA;"100";"1400";"500";NA;"100";"14900"
"1989-05-16";NA;NA;NA;"252000";"5900";NA;"1600";"8900";"6500";"21800";"10300";"1500";"4100";NA;NA;"1000";"353000";"19100";"1000";"3100";"7500";NA;"500";"800";NA;"1400";"1700";NA;"100";NA;"4700";"3000";"14300";NA;"100";"33700"
"1989-05-29";NA;NA;NA;"92000";"700";NA;NA;"1200";"4900";NA;"4600";"6700";"5600";NA;NA;"800";"5400";"4700";NA;NA;"400";"200";"900";"1300";"100";"2200";"6100";NA;"200";NA;"2200";"800";"115100";NA;NA;"88100"
"1989-06-12";NA;NA;"200";"42000";"3200";NA;NA;"1400";"500";"200";"12200";"7800";"3900";"200";"1200";"1300";"200";"99800";NA;"1400";"1800";NA;"100";"600";NA;"4200";NA;NA;NA;NA;"1900";"500";"5900";NA;NA;"23200"
"1989-06-26";NA;NA;NA;"1900";"4000";NA;NA;"300";"300";NA;"1900";"3300";"500";NA;NA;"200";NA;"200";NA;NA;"3800";"6000";"600";"400";NA;"1000";NA;NA;"100";NA;"2600";"1300";"47500";NA;NA;"17200"
