"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1987-04-06";"2000";"400";NA;NA;"2900";NA;"6600";NA;NA;NA;NA;"2700";"6100";NA;NA;"2800";NA;NA;"231500";"400";"300";NA;NA;NA;NA;"400";NA;NA;NA;NA;"100";"100";"600";NA;NA;"8600"
"1987-05-21";NA;NA;"6600";"700";"200";NA;"100";NA;"6700";NA;"14700";"3700";"18400";NA;NA;"1400";NA;"31600";"30000";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"500";NA;"100";NA;NA;"5700"
"1987-06-01";NA;NA;NA;NA;"300";NA;"100";NA;"1200";NA;NA;"400";"3000";NA;NA;"800";NA;"14700";"4000";NA;"100";NA;"400";NA;NA;"500";NA;NA;NA;NA;"300";NA;NA;NA;NA;"8100"
"1987-06-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"300"
"1987-06-19";NA;"600";"500";NA;"4400";NA;"100";NA;NA;NA;"200";"2200";"2200";NA;NA;"4000";NA;"4700";"2200";"100";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"100";NA;NA;NA;NA;"32600"
"1987-07-09";NA;NA;NA;NA;"2000";NA;"800";NA;NA;NA;"800";"100";"1400";NA;NA;"4000";NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1100";NA;NA;NA;NA;"2800"
"1987-07-16";NA;NA;NA;NA;"600";NA;NA;NA;NA;NA;"700";"100";NA;NA;NA;"2800";NA;NA;"300";NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1500";NA;NA;NA;NA;"100"
"1987-07-23";NA;NA;NA;NA;"400";NA;"100";NA;NA;NA;"500";"400";"300";NA;NA;NA;NA;NA;"3500";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"100"
"1987-07-27";NA;NA;NA;NA;"900";NA;NA;NA;NA;NA;"2000";"200";"600";NA;NA;"400";NA;NA;"600";NA;"300";NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;"1800"
"1987-08-06";NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;"500";NA;NA;NA;NA;"100";NA;NA;"1900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100"
"1987-08-13";NA;NA;NA;NA;"1100";NA;NA;NA;NA;NA;"1900";"100";NA;NA;NA;"2100";NA;NA;"1400";NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"500"
"1987-08-20";NA;NA;NA;NA;"1200";NA;"100";NA;NA;NA;"3800";"1100";NA;NA;NA;"500";NA;NA;"900";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100"
"1987-08-27";NA;NA;NA;NA;"1300";NA;"200";NA;NA;NA;"2200";"300";NA;NA;NA;"1000";NA;NA;"1300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;"1900";NA;NA;"600"
"1987-09-03";NA;NA;NA;NA;"800";NA;NA;NA;NA;NA;"1900";"700";NA;NA;NA;"700";NA;NA;"1500";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400"
"1987-09-10";NA;NA;NA;NA;"1100";NA;NA;NA;NA;NA;"3400";"1000";NA;NA;NA;"1500";NA;NA;"600";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200"
"1987-09-24";NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;"1400";NA;NA;NA;NA;"5300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100"
"1987-10-01";NA;NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"100"
"1987-11-26";NA;NA;NA;NA;"1200";NA;"100";NA;NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"500"
"1987-12-10";NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"500"
"1988-01-14";NA;NA;NA;NA;"500";NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;"500";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"300"
"1988-02-11";NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;"1100";NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"900"
"1988-03-11";NA;NA;NA;NA;"8700";NA;"100";NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;"500";NA;"300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400"
"1988-04-21";NA;NA;NA;NA;"1000";NA;"200";NA;NA;NA;"900";NA;NA;NA;NA;"600";NA;"1400";"11000";"900";"200";NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;NA;"600"
"1988-05-05";NA;NA;NA;"100";"200";NA;"100";NA;NA;"7700";"400";NA;"7800";NA;NA;"1000";NA;"5600";"13200";"1600";"800";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"4500"
"1988-05-19";NA;NA;NA;"600";"1500";NA;"700";NA;NA;"2800";NA;NA;"13600";NA;NA;"300";NA;"3200";"9200";"1200";"1100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"6300"
"1988-06-02";NA;NA;NA;"300";"3100";NA;NA;NA;NA;"600";"200";NA;"1200";NA;NA;"3700";NA;"4000";"1800";"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"21200"
"1988-06-16";NA;"700";NA;"500";"1200";NA;NA;NA;NA;"1400";"200";NA;"8300";NA;NA;"500";NA;"4700";"26300";NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;"1800";NA;NA;NA;NA;"3200"
"1988-06-30";NA;NA;NA;NA;"1800";NA;NA;NA;NA;NA;"3200";"800";NA;NA;NA;"2000";NA;NA;"21600";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;"1600";NA;NA;NA;NA;"7000"
