"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1987-08-18";NA;NA;NA;"195500";"200";NA;NA;NA;NA;NA;"5500";"200";"1500";NA;NA;"500";NA;"2800";NA;NA;"800";NA;"400";NA;NA;"1300";NA;NA;NA;NA;"400";"500";NA;NA;NA;"5900"
"1987-09-01";NA;NA;NA;"139200";"300";NA;"100";NA;"700";NA;"91100";NA;NA;NA;NA;NA;"14700";"1400";NA;NA;"52800";NA;"100";NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"2000"
"1987-09-14";NA;NA;NA;"33100";"2000";NA;NA;NA;NA;NA;"1600";"700";"200";NA;NA;"100";NA;"100";NA;"200";"100";NA;NA;NA;NA;"100";NA;NA;NA;NA;"100";NA;NA;NA;NA;"200"
"1987-09-28";"1800";"600";NA;"85000";"2700";NA;NA;NA;NA;NA;"800";"600";"8300";NA;NA;"900";NA;"7900";NA;NA;NA;NA;NA;NA;"200";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;"3800"
"1987-10-22";NA;"900";NA;"2700";"1600";NA;NA;NA;NA;NA;"14400";NA;"200";NA;NA;"300";NA;"1000";NA;NA;"800";NA;"200";NA;NA;"5800";NA;NA;NA;NA;"500";"600";NA;NA;NA;"7800"
"1987-11-17";NA;"3400";NA;"1900";"2300";NA;"100";NA;NA;"100";"1100";"300";"2500";NA;NA;"100";NA;"900";NA;"1800";NA;NA;NA;NA;NA;"4600";NA;NA;NA;NA;"100";"700";NA;NA;"300";"12000"
"1987-12-22";NA;NA;NA;"300";"800";NA;"200";NA;NA;NA;NA;"400";"2600";NA;NA;"300";NA;"500";"3700";"1700";NA;NA;NA;NA;NA;"1800";NA;NA;NA;NA;NA;"500";NA;NA;"600";"8500"
"1988-01-19";NA;NA;NA;"4100";NA;NA;"100";NA;NA;NA;NA;"300";"2000";NA;NA;"200";NA;"500";"5900";"500";"700";NA;NA;NA;NA;"2400";"600";NA;NA;NA;"100";"2200";"1000";NA;"300";"10200"
"1988-02-11";"200";NA;NA;"1500";NA;NA;NA;NA;NA;NA;NA;"1100";"3500";NA;NA;"500";NA;"400";NA;NA;"1300";NA;NA;NA;NA;"1100";"100";NA;NA;NA;NA;NA;"1400";NA;"100";"19700"
"1988-03-24";NA;"600";NA;"43700";"27000";NA;"22000";NA;NA;"13700";"1300";"1200";"6300";NA;NA;"800";NA;"9700";"29100";"50400";"3400";NA;NA;NA;NA;"2600";NA;NA;NA;NA;NA;"800";"1400";NA;"100";"10300"
"1988-04-11";NA;NA;NA;"738600";"15500";NA;"600";"400";NA;"5800";NA;NA;"26300";NA;NA;"200";NA;"35000";NA;"74300";"2300";NA;NA;NA;"200";"5100";"600";NA;NA;NA;"400";"1800";"2400";NA;"800";"14200"
"1988-05-05";NA;NA;NA;"89000";NA;NA;"200";"500";NA;NA;"17000";NA;"74600";NA;NA;"200";NA;"256600";NA;"2400";"5200";NA;NA;NA;"100";"1500";"200";NA;NA;NA;"400";"1100";"200";NA;"200";"5000"
"1988-05-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1200";"300";"2600";NA;NA;NA;NA;"3000";NA;NA;NA;NA;"1600";NA;"100";"5300";NA;NA;NA;NA;"2500";"600";"4000";NA;"200";"6000"
"1988-05-31";NA;NA;NA;"10600";"200";NA;NA;NA;NA;NA;"500";NA;"2300";NA;NA;"800";NA;"48900";NA;NA;NA;NA;"600";NA;NA;"1500";NA;NA;"200";"600";"800";"300";"300";NA;"200";"5900"
"1988-06-14";NA;NA;NA;"68700";"100";NA;NA;NA;"600";NA;"3300";NA;"900";NA;NA;NA;NA;"128700";NA;NA;NA;NA;"1200";NA;NA;"16300";NA;NA;"600";"2600";"1700";"2200";"900";NA;NA;"58400"
"1988-06-27";NA;NA;NA;"57600";"200";NA;NA;NA;NA;NA;NA;NA;"4500";NA;NA;"200";NA;"1e+06";NA;NA;NA;NA;"1200";NA;NA;"4800";NA;NA;"700";NA;"900";NA;"9900";NA;NA;"16200"
"1988-07-12";NA;NA;NA;"235000";"27000";NA;NA;NA;NA;"2400";"19800";NA;"16000";NA;NA;"800";NA;"5100";NA;"1400";NA;NA;"3400";NA;NA;"5400";"200";NA;NA;"200";"300";"8400";"6800";NA;NA;"25100"
"1988-07-26";NA;NA;NA;"13600";"19300";NA;NA;NA;NA;"1100";"225300";"500";"11300";NA;NA;"2000";NA;"106700";NA;"5500";NA;NA;"400";NA;NA;"14000";NA;NA;NA;NA;"100";"3500";"2300";NA;NA;"16800"
"1988-08-08";NA;"200";NA;"200";"2000";NA;NA;NA;NA;"200";"1600";"600";"2500";NA;NA;"1600";NA;"20100";NA;NA;NA;NA;NA;NA;NA;"12500";NA;NA;NA;NA;NA;"900";"500";NA;NA;"8700"
"1988-08-24";NA;"2500";"1900";"3700";"7200";NA;NA;NA;"600";NA;NA;NA;"600";NA;NA;"100";NA;"1600";NA;"700";NA;NA;"100";NA;NA;"26300";NA;NA;NA;NA;"400";NA;"3600";NA;"600";"182600"
"1988-09-14";NA;NA;NA;"4200";"200";NA;"200";NA;NA;NA;"1600";"600";"200";NA;NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;"52000";"1000";"1000";NA;NA;"200";"400";NA;NA;NA;"7200"
"1988-10-03";NA;NA;NA;"11500";"4900";NA;"600";NA;NA;NA;"13800";"300";"2000";NA;NA;"100";NA;"6800";NA;"1800";"400";NA;"200";NA;NA;"3100";NA;NA;NA;NA;NA;NA;"3500";NA;NA;"14200"
