"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1987-02-12";NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;"3100"
"1987-03-12";"100";"6400";NA;NA;NA;NA;NA;NA;NA;"300";NA;"7700"
"1987-04-16";"900";"51500";NA;"100";"100";"100";NA;"800";NA;"400";NA;"18900"
"1987-06-18";NA;"100";NA;NA;NA;"400";NA;NA;"300";"30000";NA;"1300"
"1987-07-02";"1700";"1000";NA;NA;"700";"500";NA;"200";"9000";"7000";NA;"10900"
"1987-07-15";NA;NA;NA;NA;NA;"200";NA;NA;NA;"100";NA;"2500"
"1987-07-28";"1500";NA;NA;NA;NA;NA;"1000";"1000";"900";NA;NA;"4500"
"1987-08-12";NA;NA;NA;"100";"400";"100";NA;NA;"1000";NA;NA;"7000"
"1987-08-27";"100";NA;NA;NA;"100";"100";NA;NA;"800";"1000";NA;"4100"
"1987-09-10";"1200";"800";"300";"14200";"18400";"3700";NA;"600";"3100";"5900";NA;"14000"
"1987-09-28";NA;NA;NA;NA;"80";"80";NA;"280";NA;"1600";NA;"3160"
"1987-10-12";NA;"600";NA;NA;NA;NA;NA;NA;NA;"120";NA;"2120"
"1987-11-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400"
"1987-12-07";"50";"50";NA;NA;NA;NA;NA;NA;NA;"200";NA;"1600"
"1988-02-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;"160";NA;"480"
"1988-03-08";NA;"1400";NA;NA;"560";NA;NA;NA;NA;"40";NA;"1040"
"1988-04-04";NA;"136000";NA;NA;NA;NA;NA;NA;NA;NA;NA;"4480"
"1988-04-26";NA;"28000";NA;NA;NA;NA;NA;"4000";NA;NA;NA;"1900"
"1988-05-09";NA;"2500";NA;NA;NA;NA;NA;NA;NA;"300";NA;"32900"
"1988-05-16";NA;"1900";NA;NA;"15100";NA;NA;"73500";NA;"2200";"500";"69800"
"1988-06-06";"600";NA;NA;"1000";"16500";"400";NA;"400";"1700";"2400";NA;"108400"
"1988-06-20";"38000";NA;NA;NA;"7200";"3000";NA;NA;"900";"900";NA;"237200"
"1988-07-11";"100";"500";NA;NA;"1200";"10100";NA;"500";"16100";"300";NA;"4300"
"1988-07-25";"1700";NA;NA;NA;NA;"3500";NA;NA;"11800";"600";NA;"2900"
"1988-08-09";"105500";NA;NA;NA;NA;"300";NA;NA;"3400";"2700";NA;"3800"
"1988-08-23";NA;NA;NA;"1000";NA;"800";NA;NA;"9000";"200";"1800";"590100"
"1988-09-06";"200";NA;NA;NA;NA;NA;NA;NA;"700";NA;NA;"11600"
"1988-09-19";"2300";"600";NA;"14400";"7600";"900";NA;NA;"1100";NA;"7900";"125600"
"1988-10-14";"100";NA;NA;NA;NA;NA;NA;NA;NA;"100";NA;"3800"
"1988-11-09";"40";NA;NA;NA;NA;"800";NA;"160";NA;NA;NA;"1640"
"1988-12-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"560"
"1989-02-07";NA;"13000";NA;"5500";NA;NA;NA;NA;NA;"400";NA;"4100"
"1989-02-21";"4200";"46000";NA;NA;NA;NA;NA;NA;NA;"200";NA;"5600"
"1989-03-08";NA;"3300";NA;"1000";NA;NA;NA;NA;NA;NA;NA;"5800"
"1989-03-21";NA;"48400";NA;"6800";NA;NA;NA;NA;NA;"400";NA;"2400"
"1989-04-03";NA;NA;NA;NA;NA;NA;NA;NA;NA;"200";NA;"5800"
"1989-04-10";NA;"1900";NA;"4600";NA;NA;NA;"800";NA;"700";NA;"10000"
"1989-04-24";NA;"3800";NA;"3000";"400";NA;NA;"6400";NA;"100";"2700";"18900"
"1989-05-09";"171700";NA;NA;NA;"2900";"300";NA;"1300";NA;"400";NA;"43600"
"1989-05-22";NA;NA;"400";"1000";"11800";"1600";NA;NA;"600";"5000";"1400";"136900"
"1989-06-07";"1300";"700";NA;NA;"8500";"5900";NA;NA;"1300";"700";"2200";"21900"
"1989-06-19";"10000";NA;"2300";NA;"10000";"500";NA;"400";"4000";"2200";"2300";"103900"
"1989-07-03";"5200";NA;"800";NA;"16000";"1600";NA;"1000";"11000";"5800";"7400";"31600"
"1989-07-17";"21000";"1000";"1000";"41000";NA;"3200";NA;"300";"105000";"3200";"7800";"6200"
"1989-07-31";"20100";NA;NA;NA;"1500";"1000";NA;NA;"400";"300";NA;"6700"
"1989-08-18";NA;NA;"400";"1000";"700";"200";NA;NA;"300";"1500";NA;"215700"
