"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1987-04-06";NA;"231500";"400";NA;"6100";"100";NA;"400";"100";"2800";"600";"23500"
"1987-05-21";"700";"30000";"400";"14700";"18400";NA;NA;"200";"500";"1400";"100";"54200"
"1987-06-01";NA;"4000";"700";NA;"3100";NA;NA;NA;"300";"800";NA;"25000"
"1987-06-09";NA;NA;NA;NA;NA;NA;NA;NA;"300";NA;NA;"300"
"1987-06-19";NA;"2200";"100";"200";"2700";NA;NA;"100";"100";"4000";NA;"44600"
"1987-07-09";NA;NA;NA;"800";"1400";NA;NA;NA;"1100";"4000";NA;"5800"
"1987-07-16";NA;"300";NA;"700";NA;NA;NA;NA;"1500";"2800";NA;"900"
"1987-07-23";NA;"3500";NA;"500";"300";NA;NA;NA;"300";NA;NA;"1000"
"1987-07-27";NA;"600";NA;"2000";"600";NA;NA;NA;"600";"400";NA;"3200"
"1987-08-06";NA;"1900";NA;"500";NA;NA;NA;NA;NA;"100";NA;"1300"
"1987-08-13";NA;"1400";NA;"1900";NA;NA;NA;NA;NA;"2100";NA;"1800"
"1987-08-20";NA;"900";NA;"3800";NA;NA;NA;NA;NA;"500";NA;"2500"
"1987-08-27";NA;"1300";NA;"2200";NA;NA;NA;NA;"100";"1000";"1900";"2400"
"1987-09-03";NA;"1500";NA;"1900";NA;NA;NA;NA;NA;"700";NA;"1900"
"1987-09-10";NA;"600";NA;"3400";NA;NA;NA;NA;NA;"1500";NA;"3300"
"1987-09-24";NA;NA;NA;"1400";NA;NA;NA;NA;NA;"5300";NA;"1300"
"1987-10-01";NA;NA;NA;NA;NA;NA;NA;"100";NA;"100";NA;"500"
"1987-11-26";NA;NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA;"1800"
"1987-12-10";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;"800"
"1988-01-14";NA;NA;NA;"300";NA;NA;NA;NA;NA;"500";NA;"800"
"1988-02-11";NA;NA;NA;"1100";NA;NA;NA;NA;NA;"300";NA;"1100"
"1988-03-11";NA;"500";NA;"400";NA;NA;NA;NA;NA;NA;NA;"9500"
"1988-04-21";NA;"11000";NA;"900";NA;NA;NA;"900";"600";"600";NA;"3400"
"1988-05-05";"100";"13200";NA;"400";"7800";NA;NA;"1600";NA;"1000";NA;"18900"
"1988-05-19";"600";"9200";NA;NA;"13600";NA;NA;"1200";NA;"300";NA;"15600"
"1988-06-02";"300";"1800";NA;"200";"1200";NA;NA;"100";NA;"3700";NA;"28900"
"1988-06-16";"500";"26300";NA;"200";"8300";NA;NA;NA;"1800";"500";NA;"11600"
"1988-06-30";NA;"21600";NA;"3200";NA;NA;NA;NA;"1600";"2000";NA;"9800"
"1988-07-11";NA;"5200";NA;"4200";"6000";NA;NA;"800";"1400";"300";NA;"5000"
"1988-07-28";"67500";"8400";NA;"7800";NA;NA;NA;NA;"9900";"2400";NA;"8100"
"1988-08-12";"6700";"8300";NA;NA;"5000";NA;NA;"3600";"8200";"700";NA;"6900"
"1988-08-25";NA;"1000";NA;"200";NA;NA;NA;NA;"1100";"200";NA;"700"
"1988-09-15";NA;NA;NA;"3400";NA;NA;NA;NA;"3500";"400";NA;"69600"
"1988-10-06";NA;NA;NA;"900";NA;NA;NA;NA;"1000";"300";NA;"2200"
"1988-10-20";NA;NA;NA;"4600";NA;NA;NA;NA;NA;"100";NA;"6400"
"1988-11-04";NA;NA;NA;"400";NA;NA;NA;NA;NA;NA;NA;"1500"
"1988-11-17";NA;"400";NA;"200";NA;NA;NA;NA;NA;"100";NA;"1200"
"1988-12-15";NA;"2400";NA;"1000";NA;NA;NA;NA;NA;NA;NA;"400"
"1989-01-05";NA;NA;NA;"16200";NA;NA;NA;NA;NA;"400";NA;"3300"
"1989-02-02";NA;"2900";NA;"2400";NA;NA;NA;NA;NA;"300";NA;"1900"
"1989-03-02";NA;"11400";NA;"1100";"5600";NA;NA;NA;NA;"200";NA;"2800"
"1989-03-16";NA;"12100";NA;"1800";"2100";NA;NA;"1700";NA;"100";NA;"7200"
"1989-04-13";NA;"2100";NA;"2600";NA;NA;NA;"12200";NA;"200";NA;"5700"
"1989-04-27";NA;"4300";NA;"1100";NA;NA;NA;"5100";NA;"400";NA;"6600"
"1989-05-11";"4900";"2900";NA;"5600";"2700";NA;NA;NA;NA;"900";NA;"6900"
"1989-05-25";NA;"3700";NA;"1500";"11900";NA;NA;NA;"600";"2900";NA;"5300"
"1989-06-15";NA;"4800";NA;"5900";"5600";NA;NA;"1400";NA;"2400";NA;"8600"
"1989-06-29";NA;"800";NA;"2500";"6000";NA;NA;NA;"200";"1500";NA;"10700"
"1989-07-13";NA;"3300";NA;"1800";"1100";NA;NA;"3700";NA;"100";NA;"3900"
"1989-07-27";NA;"1600";NA;"1800";"1000";NA;NA;NA;NA;"1800";NA;"5800"
"1989-08-11";NA;"3200";NA;"1000";"1900";NA;NA;"1600";NA;"200";NA;"1700"
"1989-08-25";NA;"2600";NA;"1100";NA;NA;NA;"1200";NA;NA;NA;"9800"
"1989-09-07";NA;"1100";NA;"300";"100";NA;NA;NA;NA;"1600";NA;"6700"
