"Date";"CHA";"SKE";"GYM";"LEP";"NIT";"PRP";"PSE";"THP";"PRO";"PLE";"SCR";"NEI"
"1987-08-18";"195500";NA;NA;"5500";"1500";"500";NA;NA;"400";"500";NA;"11600"
"1987-09-01";"139200";NA;NA;"91100";NA;NA;"14700";NA;"100";NA;NA;"57400"
"1987-09-14";"33100";NA;"100";"1600";"200";NA;NA;"200";"100";"100";NA;"3100"
"1987-09-28";"85000";NA;NA;"800";"8300";NA;NA;NA;"100";"900";NA;"17600"
"1987-10-22";"2700";NA;"4300";"14400";"200";"600";NA;NA;"500";"300";NA;"13800"
"1987-11-17";"1900";NA;"3000";"1100";"2500";"700";NA;"1800";"100";"100";NA;"21000"
"1987-12-22";"300";"3700";"1400";NA;"2600";"500";NA;"1700";NA;"300";NA;"11400"
"1988-01-19";"4100";"5900";"1700";NA;"2000";"2200";NA;"500";"100";"200";"1000";"13400"
"1988-02-11";"1500";NA;"1000";NA;"3500";NA;NA;NA;NA;"500";"1400";"23000"
"1988-03-24";"43700";"29100";"2600";"1300";"6300";"800";NA;"50400";NA;"800";"1400";"88000"
"1988-04-11";"738600";NA;"2600";NA;"26300";"1800";NA;"74300";"400";"200";"2400";"77900"
"1988-05-05";"89000";NA;"1300";"17000";"74600";"1100";NA;"2400";"400";"200";"200";"268200"
"1988-05-17";NA;NA;"3900";"1200";"2600";"600";NA;NA;"2500";NA;"4000";"12600"
"1988-05-31";"10600";NA;"2400";"500";"2300";"300";NA;NA;"800";"800";"300";"55700"
"1988-06-14";"68700";NA;"20000";"3300";"900";"2200";NA;NA;"1700";NA;"900";"188500"
"1988-06-27";"57600";NA;"1400";NA;"4500";NA;NA;NA;"900";"200";"9900";"1021700"
"1988-07-12";"235000";NA;"3600";"19800";"16000";"8400";NA;"1400";"300";"800";"6800";"65200"
"1988-07-26";"13600";NA;"3300";"225300";"11300";"3500";NA;"5500";"100";"2000";"2300";"155500"
"1988-08-08";"200";NA;"12700";"1600";"2500";"900";NA;NA;NA;"1600";"500";"31600"
"1988-08-24";"3700";NA;"26600";NA;"600";NA;NA;"700";"400";"100";"3600";"196800"
"1988-09-14";"4200";NA;"1600";"1600";"200";"400";NA;NA;"200";NA;NA;"61000"
"1988-10-03";"11500";NA;NA;"13800";"2000";NA;NA;"1800";NA;"100";"3500";"30500"
"1988-10-17";"13000";"2400";"10400";NA;"31000";"1000";NA;"1000";NA;NA;NA;"53000"
"1988-11-08";"14800";NA;NA;"1400";"1600";"1000";NA;"400";NA;NA;NA;"29600"
"1988-11-28";"200";NA;NA;NA;"1400";"800";NA;"400";NA;NA;NA;"33900"
"1988-12-09";"4600";"1200";NA;NA;"1600";"2600";NA;"400";NA;"100";NA;"53100"
"1988-12-22";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;"2000"
"1989-01-09";NA;NA;NA;NA;"800";"1500";NA;"2400";NA;NA;NA;"22900"
"1989-01-24";NA;NA;NA;NA;"900";"300";NA;"5000";NA;"100";NA;"17200"
"1989-02-10";"200";NA;NA;NA;"1000";"300";NA;"2800";NA;"200";NA;"16700"
"1989-02-21";"400";"900";NA;NA;"3700";NA;NA;"32100";"100";"100";NA;"17000"
"1989-03-09";"1600";"800";NA;NA;"2100";NA;NA;"16600";"100";"300";NA;"16600"
"1989-03-20";"300";"3600";NA;NA;"4600";NA;NA;"21100";NA;NA;NA;"16700"
"1989-04-12";"770000";NA;NA;NA;"6200";NA;NA;"6600";"200";"900";NA;"48500"
"1989-04-24";"54600";NA;NA;NA;"5300";NA;NA;NA;"300";NA;NA;"120000"
"1989-05-10";"1700000";NA;NA;NA;"1700000";NA;NA;"18800";"1200";NA;"2300";"775400"
"1989-05-22";"99000";NA;"2500";NA;"291000";NA;NA;"1600";"5400";NA;"400";"49000"
"1989-06-04";"130400";NA;NA;NA;"6800";"10000";NA;"200";"1200";"100";NA;"41800"
"1989-06-19";"77000";NA;"2100";NA;"1100";"61900";NA;NA;"700";"100";NA;"210200"
"1989-07-17";"84200";NA;"400";NA;"55200";NA;NA;"400";NA;NA;NA;"35700"
"1989-07-31";"642200";NA;"400";NA;"1500";"1500";NA;NA;"100";"100";NA;"40300"
"1989-08-17";"111600";NA;"400";NA;"30000";NA;NA;"800";NA;"100";NA;"84800"
"1989-08-29";"3e+05";NA;"500";"200";"9200";"600";NA;"500";NA;NA;NA;"143000"
"1989-09-13";"740000";NA;"1400";"25600";"84400";NA;NA;"200";NA;NA;NA;"79800"
"1989-09-25";"15000";"200";"1000";NA;"116000";NA;NA;"400";"100";"400";NA;"37600"
"1989-09-26";"75200";NA;"2300";NA;"1200";NA;NA;"1100";NA;NA;NA;"12300"
"1989-10-10";"50000";"7200";"1000";NA;"2100";NA;NA;"700";NA;"100";NA;"38100"
"1989-10-23";"9400";"9300";"400";NA;"4400";NA;NA;"500";NA;"100";NA;"16000"
"1989-11-07";"1000";"200";"300";NA;"700";"800";NA;"900";NA;NA;NA;"12600"
"1989-11-30";"3700";"1000";NA;NA;"3900";NA;NA;"5800";NA;NA;NA;"23900"
"1989-12-11";"4700";"1700";NA;NA;"600";NA;NA;"6000";NA;"100";NA;"21800"
"1989-12-28";"3800";"7400";"1200";NA;"4400";NA;NA;"3400";NA;"200";NA;"27800"
"1990-01-11";NA;"600";NA;NA;"5700";NA;NA;"3200";"300";"100";NA;"13200"
"1990-03-05";"700";"3100";NA;"1300";"6400";NA;NA;"1200";"1000";"200";NA;"9800"
"1990-03-21";"550000";"2200";"300";NA;"14400";NA;NA;"13100";"500";NA;NA;"16500"
"1990-04-02";"2900000";NA;"2100";NA;"9300";NA;NA;"3700";"1900";NA;NA;"65300"
"1990-04-17";"2400000";NA;"1500";NA;"98000";NA;NA;NA;"900";"600";NA;"4900"
"1990-05-02";"1300000";NA;NA;NA;"31600";NA;NA;"1000";"1300";NA;NA;"79200"
"1990-05-14";"13000";NA;"4000";"35500";"44600";NA;NA;NA;"2000";"100";NA;"30900"
"1990-06-05";"400";NA;"1300";NA;"200";NA;NA;NA;"1700";NA;NA;"18700"
"1990-06-18";"180000";NA;"2200";"5700";NA;"200";NA;NA;"800";"100";NA;"22300"
"1990-07-03";"180000";NA;"200";NA;NA;"300";NA;"1500";"100";NA;NA;"26700"
"1990-07-16";"120000";NA;"1700";NA;"8000";NA;NA;"4100";"200";"100";NA;"4600"
"1990-08-06";NA;NA;"2000";"3600";"100";NA;NA;NA;"100";NA;NA;"7300"
"1990-08-21";NA;NA;"600";NA;"200";"400";NA;NA;NA;NA;NA;"27400"
"1990-09-03";"21800";"100";"600";"3800";"49000";NA;NA;NA;NA;NA;NA;"26300"
"1990-09-17";"165000";"800";NA;"3800";"289000";NA;NA;NA;"100";"100";NA;"6300"
"1990-10-01";"1e+05";NA;"500";NA;"1000";NA;NA;NA;NA;NA;NA;"18200"
"1990-10-18";"19600";NA;"5400";NA;NA;"6200";NA;NA;NA;NA;"7200";"8800"
"1990-11-05";"2500";NA;"200";"4100";"1100";"300";NA;"2100";NA;NA;"100";"21100"
"1990-11-20";"1100";NA;"1500";NA;"1900";"600";NA;"400";NA;"600";"200";"14500"
"1990-12-04";"1500";NA;"500";NA;"700";"400";NA;NA;NA;NA;"500";"13400"
"1990-12-17";NA;NA;"100";NA;"100";"500";NA;"300";NA;NA;NA;"9100"
"1991-01-14";"2100";"200";NA;NA;"600";NA;NA;"800";NA;NA;NA;"17000"
"1991-01-30";"1200";"9400";NA;NA;"400";NA;NA;"2300";NA;NA;NA;"7400"
"1991-02-26";"4500";"4300";NA;"30500";"3500";NA;NA;"26100";"200";"100";NA;"74800"
"1991-03-18";"5000";"99600";NA;NA;"6000";NA;NA;"78400";"100";"700";NA;"12100"
"1991-04-09";"15600";NA;"1000";NA;"1600";NA;NA;"1300";"300";NA;NA;"49700"
"1991-04-23";"8e+05";NA;"2900";NA;NA;"200";NA;"6400";"200";NA;NA;"14500"
"1991-05-13";"100";NA;"900";NA;NA;NA;NA;NA;"300";NA;NA;"33100"
"1991-05-27";"3200";NA;"1200";NA;"2300";NA;NA;NA;NA;NA;NA;"169500"
"1991-06-10";"8800";NA;"900";"2700";"40000";"300";NA;NA;"400";NA;NA;"23500"
"1991-06-24";"84000";NA;"700";"2300";"39000";NA;NA;NA;"100";"300";NA;"401200"
"1991-07-09";"130000";NA;"1200";NA;"2300";NA;NA;NA;"300";NA;NA;"31200"
"1991-07-22";"1e+05";NA;"600";"10700";"7600";NA;NA;"500";NA;NA;NA;"16700"
