"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1991-10-07";NA;NA;NA;NA;NA;"200";NA;NA;"400";NA;NA;"1000";NA;NA;NA;"0";NA;"200";NA;NA;NA;NA;NA;NA;"1800";NA;NA;NA;NA;NA;"800";"800";NA;NA;"1400";NA;"1600";"1400";NA;NA;NA;NA;NA;NA;"400";NA;NA;"400";"3600";NA;NA;NA;NA;NA;"600";"1000";NA;"1800"
"1991-11-05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"800";NA;NA;NA;"0";NA;"400";"400";NA;NA;NA;"200";NA;NA;NA;NA;NA;NA;NA;NA;"2000";NA;NA;"7400";NA;"600";"2000";NA;NA;NA;NA;"200";NA;"400";NA;NA;NA;"1400";NA;NA;NA;NA;NA;"1200";NA;NA;"2600"
"1995-01-03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1800";NA;NA;"100";"0";"100";"100";NA;NA;NA;NA;NA;"800";"300";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400";"200";NA;"100";NA;"6200";"900";NA;NA;NA;NA;"100";"100";NA;NA;"300";NA;NA;"200";"500";NA;"500"
"1995-01-10";NA;NA;"200";NA;"100";NA;NA;NA;"800";NA;NA;"1000";NA;NA;NA;"0";"100";"100";"200";"200";NA;NA;NA;"600";"1100";NA;NA;NA;NA;NA;"800";"400";NA;NA;NA;NA;"1100";"500";NA;NA;NA;"4600";"4200";NA;NA;NA;NA;NA;NA;NA;NA;"300";"400";NA;"300";"1600";NA;"12400"
"1995-01-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"14600";NA;NA;"300";"0";NA;NA;NA;NA;NA;NA;"100";NA;"400";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"12400";"7200";NA;NA;NA;"14000";"18800";NA;"1200";NA;NA;NA;NA;NA;NA;NA;NA;NA;"400";"500";NA;"4100"
"1995-01-31";NA;NA;NA;NA;NA;NA;NA;NA;"400";NA;NA;"2000";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;NA;"1200";NA;NA;NA;NA;NA;"100";NA;NA;NA;NA;NA;"3900";"2200";NA;NA;NA;"7000";"5000";NA;"100";NA;NA;NA;"300";NA;NA;NA;NA;NA;NA;"300";NA;"300"
"1995-02-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"600";NA;NA;NA;"0";NA;"100";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"400";"100";NA;NA;NA;"4200";"2400";NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;"400";"400";NA;"1300"
"1995-03-16";NA;NA;"400";NA;NA;NA;NA;"100";"200";NA;NA;"3500";NA;NA;NA;"0";NA;"700";NA;NA;NA;NA;NA;"300";"500";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1800";"1000";NA;"100";NA;"2500";"4300";NA;"100";NA;NA;"100";"400";NA;"100";"400";"6900";NA;"200";"1700";NA;"900"
"1995-03-21";NA;"100";NA;NA;"400";NA;NA;NA;NA;NA;NA;"8800";NA;NA;NA;"0";NA;"1800";NA;NA;NA;NA;NA;NA;"300";NA;NA;NA;NA;NA;"300";"16600";NA;NA;NA;NA;"1000";"2000";NA;NA;NA;"1200";"3000";NA;"800";NA;NA;NA;NA;NA;"800";"200";"5600";NA;"1600";"1800";NA;"500"
"1995-03-30";NA;NA;"400";NA;"100";NA;NA;"3000";"2600";NA;NA;"5400";NA;"3600";NA;"0";"200";"6400";NA;"2000";NA;NA;NA;"7400";"100";NA;NA;NA;NA;NA;NA;"5400";NA;NA;"500";NA;"2000";NA;NA;"1000";NA;"19800";"1200";NA;"800";NA;NA;NA;NA;"4200";"86200";NA;"22000";NA;"4400";"2200";NA;"100"
