"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1987-02-12";NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;200;NA;NA;NA;0;NA;400;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;700;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA
"1987-03-12";NA;NA;NA;NA;3600;200;NA;NA;100;NA;NA;2300;NA;NA;NA;0;NA;NA;1400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;6400;NA;NA;NA;NA;100
"1987-04-16";NA;NA;NA;NA;2400;100;NA;NA;900;NA;NA;600;NA;NA;NA;0;NA;8000;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;100;NA;NA;500;NA;3000;100;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;100;NA;NA;NA;51500;NA;2600;800;NA;1300
"1987-06-18";NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;200;NA;NA;NA;NA;NA;NA;NA;30000;NA;NA;300;400;NA;NA;NA;100;NA;100;NA;NA;700
"1987-07-02";NA;NA;NA;NA;NA;300;NA;NA;1700;NA;NA;1400;NA;NA;NA;0;NA;100;NA;600;NA;NA;NA;NA;1000;NA;NA;NA;NA;NA;NA;NA;NA;300;400;NA;3300;700;NA;NA;NA;NA;NA;NA;7000;NA;NA;9000;500;NA;NA;NA;1000;NA;3200;200;NA;300
"1987-07-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;NA;100;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;200;NA;NA;NA;NA;NA;1300;NA;NA;100
"1987-07-28";NA;NA;NA;NA;NA;NA;NA;2000;1500;NA;NA;900;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;1000;NA;NA;NA;NA;NA;1000;NA;NA
"1987-08-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3300;NA;NA;NA;0;NA;100;200;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;100;NA;1800;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;100;NA;NA;NA;NA;NA;500;NA;NA;400
"1987-08-27";NA;NA;NA;NA;500;NA;NA;NA;100;NA;NA;1900;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;100;NA;NA;NA;NA;NA;NA;1000;NA;NA;800;100;NA;NA;NA;NA;NA;700;NA;NA;400
"1987-09-10";NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;4600;NA;NA;NA;900;NA;100;NA;1400;NA;NA;NA;NA;1200;NA;NA;NA;NA;NA;NA;14200;NA;NA;NA;NA;3100;18400;NA;NA;NA;NA;NA;NA;5900;NA;NA;3100;3700;NA;NA;NA;800;NA;400;600;NA;2600
"1987-09-28";NA;NA;NA;NA;NA;NA;NA;120;NA;NA;NA;1920;NA;120;NA;80;NA;40;NA;NA;NA;NA;NA;240;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;80;NA;NA;NA;NA;NA;NA;1600;NA;NA;NA;80;NA;400;NA;NA;NA;NA;280;NA;200
"1987-10-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;520;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;960;NA;360;NA;NA;NA;NA;NA;NA;NA;120;NA;NA;NA;NA;NA;NA;NA;600;NA;160;NA;NA;120
"1987-11-17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;160;NA;NA;40;0;NA;NA;NA;NA;NA;NA;NA;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;NA;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1987-12-07";NA;NA;NA;NA;50;NA;NA;NA;50;NA;NA;700;NA;NA;NA;0;NA;150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;250;NA;350;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;50;NA;NA;NA;NA;100
"1988-02-15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;NA;NA;NA;0;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;160;NA;NA;40;NA;NA;NA;NA;160;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-03-08";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;320;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;560;NA;NA;NA;NA;NA;NA;40;NA;NA;NA;NA;NA;NA;NA;1400;NA;640;NA;NA;40
"1988-04-04";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1240;NA;NA;NA;0;NA;2480;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1880;NA;320;160;NA;NA;NA;NA;NA;NA;440;NA;NA;NA;NA;NA;NA;NA;280000;NA;6000;360;NA;NA
"1988-04-26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2000;NA;NA;NA;100;NA;2100;NA;NA;NA;NA;NA;300;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;NA;NA;57000;NA;5300;5000;NA;1000
"1988-05-09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;NA;NA;NA;0;NA;300;NA;NA;NA;NA;NA;8500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;2500;NA;22500;NA;NA;200
"1988-05-16";NA;NA;15500;NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;NA;0;NA;500;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;NA;9700;15100;NA;NA;NA;NA;NA;NA;2200;NA;NA;NA;NA;NA;NA;500;1900;NA;40800;73500;NA;1100
"1988-06-06";NA;NA;500;NA;400;NA;NA;NA;600;NA;NA;400;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;1600;1000;NA;NA;NA;NA;15400;16500;NA;NA;NA;NA;NA;NA;2400;NA;NA;1700;400;NA;NA;NA;NA;NA;10400;400;NA;79200
"1988-06-20";NA;NA;NA;NA;200;100;NA;800;38000;NA;NA;500;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;500;7200;NA;NA;NA;NA;NA;NA;900;NA;NA;900;3000;NA;900;NA;NA;NA;1900;NA;NA;231500
"1988-07-11";NA;NA;NA;NA;100;700;NA;NA;100;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;600;1200;NA;NA;NA;NA;NA;NA;300;NA;NA;16100;10100;NA;NA;NA;500;NA;400;500;NA;500
"1988-07-25";NA;NA;600;NA;800;NA;NA;NA;1700;NA;NA;500;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;11800;3500;NA;NA;NA;NA;NA;NA;NA;NA;600
"1988-08-09";NA;NA;NA;NA;NA;NA;NA;2000;105500;NA;NA;300;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;2700;NA;NA;3400;300;NA;NA;NA;NA;NA;900;NA;NA;NA
"1988-08-23";NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;500;NA;NA;NA;1100;NA;NA;NA;NA;NA;NA;NA;NA;588000;NA;NA;NA;300;NA;NA;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;9000;800;NA;NA;1800;NA;NA;NA;NA;NA;100
"1988-09-06";NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;10600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;NA;400;NA;NA;NA
"1988-09-19";NA;NA;NA;NA;100;NA;NA;NA;2300;NA;NA;700;NA;NA;NA;0;NA;100;NA;2600;NA;NA;NA;NA;117600;NA;NA;NA;NA;NA;NA;14400;NA;NA;NA;NA;400;7600;NA;NA;NA;NA;NA;NA;NA;NA;NA;1100;900;NA;NA;7900;600;NA;3000;NA;NA;1100
"1988-10-14";NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;400;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;1100;NA;NA;2300
"1988-11-09";NA;NA;NA;NA;40;NA;NA;NA;40;NA;NA;240;NA;NA;NA;0;NA;40;NA;NA;NA;NA;NA;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;NA;NA;NA;400;160;NA;360
"1988-12-28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;160;NA;NA;NA;0;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120;NA;40;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200
