"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1987-08-31";NA;NA;NA;NA;NA;NA;NA;1000;62500;NA;NA;9000;NA;NA;NA;1300;NA;NA;NA;NA;NA;NA;NA;46000;7500;NA;NA;NA;NA;2500;NA;130500;NA;NA;NA;NA;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;NA;5500;3000;15600;NA;NA;24000;4000;NA;4700
"1987-09-14";NA;NA;NA;NA;NA;NA;NA;400;13600;100;NA;6800;NA;NA;NA;0;NA;600;NA;NA;NA;NA;NA;1400;700;NA;NA;NA;200;NA;2200;20000;200;NA;200;NA;300;NA;NA;NA;NA;NA;NA;NA;11400;NA;NA;700;NA;NA;100;900;NA;NA;400;NA;NA;4300
"1987-10-28";NA;NA;NA;NA;300;200;NA;NA;NA;NA;NA;3600;NA;NA;NA;200;NA;200;NA;800;NA;1000;NA;300;4600;NA;NA;NA;NA;NA;2800;28800;NA;NA;3800;NA;1400;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;400;1200;700;NA;4000;1800;NA;12000
"1988-01-19";NA;NA;NA;NA;100;NA;NA;NA;200;NA;NA;1600;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;5900;200;1900;100;NA;NA;NA;1900;NA;NA;NA;NA;NA;NA;100;NA;NA;200;400;NA;900;NA;NA;NA
"1988-02-22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;1900;NA;NA;NA;NA;1500;NA;1600;NA;NA;600;NA;800;1200;NA;200;NA;3400;NA;NA;200;NA;NA;NA;1600;NA;NA;400;2100;NA;NA;1400;NA;1200
"1988-03-21";NA;NA;1600;NA;NA;NA;NA;NA;1000;NA;NA;12800;NA;NA;NA;0;NA;8800;NA;NA;NA;NA;NA;2000;5400;NA;NA;NA;NA;NA;8800;1400;NA;NA;7200;NA;5600;8800;NA;NA;NA;NA;NA;2800;1600;NA;NA;NA;NA;NA;400;NA;217600;NA;9400;34400;NA;8000
"1988-04-12";NA;NA;NA;NA;4600;NA;NA;NA;2270000;NA;NA;8600;NA;NA;200;200;NA;600;NA;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;15200;12200;NA;NA;NA;NA;6000;16000;NA;NA;NA;NA;NA;1000;NA;NA;NA;NA;700;NA;NA;NA;NA;NA;2400;188000;NA;31200
"1988-04-26";NA;NA;NA;NA;NA;200;NA;3000;953400;NA;NA;7900;NA;NA;100;200;1000;3800;6500;1400;NA;NA;NA;59400;10400;NA;NA;NA;1800;1000;4600;70700;NA;NA;5600;NA;1000;53000;NA;NA;NA;NA;NA;5600;900;NA;NA;1000;300;23600;114000;4000;33900;NA;29900;92400;NA;231600
"1988-05-09";NA;NA;NA;NA;NA;NA;8600;NA;15000;NA;NA;NA;NA;NA;NA;900;200;NA;NA;NA;NA;NA;NA;NA;5800;NA;NA;NA;300;NA;NA;48200;NA;NA;NA;NA;NA;33200;3200;NA;NA;NA;NA;1400;NA;NA;NA;NA;200;NA;NA;1000;NA;NA;2800;NA;NA;47600
"1988-06-13";NA;NA;NA;NA;NA;NA;NA;NA;177200;NA;NA;1000;NA;NA;NA;4600;NA;NA;NA;NA;NA;NA;NA;200;8000;NA;NA;NA;200;NA;1600;NA;NA;NA;NA;NA;400;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;14200;3600;4000;NA;3000;NA;NA;NA;800;NA;149400
"1988-06-27";NA;NA;NA;NA;NA;1400;NA;NA;1560000;NA;NA;14300;NA;NA;1100;400;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;800;200;100;NA;NA;NA;NA;18000;NA;NA;NA;600;1300;NA;NA;NA;NA;NA;NA;NA;NA;211200
"1988-07-11";NA;NA;NA;NA;500;10500;NA;3500;464000;NA;NA;5600;NA;NA;NA;0;NA;NA;4000;1500;NA;NA;NA;NA;57000;NA;NA;NA;NA;5500;15500;42000;NA;NA;4500;NA;3600;4000;1500;NA;NA;NA;NA;NA;NA;NA;NA;71000;18100;NA;NA;24000;NA;NA;NA;7000;NA;18500
"1988-08-08";NA;NA;NA;NA;NA;NA;NA;NA;900;NA;NA;1900;NA;NA;NA;13300;NA;NA;NA;NA;NA;NA;NA;NA;351300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;46500;NA;NA;NA;2200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1988-08-22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;NA;NA;NA;2500;NA;NA;NA;NA;NA;NA;NA;NA;542400;NA;NA;NA;NA;NA;NA;1000;NA;NA;400;NA;1000;NA;NA;NA;NA;NA;NA;405000;300;NA;NA;24000;300;NA;NA;NA;NA;NA;NA;NA;NA;1300
"1988-09-05";NA;NA;NA;NA;1200;400;NA;NA;600;NA;NA;1200;NA;NA;NA;100;1400;200;NA;1600;NA;NA;NA;NA;2503200;NA;NA;NA;400;NA;NA;2000;NA;NA;2200;NA;1600;NA;NA;NA;NA;NA;NA;2800;600;NA;NA;5800;600;NA;NA;6000;NA;NA;NA;400;NA;10200
"1988-09-20";NA;NA;NA;NA;1300;NA;NA;NA;413500;NA;NA;9900;NA;NA;NA;1000;NA;1300;NA;400;NA;NA;NA;NA;6600;NA;NA;NA;NA;NA;8100;9900;NA;NA;NA;NA;1300;69300;NA;NA;NA;NA;NA;11700;1300;1300;NA;2700;6700;NA;1300;6300;81900;NA;2700;4000;NA;38200
"1988-10-04";NA;NA;NA;2500;11000;2500;NA;NA;10000;NA;NA;NA;NA;NA;NA;900;500;1000;NA;500;NA;400;NA;500;94500;NA;NA;NA;7500;NA;NA;25500;NA;NA;NA;NA;NA;1500;NA;NA;NA;NA;NA;NA;500;100;NA;NA;2000;NA;NA;22000;NA;NA;NA;2000;NA;68000
"1988-10-18";NA;NA;NA;NA;800;NA;NA;NA;6300;NA;NA;2100;NA;NA;NA;100;NA;100;NA;900;NA;NA;NA;NA;500;NA;NA;NA;NA;NA;NA;6500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;200;NA;4100
"1988-11-07";NA;NA;NA;NA;600;NA;NA;NA;2000;NA;NA;1200;224200;NA;NA;0;NA;400;NA;200;NA;NA;NA;NA;6600;NA;NA;NA;800;NA;NA;17000;NA;NA;1800;NA;200;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;3600;2600;NA;400;3000;NA;28800
"1988-11-28";NA;NA;NA;NA;NA;NA;NA;NA;11400;NA;NA;2800;NA;NA;NA;0;NA;400;1000;NA;NA;NA;200;400;400;NA;NA;NA;200;NA;4000;1600;NA;NA;13200;NA;800;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1600;1600;NA;1000;NA;NA;23800
"1988-12-08";NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;1100;NA;NA;NA;0;NA;100;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;4400;NA;NA;3700;NA;NA;NA;NA;NA;NA;NA;NA;1000;300;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;1700
"1988-12-20";NA;NA;NA;NA;200;200;NA;NA;200;NA;NA;1600;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;3800;NA;NA;NA;400;NA;NA;NA;NA;NA;800;NA;1000;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1800;NA;NA;400;NA;NA;NA;NA;NA;4000
"1989-01-10";NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;2200;2000;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;3000;NA;200;800;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;400;NA;NA;800;NA;NA;1400;NA;NA;6200
