"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1992-01-09";NA;NA;1200;NA;NA;NA;NA;NA;600;NA;NA;NA;NA;NA;100;0;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;800;NA;NA;200;NA;16000;NA;NA;200;NA;NA;100;100;NA;200;NA;1200;NA;1400;1000;NA;3000
"1992-02-05";NA;NA;2000;NA;NA;NA;NA;NA;2600;NA;NA;200;NA;NA;400;0;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;100;NA;600;NA;8000;3500;NA;NA;NA;NA;NA;200;NA;1100;NA;6500;NA;18000;9900;NA;1500
"1992-03-04";NA;NA;NA;NA;NA;NA;NA;800;1974000;NA;NA;200;NA;NA;1050;0;NA;300;10500;NA;NA;NA;NA;117850;3150;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1050;NA;NA;800;NA;NA;NA;NA;NA;NA;NA;NA;NA;36750;15400;NA;NA;NA;2100;1800;NA;1808450
"1992-03-18";NA;NA;NA;NA;NA;NA;NA;100;1796400;NA;NA;100;NA;NA;100;0;NA;NA;400;NA;NA;NA;NA;91450;6300;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1050;1050;NA;200;NA;4000;5250;NA;NA;NA;NA;100;1050;18900;5250;NA;NA;NA;2100;NA;NA;3717250
"1992-04-02";NA;NA;924;NA;NA;NA;NA;300;522150;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;1100;2310;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1000;NA;NA;NA;NA;NA;NA;924;11088;100;NA;NA;NA;NA;NA;NA;2048100
"1992-04-21";NA;NA;700;NA;300;NA;NA;300;26400;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;8300;3600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;300;NA;NA;NA;NA;3900;NA;NA;NA;NA;NA;NA;1600;37500;2900;NA;NA;NA;500;2600;NA;1500900
"1992-05-05";NA;NA;NA;NA;100;NA;NA;2100;35700;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;261100;4200;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;700;2800;NA;NA;NA;9100;NA;NA;300;NA;NA;NA;1400;20300;39200;NA;NA;NA;NA;1400;NA;846400
"1992-05-18";NA;NA;NA;NA;NA;NA;NA;200;NA;NA;NA;100;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;51800;15750;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;200;200;13650;110250;NA;NA;NA;NA;NA;NA;501300
"1992-06-04";NA;NA;14000;NA;600;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;60900;6300;NA;NA;NA;NA;NA;NA;7000;NA;NA;NA;NA;1400;6300;NA;NA;NA;22400;NA;NA;1400;NA;NA;100;NA;8400;25900;NA;NA;NA;NA;300;NA;103900
"1992-06-18";NA;NA;NA;NA;NA;NA;NA;4200;6250;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;288750;11000;NA;NA;NA;NA;NA;NA;23100;NA;NA;NA;NA;2100;NA;NA;NA;NA;4500;NA;NA;NA;NA;NA;300;NA;6300;2400;NA;60900;NA;NA;6300;NA;9450
