;Men Er Roue;Loscolo;Large Croisic;LEperon ;Cornard;Auger;Antoine;Lazaret;
BELLE ILE-LE TALUT;28.3436159063499;54.4560537532495;53.237525435072;189.187649387824;210.809481887182;226.644369539995;766.571946274596;854.908860910094;Pas de rayonnement du tout
LORIENT-LANN BIHOUE;35.9815989505692;75.427570514323;86.2676134671389;235.280914918513;258.376245342513;276.561326171548;808.473941317413;895.624155565418;Pas de rayonnement avant 2010
BIGNAN;47.5267345377347;49.469974491865;66.8457962606297;211.985650654499;236.734878099114;259.005740151096;773.40860188141;858.986380808537;Rayonnement s’arrête en 2005
PLOERMEL;69.7037276134958;55.7245112282531;72.7502318735595;206.288206611676;231.469230594094;255.534110721949;758.581179584538;843.257714785314;Complet
VANNES-SENE;29.5909438094932;20.9678266730722;36.9833256660373;185.957428715693;210.216265593991;231.238258371084;754.011608439428;840.589151912345;Pas de rayonnement avant 2008
ARZAL;53.6611595171481;13.237519333117;25.5780640604543;163.176701431586;187.92896424051;210.429202639611;727.797761341281;814.136556766654;Plus rien à partir de 2006
AURAY;16.6047971575197;39.5131351676212;52.691092244776;202.955150663472;226.783412786152;246.695247215607;773.297795768766;860.099023998853;Pas vent
SARZEAU SA;22.5036939172172;20.3821576202093;31.7055850716654;181.963116268656;205.767898301029;225.758963366325;753.156238761684;840.196974127152;Données très hâchées
NAIZIN-INRA;56.2395329162352;64.2866547624948;81.5421997400095;226.852816404482;251.636273301452;273.967922357703;786.834108632315;872.124674555213;Plus de vent à partir de 99
ST-JACUT-LES-PINS;68.3108705781814;35.067925197396;48.2596831116368;173.549648978776;198.72877981769;222.877969877909;729.182573937107;814.535995807896;(can’t find it on Données publiques.com)
CHASSIRON;209.4061975373;178.893307174321;162.867853317528;28.2751840317839;21.7240146607235;31.6589400932278;577.280975451187;667.297404792433;Pas de rayonnement
LA ROCHELLE-ILE DE RE;209.0910037341;175.330511531329;160.393091325057;10.8197220878413;14.4720219891873;42.0138903893097;569.924504739982;659.240220873908;Commenc en 2000 et rayonnement en 2008
NUAILLE SUR BOUTONNE;265.459610990961;228.219080843336;215.116014689073;70.0679674302001;56.2362056052684;66.6214610530384;508.977290499998;597.645328728985;Rayonnement s’arrête en 2003
ROYAN-AERODROME;266.790667630947;235.796062478679;220.01292818453;73.8911814799616;48.6419772751241;26.1856268581787;525.583088225329;616.338685460821;Complet
SAINTES;271.559726630844;237.460641873215;222.767133794399;72.5105024950438;49.4594760298949;43.2424734910577;510.423070788775;600.448824794677;Complet 
ST GERMAIN DE LUSIGNAN;309.295396502994;275.810816307533;260.913767340075;110.817856467377;86.8895514194151;72.7754796543485;477.830324922705;568.537879339693;Rayonnement s’arrête en 2003
CHATEAU DOLERON;235.38625694113;204.542264665969;188.66451533299;45.422940890276;22.1927621627221;6.90798867515211;553.485054772693;643.825577496242;Rayonnement s’rrête en 2006
LA ROCHELLE;212.993640724537;179.205616850558;164.287995836882;14.4797364309955;10.9787360096907;39.2794231799578;566.189548791175;655.548585305291;Incomplet
ST AGNANT;243.874053596275;211.037872363082;195.815689770245;46.780304561246;21.7648954189542;19.7832913905052;539.82482301062;629.841925326004;(can’t find it on Données publiques.com)
ST-LAURENT PREE-INRA;233.323875555422;199.97985241612;184.927685630539;35.3352529766337;10.9533809033004;25.0653777420022;548.181944712682;637.924623751108;Ni vent ni rayonnement
NANTES-BOUGUENAIS;120.134814910073;78.2094967721318;70.622549401393;101.732034117514;126.992739736299;153.125814283589;656.865809156136;743.145394353178;Rayonnement quotidien accessible à partir de 1985, le reste est OK (il ny’a pas le rayonnement horaire)
ST NAZAIRE-MONTOIR;75.0636822867176;33.1649047013531;27.2737676724876;135.304254874043;160.156518440061;183.14361465886;700.851780124638;787.532057625788;Pas de rayonnement
NORT-SUR-ERDRE;119.764746050097;77.4174389686129;76.891694477827;129.971195638975;154.942567052818;182.052847605572;670.268870045278;755.173500662101;Commence après 2000
GUERANDE;56.8899397901385;20.1319120982083;6.42731915985293;145.489211003579;169.584211021978;190.506321152076;716.529872676324;803.75840863999;(can’t find it on Données publiques.com)
