Croisic;Loscolo;Men er Roue;Cornard;LEperon ;Auger;Lazaret;Antoine
AST ?;CHA;CHA;AST ?;AST ?;AST ?;CHA;CHA
CHA;COS;COS;CHA;CHA;CHA;DAC ?;NAV ?
COS;DIT;DIT;DIT;COS;COS;LEP;NIT
DIT;GUI;GUI;GUI;DIT;DIT;NAV ?;PLE
GUI;LEP;LEP;LEP;GUI;GUI;NIT ?;PSE ?
LEP;NAV ?;NAV ?;NIT;LEP;LEP;PLE ?;SKE
NAV ?;NIT;NIT;PARs ?;NAV ?;NIT;PSE;THP
NIT;PARs ?;PLE;PLE;NIT;PARs ?;SKE;GYM ?
PARs ?;PLE;PSE;PSE;PARs ?;PLE;THL;PRO
PLE;PSE;RHI;RHI ?;PLE;PSE;GYM ?;PRP
PSE;RHI;SKE ?;SKE;PSE;RHI ?;PRO;SCR
RHI;SKE;THP;THP;RHI ?;SKE;PRP;NEI
SKE;THP;THL;THL ?;SKE;THP;SCR;
THP;THL;GYM;GYM ?;THP;THL ?;NEI;
THL;GYM;PRO;PRO;THL ?;GYM ?;;
GYM;PRO;PRP;PRP;GYM ?;PRO;;
PRO;PRP;SCR;SCR ?;PRO;PRP;;
PRP;SCR;NEI;NEI;PRP;SCR;;
SCR;NEI;;;SCR ?;NEI;;
NEI;;;;NEI;;;
