Lieu_libel;ID;ID2;Longitude;Latitude;Dép;Region
Men Er Roue;25049001;055-P-001;-3.093748;47.534765;56510;BZ
Loscolo;27057005;063-P-002;-2.538268;47.457596;56760;BZ
Croisic;28060043;062-P-031;-2.5141633556;47.2999935692;44490;BZ
LEperon ;30065002;076-P-002;-1.23785;46.2703;85460;MO
Cornard;31068003;079-P-026;-1.130607923;46.0551463;17340;MO
Auger;32071002;082-P-001;-1.20527;45.799805;17390;MO
Antoine;38094002;109-P-002;4.8457282509;43.378148429;13230;SU
Lazaret;40100001;112-P-001;5.9064212393;43.0873189621;83500;SU
Buoy 7;;087-P-008;-1.2637435339;44.5422774676;33000;AR
Teychan;;088-P-050;-1.158577776;44.6736148046;33000;AR
