Latitude;Longitude;ID;Nom
45.200000;-5.000000;62001;BOUEE_GASCOGNE
47.500000;-8.400000;62163;BOUEE_BRITTANY
37.500000;15.100000;BATFR01;
49.600000;-0.400000;BATFR03;
33.900000;130.800000;BATFR05;
38.799990;-9.800000;BATFR09;
-43.500000;-57.300000;BATFR10;
43.100000;9.699990;BATFR11;
16.899990;-85.500000;BATFR14;
21.200000;-56.200000;BATFR15;
17.399990;-59.800000;BATFR16;
13.200000;-46.300000;BATFR17;
27.300000;-34.600000;BATFR18;
65.700000;-18.100000;BATFR19;
42.500000;6.900000;BATFR20;
43.300000;5.300000;BATFR21;
42.100000;7.700000;BATFR22;
43.000000;7.800000;BATFR24;
48.000000;-5.200000;BATFR27;
50.100000;-1.700000;BATFR29;
41.600000;4.800000;BATFR33;
-17.300000;-145.699990;BATFR36;
47.300000;-2.500000;BATFR39;
22.700000;69.700000;BATFR43;
12.400000;55.400000;BATFR45;
38.299990;0.000000;BATFR46;
-17.800000;-140.900000;BATFR48;
53.700000;5.600000;BATFR54;
53.400000;-4.099990;BATFR60;
45.600000;-1.100000;BATFR63;
43.000000;7.600000;BATFR66;
