Lieu_id;Lieu_libel;Lieu_mnemonique;Lieu_bathy;Lieu_com;Lien_lieu;Date_creat;Date_maj;Port;Taxon;Groupe_taxon;Longitude;Latitude
26054001;Le Perick;061-P-001;;Correction de coordonnées le 27/04/2016 suite à la demande du LER MPL/TM (anciennes coordonnées : 47.5919963656,-2.8873442736);;13/06/2008;27/04/2016;;;;-2.88243;47.59322
16033059;Estuaire (aval Pennelée) - MX12;034-P-012;;;;13/06/2008;;;;;-3.8589824092;48.6109186606
18038053;Gisement Rascasse;039-P-110;20;;;13/06/2008;;;;;-4.4122239105;48.298662423
16033002;Port de Morlaix;034-P-002;;;;13/06/2008;;;;;-3.8382214883;48.5911767414
32071002;Auger;082-P-001;-0.8;Coordonnées corrigées le 30/12/2015 à la demande du LER (anciennes coordonnées Long=-1.2056036468 et Lat=45.8076397344). Pour le suivi RAZLEC, ce lieu représente la station "Auger Est".;;13/06/2008;30/12/2015;;;;-1.20527;45.799805
21042007;Ile Tudy;045-P-006;-1;;;13/06/2008;27/02/2014;;;;-4.1708741903;47.8483208059
4007014;Jetée Dieppe;008-P-011;5;;;13/06/2008;;;;;1.0848382579;49.9249367848
60002984;Golfe de Saint Florent;122-P-113;0;;;21/01/2010;21/01/2010;;;;9.3084902434118;42.7081804465902
37089002;Canal du Rhône;105-P-002;;;;13/06/2008;;;;;3.8487066396;43.4886410807
60001840;Grandcamp gisement;014-P-059;;;;11/08/2009;11/08/2009;;;;-1.02455;49.41446667
12025022;Arguenon pt g1;022-P-014;;;;13/06/2008;;;;;-2.2023581694;48.6098633932
60004870;Etang du Grazel Ouest;101-P-013;;Lieu ajouté à la demande du REMI.;;19/12/2011;29/10/2015;;;;3.106733;43.106517
25049001;Men er Roue;055-P-001;10;Correction des coordonnées le 15/04/2013 à la demande de latlas DCE/LB (anciennes coordonnées -3.0946799292-47.5346591927). Bathymétrie inidiquée par LER/MPL/TM (R. Gabellec, 27/02/14).;;13/06/2008;27/02/2014;;;;-3.093748;47.534765
28060011;Bonne Source;069-P-010;;Modifications des coordonnées le : 05/12/2016 à la demande des coordinations REMI, REPHY Anciennes coordonnées (47.2504944223 / -2.3364921796);;13/06/2008;05/12/2016;;;;-2.332777;47.249444
