Id Lieu	Libellé	Mnémonique	Bathymétrie	Commentaire	Lien fiche lieu	Date création	Date maj	Port	Taxon	Groupe de taxon	Longitude (Point)	Latitude (Point)
2003019	Parc 10 n	002-P-024	10			13/06/2008					1.5986589559	50.7634662855
2003002	Point 1 Boulogne	002-P-007	10	Lieu renommé le 27/02/2015 à la demande du REPHY. Ancien libellé (Point 1 SRN Boulogne).		13/06/2008	27/02/2015				1.5486581799	50.7531320816
2003033	Point 3 SRN Boulogne	002-P-030	35			13/06/2008					1.4494895347	50.7481307969
3006020	SRN Somme mer 2	006-P-007	7			13/06/2008					1.442504273	50.2202824418
3006022	Bif	007-P-008	0			13/06/2008					1.5986744158	50.214117386
1001024	Point 4 SRN Dunkerque	001-P-017	27			13/06/2008					2.2508285996	51.1513182889
2003032	Point 2 SRN Boulogne	002-P-029	1			13/06/2008					1.5189908781	50.7531317402
3006019	SRN Somme mer 1	006-P-006	5			13/06/2008					1.4521709912	50.2257827066
3006001	At so	006-P-001	5.4			13/06/2008					1.4745046439	50.2312831163
1001022	Point 1 Dunkerque	001-P-015	-3.1	Lieu renommé le 27/02/2015 à la demande du REPHY. Ancien libellé (Point 1 SRN Dunkerque).		13/06/2008	27/02/2015				2.3334994588	51.0686501641
3006021	Mimer	006-P-008	0	Cette baie subit régulièrement des modifications dans le tracé de son chenal dû à l'ensablement et nous souhaiterions faire une mise à jour des coordonnées de ce point de prélèvement. - De janvier 2009 à janvier 2017 les coordonnées du point Mimer sont : 50.235667 / 1.549383 - A partir de février 2017, les coordonnées seront : 50.220783 / 1.538673		13/06/2008	21/02/2017				1.538673	50.220783
1001023	Point 3 SRN Dunkerque	001-P-016	5.6			13/06/2008					2.2821638411	51.1089840828
