;Men Er Roue;Loscolo;Large Croisic;LEperon ;Cornard;Auger;Antoine;Lazaret;
BELLE ILE-LE TALUT;28.3436159063499;NA;NA;NA;NA;NA;NA;NA;Pas de rayonnement du tout
LORIENT-LANN BIHOUE;35.9815989505692;NA;NA;NA;NA;NA;NA;NA;Pas de rayonnement avant 2010
BIGNAN;NA;NA;NA;NA;NA;NA;NA;NA;Rayonnement s’arrête en 2005
PLOERMEL;NA;NA;NA;NA;NA;NA;NA;NA;Complet
VANNES-SENE;29.5909438094932;20.9678266730722;36.9833256660373;NA;NA;NA;NA;NA;Pas de rayonnement avant 2008
ARZAL;NA;13.237519333117;25.5780640604543;NA;NA;NA;NA;NA;Plus rien à partir de 2006
AURAY;16.6047971575197;NA;NA;NA;NA;NA;NA;NA;Pas vent
SARZEAU SA;22.5036939172172;20.3821576202093;31.7055850716654;NA;NA;NA;NA;NA;Données très hâchées
NAIZIN-INRA;NA;NA;NA;NA;NA;NA;NA;NA;Plus de vent à partir de 99
ST-JACUT-LES-PINS;NA;NA;NA;NA;NA;NA;NA;NA;(can’t find it on Données publiques.com)
CHASSIRON;NA;NA;NA;28.2751840317839;21.7240146607235;31.6589400932278;NA;NA;Pas de rayonnement
LA ROCHELLE-ILE DE RE;NA;NA;NA;10.8197220878413;14.4720219891873;NA;NA;NA;Commenc en 2000 et rayonnement en 2008
NUAILLE SUR BOUTONNE;NA;NA;NA;NA;NA;NA;NA;NA;Rayonnement s’arrête en 2003
ROYAN-AERODROME;NA;NA;NA;NA;NA;26.1856268581787;NA;NA;Complet
SAINTES;NA;NA;NA;NA;NA;NA;NA;NA;Complet 
ST GERMAIN DE LUSIGNAN;NA;NA;NA;NA;NA;NA;NA;NA;Rayonnement s’arrête en 2003
CHATEAU DOLERON;NA;NA;NA;NA;NA;6.90798867515211;NA;NA;Rayonnement s’rrête en 2006
LA ROCHELLE;NA;NA;NA;14.4797364309955;10.9787360096907;NA;NA;NA;Incomplet
ST AGNANT;NA;NA;NA;NA;21.7648954189542;19.7832913905052;NA;NA;(can’t find it on Données publiques.com)
ST-LAURENT PREE-INRA;NA;NA;NA;35.3352529766337;10.9533809033004;25.0653777420022;NA;NA;Ni vent ni rayonnement
NANTES-BOUGUENAIS;NA;NA;NA;NA;NA;NA;NA;NA;Rayonnement quotidien accessible à partir de 1985, le reste est OK (il ny’a pas le rayonnement horaire)
ST NAZAIRE-MONTOIR;NA;33.1649047013531;27.2737676724876;NA;NA;NA;NA;NA;Pas de rayonnement
NORT-SUR-ERDRE;NA;NA;NA;NA;NA;NA;NA;NA;Commence après 2000
GUERANDE;NA;20.1319120982083;6.42731915985293;NA;NA;NA;NA;NA;(can’t find it on Données publiques.com)
L ILE D YEU;NA;NA;NA;NA;NA;NA;NA;NA;Pas de rayonnement
LA ROCHE SUR YON;NA;NA;NA;NA;NA;NA;NA;NA;Rayonnement total uniquement quotidien mais sinon OK
CHATEAU-DOLONNE;NA;NA;NA;NA;NA;NA;NA;NA;Rien avant 2000
FONTENAY;NA;NA;NA;NA;NA;NA;NA;NA;Complet
LE PERRIER;NA;NA;NA;NA;NA;NA;NA;NA;Rayonnement s’arrête avant 2005
NOIRMOUTIER EN;NA;NA;NA;NA;NA;NA;NA;NA;Ok avec une coupiure autour des années 2002-2003 (tempête?)
LA MOTHE ACHARD;NA;NA;NA;NA;NA;NA;NA;NA;Pas de rayonneement depuis 2006
PALLUAU;NA;NA;NA;NA;NA;NA;NA;NA;Pas de rayonnement après 2000
SAINTE GEMME LA;NA;NA;NA;20.8842828397147;NA;NA;NA;NA;Pas de rayonnement après 2000
MARIGNANE;NA;NA;NA;NA;NA;NA;30.6951349414001;NA;Pasd de rayonnement avant 2010
AIX EN PROVENCE;NA;NA;NA;NA;NA;NA;49.7095624639637;62.7338185453364;Complet avec une petite coupure
ARLES;NA;NA;NA;NA;NA;NA;19.1590552226164;NA;Complet
SALON-DE-PROVENCE-INRA;NA;NA;NA;NA;NA;NA;31.6174530873027;NA;Pas de rayonnement
LE LUC;NA;NA;NA;NA;NA;NA;NA;50.9382496063813;Pas de rayonnement avant 2010
BORMES LES MIMOSAS;NA;NA;NA;NA;NA;NA;NA;40.2611025937605;Complet
FREJUS;NA;NA;NA;NA;NA;NA;NA;NA;Pas de rayonnement
TOULON;NA;NA;NA;NA;NA;NA;NA;2.65212026570014;Pas de rayonnement
VINON SUR VERDON;NA;NA;NA;NA;NA;NA;85.3435698294944;NA;Rien avant 2002
ILE DU LEVANT;NA;NA;NA;NA;NA;NA;NA;46.2381618898883;Données trop hâchées pour être utilisables, je pense
