"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1995-04-05";"186000";NA;NA;NA;"8400";NA;NA;NA;"5100";"1200";NA;"40000"
"1995-04-19";"299200";NA;NA;NA;"13200";NA;NA;NA;"2400";NA;NA;"11600"
"1995-05-12";"81600";NA;NA;NA;"6000";NA;NA;NA;"18500";NA;NA;"100"
"1995-05-16";"58400";NA;NA;NA;"4900";NA;NA;NA;"2600";NA;NA;NA
"1995-06-15";"472400";NA;NA;NA;"28600";NA;NA;NA;"34300";NA;NA;NA
"1995-07-13";"197300";NA;NA;NA;"13000";NA;NA;NA;"11300";NA;NA;"3800"
"1995-07-26";"269900";NA;NA;NA;"11800";NA;NA;NA;"135000";NA;NA;"24300"
"1995-08-07";"523500";NA;NA;NA;"17200";NA;NA;NA;"19500";NA;NA;"24200"
"1995-08-21";"633400";NA;NA;NA;"12400";NA;NA;NA;"278500";NA;NA;"2100"
"1995-08-28";"115000";NA;NA;NA;"1400";NA;NA;NA;"11000";NA;NA;"400"
"1995-09-05";"979500";NA;NA;NA;"22200";NA;NA;NA;"13100";NA;NA;"18500"
"1995-09-13";"20400";NA;NA;NA;"7900";NA;NA;NA;"8100";NA;NA;"600"
"1995-10-11";"17800";NA;NA;NA;"5800";NA;NA;NA;"5200";NA;NA;"300"
"1995-10-18";"194800";NA;NA;NA;"22200";NA;NA;NA;"19800";"4000";NA;"32000"
"1995-10-24";"99500";NA;NA;NA;"38300";NA;NA;NA;"12700";"600";NA;"16600"
"1995-11-07";"60300";NA;NA;NA;"59100";NA;NA;NA;"15800";"1400";NA;"8200"
"1995-11-22";"30900";NA;NA;NA;"35000";NA;NA;NA;"2300";NA;NA;NA
"1995-12-05";"7600";NA;NA;NA;"14800";NA;NA;NA;"404";NA;NA;"1100"
"1996-01-09";"2500";NA;NA;NA;"19000";NA;NA;NA;"200";NA;NA;NA
"1996-01-22";"3800";NA;NA;NA;"13400";NA;NA;NA;NA;"400";NA;"300"
"1996-02-13";"9600";NA;NA;NA;"7200";NA;NA;NA;"400";NA;NA;"200"
"1996-03-18";"36500";NA;NA;NA;"5500";NA;NA;NA;"4600";NA;NA;"200"
"1996-03-28";"36400";NA;NA;NA;"5100";NA;NA;NA;"1100";NA;NA;"100"
"1996-04-15";"172900";NA;NA;NA;"84800";NA;NA;NA;"29300";NA;NA;"3000"
"1996-05-03";"25800";NA;NA;NA;"6600";NA;NA;NA;"2700";NA;NA;NA
"1996-05-13";"65000";NA;NA;NA;"14000";NA;NA;NA;"14900";NA;NA;NA
"1996-05-22";NA;NA;NA;NA;"18000";NA;NA;NA;"18300";NA;NA;NA
"1996-05-30";"45100";NA;NA;NA;"110000";NA;NA;NA;"11400";"10000";NA;"400"
"1996-06-03";NA;NA;NA;NA;"28600";NA;NA;NA;"6000";NA;NA;NA
"1996-06-10";"57400";NA;NA;NA;"22700";NA;NA;NA;"59200";"5000";NA;"20000"
"1996-06-18";"471800";NA;NA;NA;"67200";NA;NA;NA;"37600";"400";NA;"600"
"1996-06-26";"114400";NA;NA;NA;"10400";NA;NA;NA;"73800";NA;NA;"800"
"1996-07-23";"651200";NA;NA;NA;"19400";NA;NA;NA;"29000";NA;NA;"56200"
"1996-08-06";"479600";NA;NA;NA;"23500";NA;NA;NA;"60700";NA;NA;"40600"
"1996-08-20";"60500";NA;NA;NA;"13100";NA;NA;NA;"78300";NA;NA;"800"
"1996-09-06";"193400";NA;NA;NA;"25400";NA;NA;NA;"187700";"4000";NA;"125200"
"1996-09-12";NA;NA;NA;NA;"600";NA;NA;NA;"53400";NA;NA;"1600"
"1996-09-30";"39100";NA;NA;NA;"9300";NA;NA;NA;"11500";"2200";NA;"120600"
"1996-10-14";"52700";NA;NA;NA;"4800";NA;NA;NA;"1800";NA;NA;NA
"1996-10-28";"11600";NA;NA;NA;"7400";NA;NA;NA;"900";NA;NA;NA
"1996-11-12";"9300";NA;NA;NA;"9400";NA;NA;NA;"1000";NA;NA;NA
"1996-11-26";"6600";NA;NA;NA;"4300";NA;NA;NA;"200";NA;NA;"200"
"1996-12-12";"3200";NA;NA;NA;"3400";NA;NA;NA;NA;NA;NA;NA
"1997-01-22";"11600";NA;NA;NA;"3600";NA;NA;NA;"300";NA;NA;"200"
"1997-02-11";"10600";NA;NA;NA;"23100";NA;NA;NA;"500";NA;NA;NA
"1997-02-24";"13400";NA;NA;NA;"15600";NA;NA;NA;"1000";NA;NA;NA
"1997-03-07";"18600";NA;NA;NA;"14000";NA;NA;NA;"2400";NA;NA;"10100"
"1997-03-24";"65000";NA;NA;NA;"36900";NA;NA;NA;"5500";"1400";NA;"12200"
"1997-04-08";"73200";NA;NA;NA;"93200";NA;NA;NA;"13500";NA;NA;"600"
"1997-04-22";"144200";NA;NA;NA;"31200";NA;NA;NA;"2300";"1000";NA;"4000"
"1997-05-14";"47600";NA;NA;NA;"20000";NA;NA;NA;"19400";"1000";NA;"118100"
"1997-05-21";"3400";NA;NA;NA;"1800";NA;NA;NA;"10100";NA;NA;NA
"1997-05-28";"32600";NA;NA;NA;"3200";NA;NA;NA;"76200";"2400";NA;"4300"
"1997-06-03";"372300";NA;NA;NA;"200300";NA;NA;NA;"65700";"1000";"3e+05";"282200"
"1997-06-16";"1066900";NA;NA;NA;"44300";NA;NA;NA;"69700";NA;NA;"58600"
"1997-07-08";"201400";NA;NA;NA;"11600";NA;NA;NA;"1900";"400";NA;"2200"
"1997-07-15";"693500";NA;NA;NA;"67400";NA;NA;NA;"43300";NA;NA;"27000"
"1997-07-30";"54000";NA;NA;NA;"12100";NA;NA;NA;"183700";"1600";NA;"10500"
"1997-08-13";"77600";NA;NA;NA;"15400";NA;NA;NA;"104000";NA;NA;"156600"
"1997-08-26";"62000";NA;NA;NA;"79800";NA;NA;NA;"37300";"5200";NA;"29800"
"1997-09-11";"259900";NA;NA;NA;"46200";NA;NA;NA;"79900";"1600";NA;"30600"
"1997-09-16";NA;NA;NA;NA;"49400";NA;NA;NA;"80700";NA;NA;"1100"
"1997-09-25";"986600";NA;NA;NA;"133600";NA;"500";NA;"20900";"1000";NA;"74500"
"1997-10-07";"674300";NA;NA;NA;"388800";NA;NA;NA;"19000";NA;NA;"22900"
"1997-10-23";"35900";NA;NA;NA;"46200";NA;NA;NA;"2600";NA;NA;"100"
