"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1987-02-12";"1800";NA;NA;NA;"1400";NA;NA;NA;"200";NA;NA;NA
"1987-03-12";"13900";NA;NA;NA;"300";NA;NA;NA;"200";NA;NA;"100"
"1987-04-16";"66400";NA;NA;NA;"6100";NA;NA;NA;"200";NA;NA;"100"
"1987-06-18";"700";NA;NA;NA;"30300";NA;NA;NA;"1100";NA;NA;NA
"1987-07-02";"5300";NA;NA;NA;"14200";NA;NA;NA;"10900";"600";NA;NA
"1987-07-15";"1000";NA;NA;NA;"1500";NA;NA;NA;"200";NA;NA;"100"
"1987-07-28";"6900";NA;NA;NA;"1100";NA;NA;NA;"900";NA;NA;NA
"1987-08-12";"4200";NA;NA;NA;"2700";NA;NA;NA;"1100";"600";NA;NA
"1987-08-27";"2900";NA;NA;NA;"2400";NA;NA;NA;"900";NA;NA;NA
"1987-09-10";"22600";NA;NA;NA;"27800";NA;NA;NA;"8900";"1400";NA;"1500"
"1987-09-28";"3280";NA;NA;NA;"1720";NA;NA;NA;"200";NA;NA;NA
"1987-10-12";"2200";NA;NA;NA;"640";NA;NA;NA;NA;NA;NA;NA
"1987-11-17";"240";NA;NA;NA;"80";NA;NA;NA;"40";NA;NA;"40"
"1987-12-07";"1250";NA;NA;NA;"550";NA;NA;NA;NA;NA;NA;"100"
"1988-02-15";"320";NA;NA;NA;"320";NA;NA;NA;NA;NA;NA;NA
"1988-03-08";"1720";NA;NA;NA;"1280";NA;NA;NA;NA;NA;NA;"40"
"1988-04-04";"137760";NA;NA;NA;"2720";NA;NA;NA;NA;NA;NA;NA
"1988-04-26";"33500";NA;NA;NA;"300";NA;NA;NA;"100";NA;NA;NA
"1988-05-09";"12900";NA;NA;NA;"22800";NA;NA;NA;NA;NA;NA;NA
"1988-05-16";"78900";NA;NA;NA;"83300";NA;NA;NA;"500";"300";NA;NA
"1988-06-06";"83000";NA;NA;NA;"45200";NA;NA;NA;"3000";NA;NA;"200"
"1988-06-20";"272600";NA;NA;NA;"10500";NA;NA;NA;"4100";NA;NA;NA
"1988-07-11";"1300";NA;NA;NA;"2500";NA;NA;NA;"27200";"1900";NA;"200"
"1988-07-25";"3000";NA;NA;NA;"1300";NA;NA;NA;"15700";NA;NA;"500"
"1988-08-09";"107900";NA;NA;NA;"4000";NA;NA;NA;"3800";NA;NA;NA
"1988-08-23";"1700";NA;NA;NA;"200";NA;NA;NA;"601000";NA;NA;NA
"1988-09-06";"200";NA;NA;NA;"700";NA;NA;NA;"11600";NA;NA;NA
"1988-09-19";"19100";NA;NA;NA;"11000";NA;NA;NA;"127600";"2600";NA;"100"
"1988-10-14";"2800";NA;NA;NA;"1200";NA;NA;NA;NA;NA;NA;NA
"1988-11-09";"920";NA;NA;NA;"520";NA;NA;NA;"840";NA;NA;"360"
"1988-12-28";"320";NA;NA;NA;"40";NA;NA;NA;NA;NA;NA;"200"
