"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1987-01-07";"4900";NA;NA;NA;"700";NA;NA;NA;"1800";NA;NA;"5600"
"1987-02-18";"4100";NA;NA;NA;"100";NA;NA;NA;"1700";NA;NA;NA
"1987-03-19";"300";NA;NA;NA;"1200";NA;NA;NA;"6700";NA;NA;NA
"1987-04-21";"200";NA;NA;NA;"1400";NA;NA;NA;"23600";NA;NA;NA
"1987-05-05";"900";NA;NA;NA;"1700";NA;NA;NA;"5500";NA;NA;NA
"1987-05-22";"22400";NA;NA;NA;"2300";NA;NA;NA;"8200";NA;NA;NA
"1987-06-17";"1200";NA;NA;NA;"1100";NA;NA;NA;"3400";NA;NA;NA
"1987-06-30";"2100";NA;NA;NA;"1200";NA;NA;NA;"7300";NA;NA;NA
"1987-07-15";"1000";NA;NA;NA;"1032900";NA;NA;NA;"3000";NA;NA;NA
"1987-09-23";"32600";NA;NA;NA;"500";NA;NA;NA;"2000";NA;NA;NA
"1987-10-12";"15500";NA;NA;NA;"2700";NA;NA;NA;"1400";NA;NA;NA
"1987-10-26";"1700";NA;NA;NA;"1300";NA;NA;NA;"1500";NA;NA;NA
"1987-11-16";"6000";NA;NA;NA;"17000";NA;NA;NA;"3600";NA;NA;NA
"1987-11-30";"100";NA;NA;NA;"200";NA;NA;NA;"800";NA;NA;NA
"1987-12-08";"100";NA;NA;NA;"700";NA;NA;NA;"800";NA;NA;NA
"1987-12-28";"97000";NA;NA;NA;"2000";NA;NA;NA;"7800";NA;NA;NA
"1988-01-08";"900";NA;NA;NA;"600";NA;NA;NA;"3400";NA;NA;NA
"1988-01-25";"2700";NA;NA;NA;"2700";NA;NA;NA;"800";NA;NA;NA
"1988-02-23";"14000";NA;NA;NA;"4400";NA;NA;NA;"9600";NA;NA;NA
"1988-02-29";"6300";NA;NA;NA;"3500";NA;NA;NA;"5600";NA;NA;NA
"1988-04-05";"3000";NA;NA;NA;"14500";NA;NA;NA;"1400";NA;NA;NA
"1988-04-11";"1600";NA;NA;NA;"14100";NA;NA;NA;"4000";NA;NA;NA
"1988-04-18";"1800";NA;NA;NA;"23800";NA;NA;NA;"35700";NA;NA;NA
"1988-05-03";NA;NA;NA;NA;"400";NA;NA;NA;"2000";NA;NA;NA
"1988-05-09";"200";NA;NA;NA;"600";NA;NA;NA;"2700";NA;NA;NA
"1988-05-17";NA;NA;NA;NA;"100";NA;NA;NA;"1500";NA;NA;NA
"1988-05-25";"1400";NA;NA;NA;"2800";NA;NA;NA;"1400";NA;NA;NA
"1988-06-06";"300";NA;NA;NA;"3200";NA;NA;NA;"1400";NA;NA;NA
"1988-06-15";NA;NA;NA;NA;"200";NA;NA;NA;"200";NA;NA;NA
"1988-06-21";"14200";NA;NA;NA;"1000";NA;NA;NA;"3600";NA;NA;NA
"1988-07-06";"2400";NA;NA;NA;"1200";NA;NA;NA;"7600";NA;NA;NA
"1988-07-20";NA;NA;NA;NA;"2000";NA;NA;NA;"1600";NA;NA;NA
"1988-08-01";NA;NA;NA;NA;"6400";NA;NA;NA;"1000";NA;NA;NA
"1988-09-13";"16800";NA;NA;NA;"1000";NA;NA;NA;"600";NA;NA;NA
"1988-09-27";NA;NA;NA;NA;"2800";NA;NA;NA;"1300";NA;NA;NA
"1988-10-04";"600";NA;NA;NA;"6100";NA;NA;NA;"2900";NA;NA;NA
"1988-10-18";"600";NA;NA;NA;"12400";NA;NA;NA;"3000";NA;NA;NA
"1988-11-22";NA;NA;NA;NA;"5800";NA;NA;NA;"400";NA;NA;NA
"1988-11-29";NA;NA;NA;NA;"400";NA;NA;NA;"700";NA;NA;NA
"1988-12-22";NA;NA;NA;NA;"3400";NA;NA;NA;NA;NA;NA;NA
"1989-01-02";NA;NA;NA;NA;NA;NA;NA;NA;"900";NA;NA;NA
"1989-01-10";"100";NA;NA;NA;"200";NA;NA;NA;"4300";NA;NA;NA
"1989-01-18";NA;NA;NA;NA;"5000";NA;NA;NA;"2600";NA;NA;NA
"1989-01-31";"1600";NA;NA;NA;"8600";NA;NA;NA;"59400";NA;NA;NA
"1989-02-13";"900";NA;NA;NA;"9200";NA;NA;NA;"9600";NA;NA;NA
"1989-02-22";"2100";NA;NA;NA;"7000";NA;NA;NA;"28300";NA;NA;"200"
"1989-03-07";"1800";NA;NA;NA;"24900";NA;NA;NA;"69300";NA;NA;NA
"1989-05-11";"200";NA;NA;NA;"4400";NA;NA;NA;"62700";NA;NA;NA
"1989-05-18";"5600";NA;NA;NA;"18400";NA;NA;NA;"227200";NA;NA;NA
"1989-05-30";"7000";NA;NA;NA;"28600";NA;NA;NA;"114200";NA;NA;NA
"1989-06-06";"24000";NA;NA;NA;"6400";NA;NA;NA;"29600";NA;NA;"400"
"1989-06-20";"7200";NA;NA;NA;"24600";NA;NA;NA;"32900";NA;NA;NA
"1989-07-04";NA;NA;NA;NA;"11200";NA;NA;NA;"25400";NA;NA;NA
"1989-08-02";"2600";NA;NA;NA;"13200";NA;NA;NA;"54600";NA;NA;NA
"1989-08-17";"3000";NA;NA;NA;"11400";NA;NA;NA;"18400";NA;NA;NA
"1989-08-29";"600";NA;NA;NA;"6600";NA;NA;NA;"36400";NA;NA;NA
"1989-09-12";NA;NA;NA;NA;"4000";NA;NA;NA;"14000";NA;NA;NA
"1989-09-19";"7800";NA;NA;NA;"15800";NA;NA;NA;"19000";NA;NA;NA
"1989-10-04";"7600";NA;NA;NA;"39200";NA;NA;NA;"17000";NA;NA;NA
