"Date";"Coscinodiscophycidae";"Bacillariophyceae incertae sedis";"Oscillatoriophycideae";"Synechococcophycideae";"Bacillariophycidae+Fragilariophycidae";"Haptoria";"Alophycidae";"Oligotrichia";"Dinophyceae";"EUG";"CRY";"NEI"
"1987-08-18";"204000";NA;NA;NA;"3200";NA;NA;NA;"2600";NA;NA;"5700"
"1987-09-01";"234800";NA;NA;NA;"67500";NA;NA;NA;"200";NA;NA;NA
"1987-09-14";"37000";NA;NA;NA;"1100";NA;NA;NA;"300";NA;NA;"100"
"1987-09-28";"97000";NA;NA;NA;"11600";NA;NA;NA;"400";NA;NA;"3700"
"1987-10-22";"20600";NA;NA;NA;"1500";NA;NA;NA;"7500";NA;NA;"7200"
"1987-11-17";"11600";NA;NA;NA;"6500";NA;NA;NA;"6200";NA;NA;"7900"
"1987-12-22";"9000";NA;NA;NA;"4200";NA;NA;NA;"2800";"800";NA;"5100"
"1988-01-19";"11900";NA;NA;NA;"3600";NA;NA;NA;"6300";"600";NA;"8700"
"1988-02-11";"13700";NA;NA;NA;"9000";NA;NA;NA;"2600";"200";NA;"5400"
"1988-03-24";"201700";NA;NA;NA;"12000";NA;NA;NA;"4800";"400";NA;"5500"
"1988-04-11";"870200";NA;NA;NA;"28800";NA;NA;NA;"11100";NA;NA;"14400"
"1988-05-05";"366300";NA;NA;NA;"80100";NA;NA;NA;"4200";NA;NA;"3800"
"1988-05-17";"4200";NA;NA;NA;"2900";NA;NA;NA;"15400";NA;NA;"4900"
"1988-05-31";"61900";NA;NA;NA;"3200";NA;NA;NA;"5900";NA;NA;"2700"
"1988-06-14";"201400";NA;NA;NA;"900";NA;NA;NA;"33100";NA;NA;"50800"
"1988-06-27";"1057800";NA;NA;NA;"4700";NA;NA;NA;"20400";NA;NA;"13300"
"1988-07-12";"307900";NA;NA;NA;"16900";NA;NA;NA;"25900";NA;NA;"6600"
"1988-07-26";"371500";NA;NA;NA;"13800";NA;NA;NA;"22100";NA;NA;"15000"
"1988-08-08";"25700";NA;NA;NA;"5000";NA;NA;NA;"14200";NA;NA;"6700"
"1988-08-24";"18200";NA;NA;NA;"800";NA;NA;NA;"210100";NA;NA;"3400"
"1988-09-14";"6600";NA;NA;NA;"1000";NA;NA;NA;"60600";NA;NA;"1000"
"1988-10-03";"39400";NA;NA;NA;"3000";NA;NA;NA;"20600";NA;NA;"200"
"1988-10-17";"28400";NA;NA;NA;"31700";NA;NA;NA;"12700";"20200";NA;"18800"
"1988-11-08";"22600";NA;NA;NA;"2000";NA;NA;NA;"2200";"11800";NA;"10200"
"1988-11-28";"12900";NA;NA;NA;"3400";NA;NA;NA;"1200";"12000";NA;"7200"
"1988-12-09";"13200";NA;NA;NA;"2800";NA;NA;NA;"4000";"36000";NA;"7600"
"1988-12-22";"1000";NA;NA;NA;NA;NA;NA;NA;"100";NA;NA;"1000"
"1989-01-09";"4900";NA;NA;NA;"1800";NA;NA;NA;"2800";"10000";NA;"8100"
"1989-01-24";"9000";NA;NA;NA;"2100";NA;NA;NA;"300";"5700";NA;"6400"
"1989-02-10";"7900";NA;NA;NA;"5200";NA;NA;NA;"300";"1400";NA;"6400"
"1989-02-21";"37500";NA;NA;NA;"4600";NA;NA;NA;"2000";"4800";NA;"5400"
"1989-03-09";"22100";NA;NA;NA;"5600";NA;NA;NA;"3000";"1000";NA;"6400"
"1989-03-20";"29300";NA;NA;NA;"11200";NA;NA;NA;"400";"500";NA;"4900"
"1989-04-12";"807800";NA;NA;NA;"16500";NA;NA;NA;"6000";NA;NA;"2100"
"1989-04-24";"160900";NA;NA;NA;"6100";NA;NA;NA;"4600";"800";NA;"7800"
"1989-05-10";"2463900";NA;NA;NA;"1701900";NA;NA;NA;"23800";NA;NA;"8100"
"1989-05-22";"126200";NA;NA;NA;"291000";NA;NA;NA;"16800";"4100";NA;"10800"
"1989-06-04";"146400";NA;NA;NA;"7200";NA;NA;NA;"29100";"1000";NA;"6800"
"1989-06-19";"278800";NA;NA;NA;"1400";NA;NA;NA;"70400";"200";NA;"2300"
"1989-07-17";"108800";NA;NA;NA;"56600";NA;NA;NA;"5100";NA;NA;"5400"
"1989-07-31";"673200";NA;NA;NA;"1600";NA;NA;NA;"4400";"200";NA;"6700"
"1989-08-17";"114000";NA;NA;NA;"31500";NA;NA;NA;"77200";NA;NA;"5000"
"1989-08-29";"301900";NA;NA;NA;"10500";NA;NA;NA;"4700";"400";NA;"136500"
"1989-09-13";"823300";NA;NA;NA;"88300";NA;NA;NA;"6300";"300";NA;"13200"
"1989-09-25";"17100";NA;NA;NA;"140000";NA;NA;NA;"4300";"100";NA;"9200"
"1989-09-26";"77900";NA;NA;NA;"2800";NA;NA;NA;"6000";"1100";NA;"4300"
"1989-10-10";"78600";NA;NA;NA;"3300";NA;NA;NA;"3500";"2700";NA;"11100"
"1989-10-23";"24900";NA;NA;NA;"5300";NA;NA;NA;"3600";"800";NA;"5500"
"1989-11-07";"7200";NA;NA;NA;"2300";NA;NA;NA;"2900";"100";NA;"4000"
"1989-11-30";"19100";NA;NA;NA;"4600";NA;NA;NA;"4200";"3200";NA;"7200"
"1989-12-11";"20400";NA;NA;NA;"1000";NA;NA;NA;"2800";"800";NA;"9900"
"1989-12-28";"20400";NA;NA;NA;"7100";NA;NA;NA;"5200";NA;NA;"15500"
"1990-01-11";"5000";NA;NA;NA;"8600";NA;NA;NA;"3600";NA;NA;"5900"
"1990-03-05";"6600";NA;NA;NA;"7700";NA;NA;NA;"4200";"700";NA;"4500"
"1990-03-21";"568700";NA;NA;NA;"19100";NA;NA;NA;"1900";"500";NA;"6800"
"1990-04-02";"2914400";NA;NA;NA;"13100";NA;NA;NA;"35700";"6300";NA;"12800"
"1990-04-17";"2400300";NA;NA;NA;"98600";NA;NA;NA;"4200";NA;NA;"2800"
"1990-05-02";"1327800";NA;NA;NA;"34100";NA;NA;NA;"9700";"1700";NA;"39800"
"1990-05-14";"70200";NA;NA;NA;"44900";NA;NA;NA;"7500";NA;"3700";"3800"
"1990-06-05";"8400";NA;NA;NA;"300";NA;NA;NA;"9900";"300";NA;"3400"
"1990-06-18";"190300";NA;NA;NA;"1400";NA;NA;NA;"18500";NA;NA;"1100"
"1990-07-03";"196600";NA;NA;NA;"10300";NA;NA;NA;"1500";NA;NA;"400"
"1990-07-16";"125200";NA;NA;NA;"8200";NA;NA;NA;"2800";NA;NA;"2500"
"1990-08-06";"3700";NA;NA;NA;"600";NA;NA;NA;"4300";NA;NA;"4500"
"1990-08-21";"5800";NA;NA;NA;"8600";NA;NA;NA;"11200";"1400";NA;"1600"
"1990-09-03";"41700";NA;NA;NA;"49000";NA;NA;NA;"4800";NA;NA;"6100"
"1990-09-17";"170100";NA;NA;NA;"289200";NA;NA;NA;"3900";NA;NA;"1900"
"1990-10-01";"100500";NA;NA;NA;"1000";NA;NA;NA;"2300";"400";NA;"15500"
"1990-10-18";"20300";NA;NA;NA;"1200";NA;NA;NA;"19900";"400";NA;"5400"
"1990-11-05";"18900";NA;NA;NA;"6000";NA;NA;NA;"3300";"300";NA;"3000"
"1990-11-20";"5900";NA;NA;NA;"6700";NA;NA;NA;"4300";"300";NA;"3600"
"1990-12-04";"3900";NA;NA;NA;"2700";NA;NA;NA;"6700";"600";NA;"3100"
"1990-12-17";"2500";NA;NA;NA;"2100";NA;NA;NA;"2300";"200";NA;"3000"
"1991-01-14";"5900";NA;NA;NA;"1700";NA;NA;NA;"300";NA;NA;"12800"
"1991-01-30";"14800";NA;NA;NA;"400";NA;NA;NA;"100";"5100";NA;"300"
"1991-02-26";"69300";NA;NA;NA;"4900";NA;NA;NA;"1300";NA;NA;"68500"
"1991-03-18";"186800";NA;NA;NA;"9800";NA;NA;NA;"1400";"200";NA;"3700"
"1991-04-09";"17700";NA;NA;NA;"2000";NA;NA;NA;"5000";"2300";NA;"42500"
"1991-04-23";"812300";NA;NA;NA;"200";NA;NA;NA;"6400";"700";NA;"4600"
"1991-05-13";"11100";NA;NA;NA;NA;NA;NA;NA;"7300";"1500";NA;"14500"
"1991-05-27";"163300";NA;NA;NA;"2300";NA;NA;NA;"9000";NA;NA;"1600"
"1991-06-10";"23100";NA;NA;NA;"48800";NA;NA;NA;"2800";"100";NA;"1800"
"1991-06-24";"477000";NA;NA;NA;"39300";NA;NA;NA;"3700";NA;NA;"7600"
"1991-07-09";"143400";NA;NA;NA;"16500";NA;NA;NA;"5000";NA;NA;"100"
"1991-07-22";"127200";NA;NA;NA;"7600";NA;NA;NA;"700";NA;NA;"600"
"1991-08-05";"86400";NA;NA;NA;"16800";NA;NA;NA;"900";NA;NA;NA
"1991-08-27";"600";NA;NA;NA;"1100";NA;NA;NA;"2000";NA;NA;"1100"
"1991-09-10";"15500";NA;NA;NA;"1600";NA;NA;NA;"1700";NA;NA;"2700"
"1991-09-23";"159200";NA;NA;NA;"1400";NA;NA;NA;"1800";NA;NA;"5100"
"1991-10-14";"20800";NA;NA;NA;"400";NA;NA;NA;"1600";NA;NA;"1600"
"1991-10-30";"13400";NA;NA;NA;"700";NA;NA;NA;"600";NA;NA;"3900"
"1991-11-18";"6100";NA;NA;NA;"600";NA;NA;NA;NA;NA;NA;"100"
"1991-11-26";"100";NA;NA;NA;"1100";NA;NA;NA;"400";NA;NA;"1600"
