"Name_REPHY";"Phylum";"Subphylum";"Infraphylum";"Class";"Subclass";"Order";"Family";"Genus"
"Cerataulina pelagica";NA;NA;NA;NA;NA;NA;NA;NA
"Chaetoceros danicus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros decipiens";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Chaetoceros teres";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Chaetocerotanae incertae sedis";"Chaetocerotaceae";"Chaetoceros"
"Cryptomonas";"Cryptophyta";NA;NA;"Cryptophyceae";NA;"Cryptomonadales";"Cryptomonadaceae";"Cryptomonas"
"Cylindrotheca gracilis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Cylindrotheca"
"Cochlodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Cochlodinium"
"Diploneis";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Diploneidaceae";"Diploneis"
"Emiliania";"Haptophyta";NA;NA;"Prymnesiophyceae";NA;"Isochrysidales";"Noelaerhabdaceae";"Emiliania"
"Gymnodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gymnodinium"
"Gyrodinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gyrodinium"
"Gyrodinium flagellare";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Gymnodiniales";"Gymnodiniaceae";"Gyrodinium"
"Haslea wawrikae";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Haslea"
"Hemiaulus hauckii";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Hemiaulales";"Hemiaulaceae";"Hemiaulus"
"Mastogloia rostratra";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Mastogloiales";"Mastogloiaceae";"Mastogloia"
"Minidiscus";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Coscinodiscophycidae";"Thalassiosirales";"Thalassiosiraceae";"Minidiscus"
"Navicula";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Naviculaceae";"Navicula"
"Nitzschia rectilonga";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Nitzschia"
"Pleurosigma + Gyrosigma";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Naviculales";"Pleurosigmataceae";"Pleurosigma+Gyrosigma"
"Protoperidinium";"Myzozoa";"Dinozoa";"Dinoflagellata";"Dinophyceae";NA;"Peridiniales";"Protoperidiniaceae";"Protoperidinium"
"Pseudo-nitzschia delicatissima";"Ochrophyta";"Khakista";NA;"Bacillariophyceae";"Bacillariophycidae";"Bacillariales";"Bacillariaceae";"Pseudo-nitzschia"
