Weekly;Oscillatoria;Cryptomonads;Unicells;Other algea;Diatoms;Green algae;NCR;Conochilus;Daphnia;Diaptomus;NDC;Cyclops;Espichura;Leptodora
Oscillatoria;0.84;;-0.07;;;;;;;;;;;
Cryptomonads;;0.58;;;-0.09;;;;;;;;;
Unicells;;;0.59;;;;;;-0.08;;;;;
Other algea;;;;0.52;;;;;;;;;;
Diatoms;;;;;0.53;;;;;;;;;
Green algae;;;;;;0.3;;;;;;;;
NCR;;;;;;;0.61;;;;;;;
Conochilus;;;;;;;;0.5;;;;;;
Daphnia;;;;0.07;;;;;0.78;;;;;
Diaptomus;;;;;;;;;-0.12;0.59;;;;
NDC;;;;;;;;;;;0.70;;;
Cyclops;;;0.17;;;;;;-0.08;;;0.69;;
Espichura;;;;;;;;;;;;;0.64;
Leptodora;;;;;;;;0.09;;;;0.13;;0.1
